ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked turtles
0,1500,1490,10,0,0,750
1,1500,1490,10,0,0,750
2,1500,1490,10,0,0,750
3,1500,1481,9,10,0,750
4,1500,1477,13,10,0,750
5,1500,1474,16,10,0,750
6,1500,1464,23,13,0,750
7,1500,1454,25,21,0,750
8,1500,1440,37,23,0,750
9,1500,1429,43,28,0,750
10,1500,1409,50,41,0,750
11,1500,1378,67,55,0,750
12,1500,1338,97,65,0,750
13,1500,1307,113,80,0,750
14,1500,1261,136,103,0,750
15,1500,1208,150,142,0,750
16,1500,1138,190,172,0,750
17,1498,1064,227,201,6,750
18,1500,985,262,247,6,752
19,1500,906,276,312,6,752
20,1500,824,297,371,8,752
21,1500,737,302,447,14,752
22,1499,648,305,531,15,752
23,1499,578,299,605,17,754
24,1496,500,295,680,21,757
25,1495,428,277,762,28,758
26,1499,376,267,823,33,764
27,1498,316,253,888,41,763
28,1491,276,219,946,50,765
29,1473,235,203,971,64,761
30,1457,191,178,1013,75,758
31,1447,159,154,1035,99,753
32,1428,134,143,1030,121,744
33,1398,109,119,1018,152,742
34,1373,97,97,995,184,737
35,1330,82,79,947,222,728
36,1283,68,70,887,258,706
37,1246,53,58,836,299,693
38,1204,49,46,765,344,671
39,1158,47,38,684,389,645
40,1123,43,34,630,416,625
41,1084,43,27,563,451,598
42,1048,41,28,487,492,578
43,1023,47,29,428,519,564
44,994,47,24,368,555,547
45,974,52,21,314,587,534
46,966,55,18,281,612,528
47,947,60,17,231,639,511
48,932,64,13,200,655,497
49,912,61,12,170,669,482
50,911,66,14,146,685,481
51,909,73,15,120,701,476
52,908,79,11,110,708,474
53,913,88,12,98,715,475
54,913,95,9,84,725,471
55,915,100,8,73,734,470
56,918,105,4,73,736,470
57,918,105,5,70,738,469
58,923,113,6,59,745,468
59,930,122,8,52,748,469
60,933,130,7,46,750,469
61,942,140,5,45,752,476
62,947,147,5,40,755,475
63,951,150,6,35,760,477
64,957,153,10,34,760,480
65,962,158,11,33,760,481
66,966,164,10,28,764,483
67,973,170,10,28,765,486
68,979,176,5,30,768,488
69,988,184,6,29,769,490
70,996,190,7,25,774,495
71,1004,199,5,26,774,502
72,1015,205,9,26,775,507
73,1023,213,7,28,775,510
74,1032,222,8,27,775,512
75,1041,232,8,26,775,518
76,1048,239,5,28,776,520
77,1056,243,8,28,777,523
78,1066,252,8,29,777,526
79,1078,260,10,30,778,531
80,1088,263,17,28,780,534
81,1095,268,16,30,781,539
82,1101,269,19,28,785,541
83,1113,278,18,32,785,546
84,1121,281,17,38,785,551
85,1126,284,16,40,786,554
86,1131,284,19,42,786,558
87,1139,290,18,44,787,561
88,1149,298,14,49,788,568
89,1165,307,17,52,789,576
90,1173,310,17,54,792,579
91,1187,315,24,55,793,587
92,1203,329,23,56,795,596
93,1209,328,22,64,795,599
94,1220,329,25,71,795,604
95,1230,332,29,72,797,609
96,1235,327,37,72,799,612
97,1242,327,34,79,802,615
98,1255,334,37,77,807,621
99,1262,335,33,85,809,627
100,1272,333,34,94,811,635
101,1280,332,39,96,813,636
102,1288,333,40,101,814,642
103,1295,328,47,105,815,648
104,1304,331,48,109,816,654
105,1312,331,45,119,817,658
106,1319,328,45,128,818,664
107,1327,324,43,137,823,670
108,1331,320,48,139,824,673
109,1340,320,49,144,827,678
110,1356,319,54,154,829,687
111,1366,316,60,155,835,690
112,1374,312,60,165,837,691
113,1377,306,61,170,840,693
114,1383,298,62,175,848,699
115,1389,290,64,184,851,704
116,1399,289,61,192,857,713
117,1409,285,60,204,860,723
118,1419,286,61,207,865,728
119,1424,280,64,211,869,726
120,1434,273,62,220,879,734
121,1435,264,67,215,889,738
122,1444,262,66,222,894,743
123,1448,258,62,229,899,749
124,1457,253,60,238,906,756
125,1463,246,63,243,911,758
126,1474,245,66,241,922,766
127,1481,238,73,240,930,766
128,1484,227,76,242,939,770
129,1488,220,73,246,949,772
130,1498,221,69,248,960,774
131,1500,215,65,249,971,775
132,1498,199,60,259,980,775
133,1499,194,57,260,988,772
134,1493,189,52,255,997,772
135,1494,185,47,255,1007,771
136,1500,179,46,259,1016,774
137,1496,182,44,253,1017,774
138,1495,181,47,242,1025,773
139,1491,169,49,239,1034,770
140,1498,174,49,238,1037,770
141,1498,174,57,228,1039,771
142,1496,166,56,227,1047,775
143,1494,164,57,221,1052,772
144,1497,171,50,217,1059,779
145,1499,180,41,216,1062,781
146,1497,185,45,200,1067,782
147,1498,189,43,199,1067,780
148,1500,189,44,197,1070,777
149,1500,196,53,189,1062,779
150,1500,206,54,183,1057,777
151,1499,221,56,185,1037,776
152,1499,223,67,189,1020,776
153,1500,241,72,189,998,775
154,1499,262,76,192,969,772
155,1500,278,80,206,936,772
156,1500,290,86,211,913,769
157,1497,305,95,222,875,770
158,1500,326,111,222,841,768
159,1499,340,121,230,808,768
160,1500,347,113,256,784,769
161,1500,350,127,262,761,768
162,1498,356,125,288,729,767
163,1500,353,127,315,705,767
164,1500,352,137,334,677,769
165,1500,350,140,358,652,769
166,1499,334,151,379,635,770
167,1500,330,148,403,619,773
168,1498,309,151,428,610,773
169,1496,287,155,451,603,775
170,1496,271,158,469,598,775
171,1490,268,150,480,592,776
172,1489,247,131,516,595,778
173,1485,227,124,529,605,781
174,1476,213,115,537,611,781
175,1473,196,119,546,612,781
176,1457,178,110,541,628,778
177,1445,165,104,534,642,772
178,1439,161,87,541,650,777
179,1432,148,73,541,670,776
180,1418,131,89,516,682,774
181,1410,121,91,494,704,771
182,1403,122,77,484,720,768
183,1392,120,68,468,736,772
184,1389,119,59,451,760,773
185,1376,110,54,437,775,765
186,1364,123,48,398,795,757
187,1352,122,48,372,810,752
188,1339,121,44,350,824,743
189,1336,122,50,325,839,738
190,1329,129,46,304,850,728
191,1331,131,44,291,865,728
192,1322,134,41,266,881,718
193,1312,130,42,239,901,706
194,1316,126,43,240,907,706
195,1316,125,40,234,917,707
196,1315,125,38,217,935,704
197,1317,136,32,201,948,701
198,1318,146,30,186,956,698
199,1312,148,25,175,964,691
200,1315,152,25,169,969,692
201,1318,154,27,161,976,689
202,1321,166,25,146,984,693
203,1337,174,25,149,989,701
204,1343,178,25,144,996,705
205,1349,183,29,136,1001,704
206,1352,180,33,127,1012,705
207,1359,184,35,124,1016,708
208,1360,192,27,122,1019,708
209,1362,197,23,120,1022,709
210,1379,214,19,119,1027,718
211,1383,213,26,112,1032,723
212,1386,216,32,104,1034,726
213,1394,219,34,101,1040,727
214,1405,229,24,107,1045,729
215,1425,245,28,107,1045,737
216,1438,250,34,109,1045,745
217,1445,259,35,107,1044,746
218,1450,266,36,106,1042,751
219,1463,273,34,112,1044,757
220,1477,274,41,116,1046,764
221,1485,280,41,118,1046,770
222,1494,286,43,116,1049,773
223,1498,282,49,116,1051,777
224,1496,274,47,121,1054,777
225,1498,267,49,127,1055,781
226,1500,250,56,139,1055,782
227,1500,248,56,143,1053,783
228,1500,245,55,142,1058,780
229,1499,243,41,157,1058,782
230,1500,237,42,162,1059,783
231,1499,234,37,171,1057,783
232,1500,231,39,172,1058,788
233,1498,227,41,170,1060,784
234,1500,227,45,171,1057,787
235,1499,225,44,173,1057,787
236,1500,224,44,177,1055,787
237,1500,223,41,181,1055,788
238,1498,224,40,175,1059,789
239,1500,221,44,176,1059,793
240,1500,221,48,177,1054,794
241,1500,223,53,173,1051,793
242,1496,221,48,174,1053,792
243,1499,227,45,166,1061,792
244,1500,221,43,174,1062,797
245,1500,228,45,163,1064,800
246,1499,229,44,167,1059,801
247,1500,228,43,174,1055,802
248,1499,232,41,176,1050,801
249,1497,235,46,171,1045,799
250,1499,234,53,172,1040,800
251,1500,234,56,174,1036,802
252,1500,235,59,173,1033,801
253,1500,227,63,177,1033,800
254,1498,226,59,183,1030,796
255,1498,225,55,195,1023,796
256,1499,234,50,194,1021,797
257,1500,239,44,198,1019,800
258,1496,236,46,193,1021,798
259,1500,239,47,201,1013,799
260,1499,243,49,196,1011,794
261,1497,251,41,195,1010,796
262,1496,248,44,197,1007,797
263,1500,251,44,202,1003,799
264,1495,251,49,200,995,800
265,1499,265,49,195,990,806
266,1500,260,55,199,986,809
267,1500,260,56,198,986,809
268,1497,260,62,191,984,807
269,1500,266,59,187,988,807
270,1499,264,50,195,990,807
271,1498,264,48,191,995,808
272,1498,259,51,192,996,805
273,1500,263,55,188,994,808
274,1500,257,52,198,993,807
275,1500,254,54,195,997,810
276,1498,260,48,201,989,808
277,1500,256,56,198,990,807
278,1500,249,60,205,986,808
279,1500,246,65,209,980,808
280,1500,245,60,210,985,805
281,1500,253,53,214,980,806
282,1499,245,53,222,979,806
283,1499,235,61,219,984,808
284,1497,241,62,210,984,807
285,1500,246,56,213,985,809
286,1498,251,42,220,985,808
287,1498,246,49,226,977,809
288,1499,243,53,220,983,810
289,1500,236,61,219,984,812
290,1499,244,68,206,981,811
291,1500,245,57,224,974,809
292,1496,242,62,219,973,809
293,1500,251,63,223,963,809
294,1500,262,59,223,956,813
295,1498,257,62,223,956,812
296,1497,271,59,219,948,806
297,1500,271,69,225,935,813
298,1500,273,74,226,927,815
299,1498,281,77,228,912,813
300,1499,276,84,227,912,812
301,1496,285,79,239,893,811
302,1499,290,88,241,880,810
303,1500,302,79,257,862,813
304,1500,304,86,269,841,812
305,1497,307,79,271,840,813
306,1500,315,89,273,823,813
307,1497,308,95,279,815,812
308,1498,319,84,290,805,811
309,1499,312,90,293,804,810
310,1499,311,88,302,798,811
311,1500,302,93,313,792,812
312,1499,297,102,318,782,813
313,1496,299,101,325,771,813
314,1499,289,102,331,777,810
315,1500,276,105,334,785,812
316,1500,272,105,346,777,813
317,1498,262,106,350,780,811
318,1500,249,109,361,781,816
319,1496,249,101,360,786,819
320,1495,240,102,370,783,821
321,1487,224,96,380,787,819
322,1487,226,86,384,791,815
323,1491,216,95,383,797,819
324,1495,220,90,384,801,822
325,1496,213,88,382,813,824
326,1488,215,77,389,807,820
327,1480,206,70,388,816,816
328,1474,200,72,377,825,817
329,1464,197,62,371,834,808
330,1460,192,70,361,837,807
331,1454,194,63,353,844,805
332,1449,192,63,336,858,802
333,1445,190,65,326,864,803
334,1443,194,55,324,870,805
335,1433,188,62,302,881,798
336,1432,189,63,287,893,795
337,1435,190,59,284,902,794
338,1436,179,67,273,917,792
339,1442,190,61,266,925,789
340,1433,184,59,259,931,782
341,1426,179,59,249,939,774
342,1433,185,50,253,945,775
343,1431,188,50,239,954,775
344,1437,188,48,242,959,778
345,1450,200,46,234,970,784
346,1461,206,42,235,978,791
347,1464,204,53,224,983,795
348,1466,215,48,216,987,793
349,1471,209,53,217,992,797
350,1471,209,50,218,994,794
351,1472,210,52,212,998,796
352,1476,208,53,211,1004,796
353,1480,214,53,206,1007,800
354,1485,220,53,199,1013,804
355,1490,224,49,201,1016,806
356,1491,224,52,193,1022,805
357,1499,215,55,201,1028,810
358,1500,215,62,193,1030,812
359,1500,209,65,192,1034,810
360,1499,212,58,193,1036,806
361,1500,202,55,210,1033,807
362,1499,207,49,209,1034,806
363,1500,214,50,211,1025,807
364,1499,216,52,209,1022,809
365,1500,214,50,215,1021,810
366,1500,220,54,205,1021,811
367,1500,220,45,208,1027,814
368,1500,218,45,211,1026,818
369,1498,217,45,210,1026,814
370,1499,207,56,208,1028,814
371,1498,206,65,198,1029,813
372,1499,213,53,203,1030,812
373,1500,218,47,208,1027,811
374,1499,212,47,211,1029,808
375,1498,215,45,199,1039,810
376,1498,221,49,192,1036,813
377,1499,218,50,192,1039,815
378,1499,216,51,195,1037,814
379,1499,216,51,188,1044,812
380,1500,212,49,197,1042,813
381,1500,209,56,189,1046,814
382,1498,205,49,195,1049,813
383,1498,208,47,189,1054,816
384,1500,205,45,193,1057,818
385,1500,196,46,201,1057,816
386,1500,200,48,195,1057,817
387,1495,202,52,187,1054,817
388,1494,202,52,185,1055,816
389,1499,206,54,188,1051,817
390,1500,206,54,193,1047,816
391,1496,202,54,194,1046,814
392,1499,209,51,192,1047,815
393,1498,208,49,196,1045,813
394,1499,204,51,196,1048,815
395,1499,201,51,201,1046,816
396,1499,200,57,192,1050,816
397,1499,187,66,196,1050,817
398,1499,188,63,196,1052,815
399,1497,188,59,198,1052,812
400,1499,187,53,208,1051,813
401,1500,190,47,215,1048,813
402,1497,193,45,210,1049,812
403,1498,196,47,210,1045,812
404,1499,200,45,211,1043,813
405,1497,205,41,210,1041,812
406,1500,216,39,204,1041,814
407,1500,210,36,207,1047,813
408,1496,210,48,200,1038,810
409,1494,215,51,195,1033,810
410,1500,220,54,195,1031,815
411,1496,211,55,196,1034,812
412,1498,212,58,196,1032,815
413,1500,215,59,190,1036,818
414,1496,219,55,188,1034,820
415,1497,220,56,189,1032,821
416,1500,225,53,194,1028,818
417,1500,214,58,190,1038,818
418,1499,206,62,194,1037,815
419,1500,207,59,196,1038,814
420,1500,198,67,202,1033,814
421,1493,194,61,202,1036,810
422,1499,188,63,213,1035,811
423,1499,183,57,222,1037,811
424,1500,183,49,230,1038,812
425,1500,191,57,223,1029,812
426,1500,191,49,229,1031,812
427,1499,188,53,227,1031,813
428,1499,187,58,223,1031,812
429,1499,199,52,222,1026,810
430,1497,201,57,216,1023,811
431,1500,196,59,223,1022,811
432,1500,191,59,225,1025,809
433,1499,193,66,219,1021,813
434,1497,196,63,222,1016,814
435,1499,216,56,220,1007,813
436,1499,223,50,219,1007,811
437,1499,230,49,220,1000,813
438,1497,233,52,212,1000,815
439,1500,234,61,216,989,819
440,1497,224,70,208,995,817
441,1500,231,66,217,986,818
442,1500,238,65,219,978,818
443,1499,234,59,226,980,819
444,1500,239,53,232,976,820
445,1499,245,57,228,969,820
446,1497,241,59,224,973,821
447,1500,246,61,230,963,819
448,1500,243,71,226,960,822
449,1498,238,73,232,955,821
450,1498,244,80,224,950,823
451,1498,253,72,230,943,828
452,1500,251,69,243,937,829
453,1497,250,66,251,930,827
454,1500,243,77,250,930,829
455,1499,240,78,252,929,828
456,1497,237,78,261,921,827
457,1498,245,86,249,918,825
458,1498,263,69,259,907,824
459,1498,265,67,263,903,828
460,1499,263,56,280,900,832
461,1499,265,61,276,897,832
462,1499,255,75,273,896,833
463,1497,252,81,270,894,832
464,1500,241,89,281,889,837
465,1497,252,85,275,885,840
466,1498,255,81,272,890,839
467,1496,247,76,285,888,843
468,1500,250,72,294,884,848
469,1500,240,83,288,889,847
470,1495,238,73,289,895,843
471,1497,233,71,299,894,846
472,1493,238,68,289,898,839
473,1500,239,62,297,902,841
474,1495,240,65,282,908,838
475,1500,231,74,284,911,839
476,1500,217,83,293,907,837
477,1499,218,78,295,908,833
478,1500,218,79,297,906,830
479,1497,217,76,296,908,830
480,1498,210,76,302,910,828
481,1492,207,74,287,924,823
482,1497,210,73,286,928,823
483,1500,209,72,291,928,824
484,1495,207,63,292,933,819
485,1496,204,67,285,940,818
486,1494,208,60,288,938,816
487,1493,203,72,277,941,817
488,1499,198,76,278,947,812
489,1499,192,74,283,950,811
490,1493,190,73,281,949,807
491,1498,199,61,285,953,810
492,1495,197,60,283,955,810
493,1487,195,60,279,953,805
494,1481,201,58,267,955,806
495,1478,204,60,263,951,805
496,1483,200,59,265,959,805
497,1494,211,61,258,964,810
