ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked turtles
0,1500,1490,10,0,0,1500
1,1500,1490,10,0,0,1500
2,1500,1490,10,0,0,1500
3,1500,1489,1,10,0,1500
4,1500,1487,3,10,0,1500
5,1500,1485,5,10,0,1500
6,1500,1484,6,10,0,1500
7,1500,1483,5,12,0,1500
8,1500,1480,6,14,0,1500
9,1500,1479,5,16,0,1500
10,1500,1474,10,16,0,1500
11,1500,1472,9,19,0,1500
12,1500,1470,10,20,0,1500
13,1500,1469,7,24,0,1500
14,1500,1466,8,26,0,1500
15,1500,1457,14,29,0,1500
16,1500,1452,18,30,0,1500
17,1499,1456,17,22,4,1499
18,1500,1451,17,28,4,1500
19,1500,1447,13,36,4,1500
20,1500,1443,14,39,4,1500
21,1500,1439,16,39,6,1500
22,1500,1429,21,43,7,1500
23,1500,1425,24,44,7,1500
24,1500,1420,25,48,7,1500
25,1498,1415,22,54,7,1498
26,1500,1410,23,60,7,1500
27,1500,1404,24,62,10,1500
28,1500,1399,21,68,12,1500
29,1500,1393,25,70,12,1500
30,1500,1381,29,77,13,1500
31,1500,1371,33,81,15,1500
32,1500,1365,35,81,19,1500
33,1500,1359,34,84,23,1500
34,1500,1352,34,91,23,1500
35,1500,1340,37,99,24,1500
36,1500,1331,42,99,28,1500
37,1500,1318,44,110,28,1500
38,1500,1303,53,115,29,1500
39,1499,1287,60,119,33,1499
40,1500,1274,65,125,36,1500
41,1500,1262,65,134,39,1500
42,1499,1253,58,145,43,1499
43,1500,1241,51,161,47,1500
44,1499,1222,53,172,52,1499
45,1500,1203,66,177,54,1500
46,1500,1181,76,183,60,1500
47,1499,1169,70,195,65,1499
48,1500,1154,73,204,69,1500
49,1499,1144,62,217,76,1499
50,1500,1134,62,226,78,1500
51,1499,1125,57,236,81,1499
52,1500,1109,60,246,85,1500
53,1498,1086,74,246,92,1498
54,1499,1072,84,247,96,1499
55,1499,1055,89,251,104,1499
56,1500,1038,89,260,113,1500
57,1498,1018,91,263,126,1498
58,1498,988,105,266,139,1498
59,1500,976,101,280,143,1500
60,1500,959,97,295,149,1500
61,1500,941,96,305,158,1500
62,1499,918,98,314,169,1499
63,1497,905,96,317,179,1497
64,1497,892,94,327,184,1497
65,1493,860,95,339,199,1493
66,1495,837,104,345,209,1495
67,1500,825,108,353,214,1500
68,1494,799,105,373,217,1494
69,1493,770,112,385,226,1493
70,1486,749,112,386,239,1486
71,1480,737,104,392,247,1480
72,1474,716,99,406,253,1474
73,1465,699,87,415,264,1465
74,1464,689,89,408,278,1464
75,1456,656,102,405,293,1456
76,1454,638,107,399,310,1454
77,1451,618,111,398,324,1451
78,1449,600,107,405,337,1449
79,1439,582,99,406,352,1439
80,1438,575,88,410,365,1438
81,1440,568,79,415,378,1440
82,1433,555,76,408,394,1433
83,1424,540,73,402,409,1424
84,1418,525,76,392,425,1418
85,1412,516,79,377,440,1412
86,1402,509,68,368,457,1402
87,1393,499,68,353,473,1393
88,1397,495,62,356,484,1397
89,1400,490,63,344,503,1400
90,1398,484,58,340,516,1398
91,1395,474,61,330,530,1395
92,1392,468,58,318,548,1392
93,1382,461,59,297,565,1382
94,1382,457,60,282,583,1382
95,1381,463,44,278,596,1381
96,1369,454,43,265,607,1369
97,1365,454,30,259,622,1365
98,1363,449,36,248,630,1363
99,1359,446,39,241,633,1359
100,1355,447,39,224,645,1355
101,1358,446,42,213,657,1358
102,1352,443,36,205,668,1352
103,1349,445,29,199,676,1349
104,1353,451,25,194,683,1353
105,1358,447,37,183,691,1358
106,1353,447,35,172,699,1353
107,1358,446,39,162,711,1358
108,1364,453,33,159,719,1364
109,1374,466,24,151,733,1374
110,1386,474,23,145,744,1386
111,1391,481,22,134,754,1391
112,1395,482,26,132,755,1395
113,1405,485,29,131,760,1405
114,1414,488,33,126,767,1414
115,1420,488,29,130,773,1420
116,1425,496,27,122,780,1425
117,1440,509,22,121,788,1440
118,1439,513,24,112,790,1439
119,1455,523,22,117,793,1455
120,1470,539,21,114,796,1470
121,1473,543,19,115,796,1473
122,1482,548,21,111,802,1482
123,1484,548,26,102,808,1484
124,1492,555,28,97,812,1492
125,1500,566,21,99,814,1500
126,1500,567,19,99,815,1500
127,1500,566,14,101,819,1500
128,1500,563,15,100,822,1500
129,1500,566,15,91,828,1500
130,1500,565,15,90,830,1500
131,1500,564,17,84,835,1500
132,1500,563,20,82,835,1500
133,1500,566,20,76,838,1500
134,1500,564,17,77,842,1500
135,1500,564,12,77,847,1500
136,1500,566,8,76,850,1500
137,1499,571,8,72,848,1499
138,1499,570,8,73,848,1499
139,1500,568,14,64,854,1500
140,1500,566,17,61,856,1500
141,1500,570,19,54,857,1500
142,1499,565,16,59,859,1499
143,1500,565,15,60,860,1500
144,1500,566,12,58,864,1500
145,1500,564,13,57,866,1500
146,1499,560,12,60,867,1499
147,1500,565,11,59,865,1500
148,1500,566,12,55,867,1500
149,1500,567,13,51,869,1500
150,1500,567,10,50,873,1500
151,1500,567,10,51,872,1500
152,1500,571,7,51,871,1500
153,1499,572,7,53,867,1499
154,1500,568,12,52,868,1500
155,1500,569,12,52,867,1500
156,1500,575,16,44,865,1500
157,1500,574,14,45,867,1500
158,1500,574,12,46,868,1500
159,1500,577,10,45,868,1500
160,1500,581,5,46,868,1500
161,1500,582,6,46,866,1500
162,1500,586,7,44,863,1500
163,1499,587,8,43,861,1499
164,1500,591,10,39,860,1500
165,1500,592,9,39,860,1500
166,1500,598,7,39,856,1500
167,1500,601,6,38,855,1500
168,1500,602,7,38,853,1500
169,1500,605,10,38,847,1500
170,1500,606,10,39,845,1500
171,1500,609,10,36,845,1500
172,1500,614,6,36,844,1500
173,1499,619,8,34,838,1499
174,1499,623,8,31,837,1499
175,1500,633,7,31,829,1500
176,1500,641,7,32,820,1500
177,1500,655,5,33,807,1500
178,1500,667,4,34,795,1500
179,1500,672,3,33,792,1500
180,1500,680,2,30,788,1500
181,1500,686,4,29,781,1500
182,1500,695,5,28,772,1500
183,1500,706,5,26,763,1500
184,1500,709,5,27,759,1500
185,1500,723,5,27,745,1500
186,1500,735,5,22,738,1500
187,1500,736,8,23,733,1500
188,1500,738,8,23,731,1500
189,1499,746,10,21,722,1499
190,1500,760,9,20,711,1500
191,1500,767,5,23,705,1500
192,1500,772,5,23,700,1500
193,1500,781,6,23,690,1500
194,1500,791,9,23,677,1500
195,1500,803,10,24,663,1500
196,1500,819,9,25,647,1500
197,1500,832,7,28,633,1500
198,1500,843,6,30,621,1500
199,1499,856,8,29,606,1499
200,1500,868,9,29,594,1500
201,1499,880,9,29,581,1499
202,1500,894,9,31,566,1500
203,1500,907,9,33,551,1500
204,1500,920,11,32,537,1500
205,1500,939,7,30,524,1500
206,1500,956,4,32,508,1500
207,1500,969,6,33,492,1500
208,1500,976,9,33,482,1500
209,1500,987,18,31,464,1500
210,1500,1002,15,32,451,1500
211,1500,1014,13,35,438,1500
212,1500,1032,9,36,423,1500
213,1500,1047,8,38,407,1500
214,1500,1059,12,40,389,1500
215,1500,1064,16,42,378,1500
216,1500,1071,21,38,370,1500
217,1500,1084,18,42,356,1500
218,1500,1088,16,48,348,1500
219,1498,1085,17,50,346,1498
220,1500,1098,15,51,336,1500
221,1500,1110,14,50,326,1500
222,1500,1109,17,58,316,1500
223,1500,1110,21,61,308,1500
224,1500,1114,25,60,301,1500
225,1500,1115,27,61,297,1500
226,1500,1119,23,66,292,1500
227,1500,1128,22,67,283,1500
228,1500,1130,23,72,275,1500
229,1500,1135,21,79,265,1500
230,1500,1139,26,81,254,1500
231,1500,1141,31,83,245,1500
232,1500,1137,32,82,249,1500
233,1500,1129,37,86,248,1500
234,1500,1131,38,88,243,1500
235,1500,1125,38,99,238,1500
236,1499,1123,41,100,235,1499
237,1500,1118,45,109,228,1500
238,1500,1110,46,118,226,1500
239,1499,1101,49,123,226,1499
240,1500,1094,53,126,227,1500
241,1500,1076,58,139,227,1500
242,1500,1069,63,143,225,1500
243,1498,1070,57,147,224,1498
244,1500,1057,60,161,222,1500
245,1499,1042,60,174,223,1499
246,1500,1030,61,185,224,1500
247,1500,1017,69,187,227,1500
248,1500,1001,67,203,229,1500
249,1500,979,86,209,226,1500
250,1500,964,94,214,228,1500
251,1500,933,110,225,232,1500
252,1500,923,100,239,238,1500
253,1500,906,91,263,240,1500
254,1498,886,89,279,244,1498
255,1500,871,91,288,250,1500
256,1500,853,98,299,250,1500
257,1500,831,103,309,257,1500
258,1500,816,95,324,265,1500
259,1497,791,109,330,267,1497
260,1498,772,106,345,275,1498
261,1499,756,113,354,276,1499
262,1495,738,109,364,284,1495
263,1500,725,100,382,293,1500
264,1500,705,100,398,297,1500
265,1500,694,93,405,308,1500
266,1499,674,103,402,320,1499
267,1492,658,98,398,338,1492
268,1491,644,99,395,353,1491
269,1486,626,101,397,362,1486
270,1481,613,98,404,366,1481
271,1483,595,99,408,381,1483
272,1480,591,93,400,396,1480
273,1478,579,86,406,407,1478
274,1467,557,85,405,420,1467
275,1465,540,89,404,432,1465
276,1460,538,86,394,442,1460
277,1459,533,79,386,461,1459
278,1448,524,72,379,473,1448
279,1446,522,69,372,483,1446
280,1449,518,63,374,494,1449
281,1453,516,65,361,511,1453
282,1464,519,69,347,529,1464
283,1461,513,64,341,543,1461
284,1453,503,65,333,552,1453
285,1454,500,64,321,569,1454
286,1463,500,61,316,586,1463
287,1462,498,66,299,599,1462
288,1457,497,56,291,613,1457
289,1464,495,60,286,623,1464
290,1472,495,56,281,640,1472
291,1469,503,51,266,649,1469
292,1468,497,53,260,658,1468
293,1468,497,52,252,667,1468
294,1470,510,48,241,671,1470
295,1477,517,46,236,678,1477
296,1490,526,44,235,685,1490
297,1484,519,42,228,695,1484
298,1484,524,38,218,704,1484
299,1486,526,35,214,711,1486
300,1498,538,32,208,720,1498
301,1499,539,35,200,725,1499
302,1497,541,35,186,735,1497
303,1497,542,33,182,740,1497
304,1499,543,35,172,749,1499
305,1498,539,36,169,754,1498
306,1500,536,42,160,762,1500
307,1499,531,42,155,771,1499
308,1498,529,42,152,775,1498
309,1500,531,36,150,783,1500
310,1500,532,30,151,787,1500
311,1500,528,34,147,791,1500
312,1500,525,35,145,795,1500
313,1499,530,33,138,798,1499
314,1500,532,29,136,803,1500
315,1500,532,22,140,806,1500
316,1500,526,25,139,810,1500
317,1498,524,25,134,815,1498
318,1499,524,25,133,817,1499
319,1498,524,22,133,819,1498
320,1499,517,28,129,825,1499
321,1500,514,28,127,831,1500
322,1500,516,24,124,836,1500
323,1499,513,24,118,844,1499
324,1499,515,19,116,849,1499
325,1499,523,15,110,851,1499
326,1500,524,16,108,852,1500
327,1500,520,19,105,856,1500
328,1500,525,17,98,860,1500
329,1500,531,13,92,864,1500
330,1500,529,15,90,866,1500
331,1500,530,15,89,866,1500
332,1500,531,18,84,867,1500
333,1499,534,17,79,869,1499
334,1500,536,13,81,870,1500
335,1500,540,12,76,872,1500
336,1500,543,8,75,874,1500
337,1500,543,9,72,876,1500
338,1498,544,11,62,881,1498
339,1500,550,9,60,881,1500
340,1500,551,10,56,883,1500
341,1500,555,6,57,882,1500
342,1500,554,8,54,884,1500
343,1500,557,5,52,886,1500
344,1500,557,7,48,888,1500
345,1500,560,9,45,886,1500
346,1500,557,13,45,885,1500
347,1500,561,12,43,884,1500
348,1500,556,16,38,890,1500
349,1500,561,13,38,888,1500
350,1500,558,13,37,892,1500
351,1500,557,12,39,892,1500
352,1500,560,11,41,888,1500
353,1500,566,7,42,885,1500
354,1500,564,10,42,884,1500
355,1500,566,8,41,885,1500
356,1500,566,12,41,881,1500
357,1500,567,10,41,882,1500
358,1500,565,10,42,883,1500
359,1500,565,10,43,882,1500
360,1500,570,6,45,879,1500
361,1500,571,6,44,879,1500
362,1500,574,7,43,876,1500
363,1500,578,4,43,875,1500
364,1500,578,9,38,875,1500
365,1500,577,10,37,876,1500
366,1499,578,12,34,875,1499
367,1500,588,12,31,869,1500
368,1500,591,10,35,864,1500
369,1500,592,9,36,863,1500
370,1500,595,10,36,859,1500
371,1500,602,12,34,852,1500
372,1500,605,12,36,847,1500
373,1500,611,10,36,843,1500
374,1500,620,9,34,837,1500
375,1500,631,4,38,827,1500
376,1500,631,6,38,825,1500
377,1500,643,4,37,816,1500
378,1500,647,7,38,808,1500
379,1499,655,6,35,803,1499
