ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked 1 turtles,masked 2 turtles
0,1500,1490,10,0,0,146,750
1,1500,1490,10,0,0,146,750
2,1500,1490,10,0,0,146,750
3,1500,1479,11,10,0,147,749
4,1500,1474,16,10,0,147,749
5,1500,1469,21,10,0,147,749
6,1500,1464,20,16,0,147,749
7,1500,1450,27,23,0,147,749
8,1500,1444,29,27,0,147,749
9,1500,1427,40,33,0,147,749
10,1500,1413,48,39,0,147,749
11,1500,1384,63,53,0,147,749
12,1500,1361,75,64,0,147,749
13,1500,1329,91,80,0,147,749
14,1500,1291,113,96,0,147,749
15,1500,1243,133,124,0,147,749
16,1500,1195,155,150,0,147,749
17,1499,1157,164,172,6,146,747
18,1500,1095,187,212,6,146,748
19,1499,1030,200,263,6,146,748
20,1500,972,218,303,7,146,749
21,1499,927,210,352,10,145,747
22,1500,862,220,406,12,145,749
23,1500,800,219,466,15,148,748
24,1499,739,225,516,19,148,748
25,1497,706,205,561,25,150,748
26,1496,644,211,612,29,151,750
27,1489,581,205,669,34,151,749
28,1490,534,213,699,44,153,750
29,1485,470,236,717,62,155,746
30,1476,426,202,774,74,152,748
31,1465,384,187,803,91,150,749
32,1454,341,183,820,110,150,746
33,1439,313,166,822,138,149,739
34,1430,276,156,833,165,147,734
35,1407,257,132,826,192,146,722
36,1382,232,127,805,218,140,721
37,1360,209,108,784,259,136,712
38,1334,194,92,765,283,135,698
39,1312,177,91,730,314,134,689
40,1294,167,75,703,349,135,682
41,1262,151,70,653,388,131,663
42,1248,142,65,627,414,129,659
43,1233,132,55,609,437,128,650
44,1195,126,53,540,476,124,632
45,1170,121,51,493,505,124,615
46,1148,116,47,453,532,126,599
47,1125,116,38,415,556,125,583
48,1109,112,41,369,587,123,571
49,1099,118,39,332,610,127,556
50,1088,118,34,308,628,124,547
51,1070,117,33,271,649,122,537
52,1062,121,25,245,671,123,530
53,1064,125,24,230,685,123,534
54,1047,121,26,202,698,123,522
55,1048,129,20,186,713,126,519
56,1046,129,20,174,723,125,517
57,1042,132,23,151,736,124,513
58,1043,135,21,143,744,124,515
59,1041,134,23,133,751,124,510
60,1040,135,22,124,759,125,508
61,1039,143,19,114,763,124,508
62,1039,147,17,108,767,123,507
63,1043,152,11,105,775,123,509
64,1057,166,8,99,784,124,514
65,1062,169,14,91,788,125,517
66,1062,176,12,83,791,124,517
67,1065,182,14,75,794,125,518
68,1072,182,18,72,800,127,520
69,1081,190,16,72,803,129,522
70,1092,202,15,66,809,129,528
71,1102,210,17,64,811,131,531
72,1108,214,13,66,815,132,534
73,1117,220,13,66,818,132,539
74,1120,226,12,61,821,134,541
75,1136,241,11,59,825,136,552
76,1149,251,12,58,828,139,556
77,1152,251,14,55,832,140,557
78,1163,259,15,51,838,145,561
79,1175,269,16,52,838,148,563
80,1184,273,17,55,839,149,565
81,1192,275,19,59,839,151,567
82,1201,278,21,59,843,153,570
83,1202,277,23,56,846,155,571
84,1212,284,20,61,847,157,576
85,1214,287,12,67,848,158,575
86,1221,294,14,62,851,160,580
87,1229,297,14,64,854,163,580
88,1241,303,19,63,856,166,583
89,1255,316,20,61,858,169,589
90,1269,325,20,64,860,172,595
91,1276,329,19,65,863,171,599
92,1289,337,20,67,865,174,602
93,1305,348,21,70,866,178,610
94,1311,350,24,68,869,180,613
95,1323,357,25,70,871,181,616
96,1337,367,26,72,872,185,622
97,1355,380,23,78,874,188,631
98,1368,390,26,75,877,192,637
99,1372,386,32,73,881,189,642
100,1384,392,32,77,883,190,646
101,1389,390,37,77,885,193,647
102,1401,391,39,85,886,198,651
103,1408,388,37,96,887,199,653
104,1418,393,38,97,890,205,655
105,1426,394,34,104,894,206,657
106,1429,391,28,112,898,206,657
107,1440,396,31,113,900,208,661
108,1454,400,33,119,902,211,664
109,1474,405,43,120,906,214,668
110,1479,397,51,122,909,214,671
111,1491,400,53,123,915,218,675
112,1500,396,60,128,916,220,679
113,1500,383,58,141,918,218,681
114,1500,368,64,147,921,219,682
115,1499,360,58,157,924,218,683
116,1499,350,59,161,929,218,684
117,1499,334,57,170,938,220,685
118,1499,319,62,177,941,219,687
119,1500,312,58,181,949,220,690
120,1497,301,63,181,952,219,690
121,1498,293,58,194,953,219,689
122,1499,287,50,202,960,218,691
123,1500,275,52,209,964,218,693
124,1499,261,51,218,969,219,692
125,1500,257,48,218,977,219,691
126,1499,255,45,220,979,220,691
127,1499,255,37,218,989,220,692
128,1499,252,32,218,997,220,692
129,1500,249,32,211,1008,220,696
130,1500,250,29,207,1014,219,696
131,1499,250,29,194,1026,219,697
132,1500,244,32,189,1035,219,697
133,1498,246,31,179,1042,217,698
134,1499,245,28,177,1049,218,700
135,1500,246,29,165,1060,219,700
136,1500,241,33,156,1070,217,705
137,1498,244,38,145,1071,217,705
138,1497,247,32,139,1079,214,709
139,1500,246,28,139,1087,215,709
140,1500,245,27,138,1090,217,710
141,1498,248,26,130,1094,215,711
142,1498,251,30,119,1098,214,710
143,1499,253,30,119,1097,215,708
144,1499,255,29,120,1095,213,709
145,1500,257,32,117,1094,212,710
146,1500,262,29,115,1094,210,711
147,1500,263,25,118,1094,210,710
148,1500,266,25,116,1093,210,709
149,1500,280,26,116,1078,211,707
150,1500,286,29,113,1072,211,708
151,1500,295,30,118,1057,211,709
152,1500,309,35,113,1043,212,705
153,1500,336,33,112,1019,211,701
154,1499,351,41,109,998,212,703
155,1500,375,39,110,976,213,703
156,1500,383,47,118,952,213,703
157,1499,411,57,116,915,213,702
158,1500,424,56,123,897,215,702
159,1500,440,61,128,871,216,702
160,1498,459,62,139,838,216,701
161,1500,484,70,145,801,220,699
162,1500,494,74,152,780,220,698
163,1500,484,93,163,760,223,697
164,1500,501,98,177,724,223,697
165,1499,510,100,190,699,221,696
166,1500,507,104,213,676,221,696
167,1500,502,104,236,658,221,698
168,1500,505,113,251,631,220,699
169,1500,496,122,266,616,220,699
170,1500,485,119,294,602,219,698
171,1500,470,126,318,586,218,699
172,1498,473,122,331,572,217,701
173,1497,464,109,360,564,217,701
174,1498,441,119,376,562,217,701
175,1500,429,125,392,554,217,705
176,1500,407,138,406,549,220,708
177,1497,393,138,420,546,220,709
178,1500,372,135,445,548,219,707
179,1498,343,147,455,553,217,707
180,1495,322,146,465,562,218,708
181,1483,305,135,473,570,219,706
182,1478,287,120,495,576,222,702
183,1472,274,112,508,578,220,704
184,1455,252,112,503,588,216,702
185,1450,248,97,505,600,214,705
186,1438,242,86,501,609,213,700
187,1433,234,72,497,630,213,699
188,1424,229,69,489,637,212,694
189,1416,217,78,471,650,209,691
190,1410,206,88,457,659,205,690
191,1395,197,81,450,667,205,679
192,1379,190,74,430,685,201,680
193,1365,183,70,419,693,199,675
194,1356,191,54,404,707,197,679
195,1341,185,53,382,721,193,671
196,1330,184,54,353,739,191,665
197,1323,185,52,331,755,187,660
198,1320,190,55,308,767,188,656
199,1306,185,51,291,779,187,644
200,1297,179,45,283,790,188,633
201,1296,182,39,261,814,193,631
202,1294,185,38,248,823,190,629
203,1295,190,35,244,826,191,626
204,1305,199,33,240,833,195,628
205,1304,203,32,223,846,195,624
206,1303,210,26,211,856,193,622
207,1306,215,33,194,864,197,624
208,1307,215,35,181,876,198,621
209,1314,222,38,168,886,200,622
210,1316,228,38,161,889,203,618
211,1316,240,31,154,891,204,617
212,1320,243,24,158,895,205,617
213,1327,251,25,151,900,210,616
214,1329,258,28,138,905,214,617
215,1334,254,37,130,913,216,618
216,1335,248,46,124,917,220,616
217,1346,257,45,124,920,223,618
218,1350,261,44,121,924,225,617
219,1359,266,36,131,926,227,617
220,1356,262,36,129,929,227,613
221,1365,258,41,137,929,230,617
222,1365,256,45,131,933,228,620
223,1378,268,40,134,936,230,625
224,1381,271,28,145,937,230,627
225,1395,288,26,146,935,230,630
226,1397,286,35,139,937,232,629
227,1409,298,37,135,939,233,635
228,1424,311,34,138,941,237,641
229,1434,309,40,144,941,241,643
230,1444,312,40,150,942,243,649
231,1463,321,52,146,944,247,660
232,1473,320,55,149,949,246,665
233,1482,325,54,144,959,251,668
234,1486,321,56,147,962,252,671
235,1485,317,52,153,963,250,672
236,1490,311,58,161,960,251,675
237,1490,314,55,167,954,251,675
238,1494,316,58,161,959,253,677
239,1500,320,59,164,957,253,680
240,1499,311,52,179,957,253,679
241,1500,301,54,186,959,252,682
242,1500,294,58,194,954,254,682
243,1498,285,64,193,956,254,684
244,1500,284,60,197,959,253,686
245,1499,286,50,210,953,251,685
246,1500,281,38,221,960,253,685
247,1500,284,42,221,953,252,687
248,1497,280,53,215,949,248,687
249,1500,283,59,209,949,247,686
250,1499,283,58,208,950,248,685
251,1499,288,60,207,944,249,682
252,1499,286,59,213,941,250,684
253,1497,288,54,216,939,249,686
254,1500,289,59,207,945,251,687
255,1500,292,57,211,940,252,685
256,1499,286,65,209,939,251,687
257,1499,270,77,215,937,248,689
258,1500,266,81,214,939,248,690
259,1497,267,74,217,939,244,689
260,1495,272,62,218,943,242,691
261,1500,274,56,229,941,242,694
262,1500,267,56,238,939,241,694
263,1499,264,53,240,942,241,696
264,1500,255,59,245,941,244,693
265,1499,259,58,241,941,242,696
266,1496,254,58,240,944,241,695
267,1498,252,58,240,948,240,694
268,1500,249,59,245,947,241,692
269,1497,240,68,240,949,241,691
270,1496,242,61,244,949,238,692
271,1498,239,61,242,956,237,695
272,1498,238,54,249,957,239,693
273,1495,234,56,242,963,240,693
274,1493,234,56,234,969,242,691
275,1496,241,53,224,978,239,697
276,1500,237,54,222,987,240,701
277,1500,234,47,228,991,240,699
278,1497,234,46,223,994,240,701
279,1499,235,47,224,993,241,703
280,1498,229,45,223,1001,243,702
281,1499,226,49,216,1008,245,698
282,1499,229,46,211,1013,247,699
283,1500,228,42,214,1016,248,698
284,1498,228,44,207,1019,245,702
285,1500,239,32,206,1023,247,704
286,1499,241,35,196,1027,252,702
287,1500,242,37,190,1031,255,702
288,1500,239,41,184,1036,253,703
289,1500,245,40,177,1038,254,704
290,1500,249,33,174,1044,256,700
291,1498,254,30,167,1047,257,697
292,1498,260,28,166,1044,256,694
293,1500,262,33,159,1046,256,695
294,1500,277,33,148,1042,255,697
295,1500,280,30,150,1040,254,695
296,1497,276,31,148,1042,255,692
