ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked 1 turtles,masked 2 turtles
0,1500,1490,10,0,0,593,300
1,1500,1490,10,0,0,593,300
2,1500,1490,10,0,0,593,300
3,1500,1476,14,10,0,593,300
4,1500,1471,19,10,0,593,300
5,1499,1463,26,10,0,593,300
6,1500,1441,39,20,0,594,300
7,1500,1417,58,25,0,595,299
8,1500,1397,71,32,0,595,299
9,1500,1363,86,51,0,595,299
10,1500,1317,119,64,0,595,299
11,1500,1261,148,91,0,595,299
12,1500,1217,168,115,0,595,299
13,1500,1140,200,160,0,595,299
14,1500,1052,241,207,0,595,299
15,1500,960,283,257,0,595,299
16,1500,852,329,319,0,595,299
17,1497,793,315,386,3,595,298
18,1500,717,305,475,3,596,299
19,1500,645,287,565,3,596,299
20,1497,560,279,651,7,595,299
21,1500,482,290,717,11,596,300
22,1499,419,274,791,15,595,299
23,1498,362,254,853,29,597,298
24,1499,325,221,918,35,602,297
25,1492,284,185,971,52,602,297
26,1480,254,154,1010,62,596,295
27,1462,224,135,1018,85,591,293
28,1442,193,132,1010,107,588,288
29,1417,164,122,1001,130,578,287
30,1389,139,124,967,159,566,286
31,1355,121,107,931,196,552,282
32,1316,97,106,872,241,538,275
33,1277,82,94,815,286,525,267
34,1235,69,86,746,334,502,264
35,1204,55,71,706,372,484,258
36,1176,42,63,650,421,472,256
37,1139,43,51,587,458,460,247
38,1108,37,43,528,500,445,241
39,1072,39,34,464,535,433,229
40,1046,40,29,414,563,430,215
41,1027,40,30,369,588,424,209
42,1011,40,27,337,607,415,203
43,991,37,23,308,623,405,196
44,984,41,21,286,636,404,192
45,967,45,17,252,653,404,185
46,956,49,12,228,667,401,182
47,953,55,11,200,687,399,180
48,949,59,10,178,702,397,179
49,939,63,12,149,715,393,177
50,930,67,15,124,724,391,173
51,930,72,14,112,732,391,174
52,929,79,12,97,741,394,168
53,930,81,14,85,750,399,167
54,937,90,15,75,757,405,166
55,939,92,15,71,761,404,166
56,944,97,15,67,765,407,165
57,942,100,11,61,770,404,165
58,943,102,11,59,771,402,165
59,946,104,14,54,774,402,165
60,953,109,15,52,777,408,165
61,959,115,16,49,779,412,165
62,966,117,16,50,783,414,167
63,980,128,18,51,783,422,168
64,990,135,15,57,783,429,168
65,993,137,14,55,787,430,168
66,1005,149,10,56,790,435,169
67,1017,158,11,57,791,441,170
68,1017,156,14,55,792,440,170
69,1025,163,14,54,794,443,170
70,1032,170,12,55,795,445,172
71,1036,177,10,53,796,448,171
72,1043,183,8,53,799,452,171
73,1055,191,10,55,799,459,171
74,1060,196,12,52,800,462,172
75,1063,197,14,52,800,464,172
76,1077,211,15,49,802,473,174
77,1084,214,14,52,804,477,175
78,1091,224,14,48,805,485,175
79,1104,229,20,49,806,492,176
80,1114,238,19,48,809,497,178
81,1124,247,20,46,811,502,179
82,1138,252,22,52,812,508,179
83,1146,252,24,56,814,513,180
84,1158,258,30,54,816,518,183
85,1166,261,28,59,818,522,183
86,1175,267,24,63,821,525,184
87,1184,271,22,69,822,534,184
88,1201,278,27,73,823,541,187
89,1212,280,31,77,824,546,189
90,1222,286,30,81,825,551,188
91,1224,281,32,83,828,550,188
92,1233,281,32,90,830,553,188
93,1245,287,34,92,832,558,190
94,1254,281,40,97,836,563,191
95,1265,280,43,105,837,565,194
96,1269,278,43,108,840,568,195
97,1279,280,41,113,845,572,196
98,1287,280,40,121,846,578,196
99,1298,286,37,126,849,582,198
100,1311,287,38,131,855,588,199
101,1313,278,47,128,860,588,201
102,1324,275,54,132,863,595,203
103,1333,270,56,142,865,599,206
104,1344,270,58,145,871,605,207
105,1353,257,69,150,877,609,207
106,1357,239,75,162,881,614,207
107,1365,244,66,172,883,620,210
108,1379,235,75,179,890,623,214
109,1383,227,65,196,895,625,215
110,1395,223,66,204,902,632,218
111,1398,211,73,204,910,631,219
112,1406,212,62,218,914,633,222
113,1416,202,70,221,923,639,222
114,1420,202,59,228,931,641,222
115,1422,199,49,241,933,645,224
116,1432,197,53,244,938,652,225
117,1431,193,47,247,944,647,226
118,1436,183,54,249,950,649,226
119,1444,173,65,249,957,651,229
120,1439,164,68,242,965,651,230
121,1447,160,71,243,973,659,230
122,1453,164,62,248,979,658,231
123,1453,165,59,238,991,656,232
124,1459,156,56,245,1002,661,231
125,1466,146,65,245,1010,663,233
126,1468,151,64,234,1019,667,231
127,1471,149,57,237,1028,665,231
128,1470,147,48,239,1036,664,231
129,1480,154,44,237,1045,670,235
130,1482,149,52,232,1049,673,237
131,1486,150,53,226,1057,678,237
132,1491,147,54,227,1063,684,237
133,1494,143,52,229,1070,688,237
134,1498,139,50,230,1079,688,238
135,1497,136,47,224,1090,686,238
136,1494,131,44,220,1099,685,240
137,1500,139,42,215,1104,687,242
138,1493,137,41,200,1115,683,242
139,1500,136,43,199,1122,687,243
140,1500,138,38,199,1125,687,242
141,1498,135,42,190,1131,685,242
142,1499,138,41,180,1140,688,242
143,1498,145,43,172,1138,689,242
144,1500,146,43,175,1136,690,243
145,1499,153,43,176,1127,688,243
146,1498,157,44,173,1124,688,242
147,1496,176,44,169,1107,689,243
148,1491,190,44,168,1089,690,243
149,1496,212,48,167,1069,688,243
150,1498,231,55,164,1048,691,242
151,1499,254,67,160,1018,689,242
152,1499,285,74,163,977,687,242
153,1499,303,85,173,938,687,243
154,1500,335,88,180,897,688,241
155,1499,354,91,190,864,688,240
156,1499,377,92,207,823,686,240
157,1496,376,111,220,789,683,239
158,1499,378,136,232,753,685,238
159,1500,384,143,248,725,687,238
160,1499,380,150,267,702,686,238
161,1499,360,158,299,682,685,238
162,1497,329,167,332,669,685,236
163,1499,300,181,358,660,688,236
164,1499,270,189,386,654,688,236
165,1500,248,182,430,640,687,238
166,1498,224,166,476,632,688,238
167,1492,215,158,501,618,686,239
168,1490,192,161,524,613,690,238
169,1489,166,154,558,611,691,238
170,1487,155,146,571,615,690,240
171,1487,130,155,582,620,691,238
172,1484,117,136,612,619,693,235
173,1476,106,124,621,625,691,233
174,1474,96,114,629,635,689,235
175,1458,87,99,621,651,681,234
