ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked turtles
0,1500,1490,10,0,0,1500
1,1500,1490,10,0,0,1500
2,1500,1490,10,0,0,1500
3,1500,1488,2,10,0,1500
4,1500,1488,2,10,0,1500
5,1500,1483,7,10,0,1500
6,1500,1482,8,10,0,1500
7,1500,1479,9,12,0,1500
8,1500,1477,10,13,0,1500
9,1500,1475,7,18,0,1500
10,1500,1468,11,21,0,1500
11,1500,1463,16,21,0,1500
12,1500,1459,17,24,0,1500
13,1500,1450,20,30,0,1500
14,1500,1437,29,34,0,1500
15,1500,1422,39,39,0,1500
16,1500,1409,47,44,0,1500
17,1499,1397,50,47,5,1499
18,1500,1377,58,60,5,1500
19,1500,1354,68,73,5,1500
20,1500,1326,83,86,5,1500
21,1500,1294,91,108,7,1500
22,1500,1261,104,128,7,1500
23,1500,1234,110,147,9,1500
24,1500,1189,124,177,10,1500
25,1500,1156,128,206,10,1500
26,1500,1105,152,232,11,1500
27,1499,1054,164,267,14,1499
28,1500,995,189,300,16,1500
29,1500,942,201,341,16,1500
30,1500,879,215,387,19,1500
31,1500,807,242,427,24,1500
32,1500,733,256,482,29,1500
33,1500,681,257,524,38,1500
34,1499,626,245,582,46,1499
35,1490,561,222,652,55,1490
36,1493,510,223,690,70,1493
37,1491,456,219,728,88,1491
38,1487,417,201,762,107,1487
39,1478,363,196,800,119,1478
40,1472,323,187,829,133,1472
41,1454,287,180,835,152,1454
42,1438,254,163,849,172,1438
43,1409,223,133,867,186,1409
44,1388,200,121,857,210,1388
45,1361,184,105,841,231,1361
46,1332,172,90,811,259,1332
47,1314,156,80,790,288,1314
48,1280,143,77,740,320,1280
49,1247,131,74,669,373,1247
50,1227,115,78,628,406,1227
51,1201,107,66,590,438,1201
52,1173,100,62,543,468,1173
53,1147,104,44,499,500,1147
54,1127,97,38,458,534,1127
55,1107,85,41,424,557,1107
56,1087,84,37,384,582,1087
57,1063,87,32,328,616,1063
58,1051,94,23,301,633,1051
59,1047,105,19,274,649,1047
60,1035,107,16,244,668,1035
61,1019,101,20,214,684,1019
62,1023,114,16,197,696,1023
63,1023,122,14,180,707,1023
64,1023,126,13,167,717,1023
65,1016,128,9,148,731,1016
66,1013,132,12,130,739,1013
67,1017,145,10,111,751,1017
68,1016,151,10,97,758,1016
69,1016,155,13,85,763,1016
70,1021,160,11,80,770,1021
71,1024,164,11,75,774,1024
72,1020,164,14,62,780,1020
73,1022,169,12,57,784,1022
74,1026,171,11,54,790,1026
75,1031,177,10,51,793,1031
76,1035,182,8,51,794,1035
77,1043,191,7,48,797,1043
78,1047,194,6,46,801,1047
79,1045,196,5,42,802,1045
80,1052,203,5,42,802,1052
81,1056,207,7,40,802,1056
82,1066,217,7,38,804,1066
83,1073,222,7,39,805,1073
84,1081,228,9,34,810,1081
85,1086,234,8,34,810,1086
86,1098,244,7,36,811,1098
87,1109,255,6,34,814,1109
88,1113,254,8,32,819,1113
89,1123,263,7,32,821,1123
90,1129,272,7,28,822,1129
91,1136,279,6,27,824,1136
92,1147,289,5,28,825,1147
93,1158,297,7,28,826,1158
94,1169,307,8,27,827,1169
95,1181,316,10,27,828,1181
96,1193,326,9,29,829,1193
97,1205,339,8,29,829,1205
98,1217,347,8,32,830,1217
99,1228,356,11,30,831,1228
100,1238,364,13,30,831,1238
101,1250,375,11,31,833,1250
102,1253,379,10,31,833,1253
103,1265,388,8,34,835,1265
104,1274,395,8,36,835,1274
105,1286,402,13,35,836,1286
106,1296,412,12,35,837,1296
107,1309,425,10,37,837,1309
108,1321,433,12,38,838,1321
109,1330,441,7,43,839,1330
110,1342,452,9,40,841,1342
111,1352,457,11,41,843,1352
112,1360,464,13,39,844,1360
113,1368,469,14,41,844,1368
114,1372,473,14,41,844,1372
115,1390,485,16,43,846,1390
116,1401,494,15,44,848,1401
117,1411,502,17,42,850,1411
118,1424,514,15,44,851,1424
119,1436,523,13,48,852,1436
120,1449,532,11,50,856,1449
121,1464,546,11,50,857,1464
122,1476,557,13,49,857,1476
123,1486,567,13,47,859,1486
124,1500,573,18,50,859,1500
125,1500,569,20,50,861,1500
126,1500,567,16,54,863,1500
127,1500,562,13,60,865,1500
128,1500,562,14,58,866,1500
129,1500,561,12,58,869,1500
130,1500,556,19,55,870,1500
131,1500,555,17,58,870,1500
132,1500,552,17,59,872,1500
133,1500,546,20,58,876,1500
134,1500,544,20,59,877,1500
135,1500,540,24,58,878,1500
136,1500,537,21,64,878,1500
137,1500,537,19,67,877,1500
138,1500,533,22,67,878,1500
139,1500,529,19,73,879,1500
140,1500,521,27,71,881,1500
141,1500,523,26,69,882,1500
142,1500,518,26,74,882,1500
143,1500,515,25,76,884,1500
144,1500,509,21,87,883,1500
145,1500,508,25,84,883,1500
146,1499,503,22,88,886,1499
147,1500,505,22,89,884,1500
148,1500,503,24,86,887,1500
149,1500,494,22,95,889,1500
150,1500,492,26,93,889,1500
151,1500,488,31,92,889,1500
152,1500,489,31,94,886,1500
153,1500,482,38,96,884,1500
154,1500,483,36,102,879,1500
155,1500,488,35,102,875,1500
156,1500,498,33,106,863,1500
157,1500,516,24,114,846,1500
158,1500,530,28,110,832,1500
159,1500,532,35,111,822,1500
160,1499,538,38,111,812,1499
161,1500,551,38,115,796,1500
162,1500,560,38,123,779,1500
163,1496,570,34,124,768,1496
164,1500,583,41,130,746,1500
165,1500,593,49,132,726,1500
166,1500,609,53,137,701,1500
167,1500,629,55,139,677,1500
168,1500,642,62,144,652,1500
169,1500,683,60,154,603,1500
170,1500,706,62,158,574,1500
171,1495,718,69,162,546,1495
172,1500,721,82,174,523,1500
173,1499,727,97,183,492,1499
174,1500,741,100,198,461,1500
175,1497,742,96,217,442,1497
176,1499,739,104,231,425,1499
177,1499,748,108,248,395,1499
178,1499,734,115,265,385,1499
179,1500,719,124,283,374,1500
180,1500,703,132,305,360,1500
181,1499,688,134,328,349,1499
182,1499,667,137,349,346,1499
183,1500,647,143,366,344,1500
184,1499,631,137,392,339,1499
185,1498,621,128,416,333,1498
186,1498,610,126,431,331,1498
187,1498,586,134,454,324,1498
188,1500,561,135,471,333,1500
189,1490,532,145,474,339,1490
190,1486,509,147,486,344,1486
191,1483,486,136,504,357,1483
192,1474,463,136,510,365,1474
193,1470,439,124,533,374,1470
194,1467,424,121,535,387,1467
195,1459,408,119,531,401,1459
196,1450,368,130,531,421,1450
197,1445,344,127,534,440,1445
198,1433,325,128,524,456,1433
199,1422,307,119,516,480,1422
200,1411,286,108,523,494,1411
201,1407,269,104,519,515,1407
202,1398,250,99,512,537,1398
203,1390,233,99,505,553,1390
204,1382,228,89,496,569,1382
205,1367,217,77,484,589,1367
206,1364,211,69,478,606,1364
207,1348,199,81,442,626,1348
208,1336,202,69,432,633,1336
209,1333,202,59,422,650,1333
210,1321,200,50,408,663,1321
211,1308,192,47,387,682,1308
212,1298,182,52,371,693,1298
213,1289,179,49,351,710,1289
214,1282,178,47,322,735,1282
215,1277,180,45,304,748,1277
216,1263,174,41,286,762,1263
217,1262,170,38,276,778,1262
218,1259,175,39,256,789,1259
219,1252,174,34,235,809,1252
220,1239,168,39,214,818,1239
221,1243,170,35,212,826,1243
222,1239,170,30,199,840,1239
223,1234,178,26,186,844,1234
224,1232,184,21,173,854,1232
225,1232,187,17,164,864,1232
226,1235,193,15,157,870,1235
227,1234,193,20,147,874,1234
228,1236,199,22,137,878,1236
229,1239,208,21,129,881,1239
230,1240,221,18,117,884,1240
231,1244,228,16,111,889,1244
232,1253,239,13,108,893,1253
233,1254,239,18,97,900,1254
234,1260,244,21,93,902,1260
235,1268,254,22,87,905,1268
236,1274,261,22,82,909,1274
237,1278,269,18,80,911,1278
238,1281,274,15,80,912,1281
239,1286,277,20,75,914,1286
240,1291,289,17,73,912,1291
241,1300,293,19,74,914,1300
242,1315,304,21,76,914,1315
243,1324,316,18,76,914,1324
244,1340,327,23,75,915,1340
245,1356,339,20,77,920,1356
246,1371,353,22,74,922,1371
247,1383,361,23,77,922,1383
248,1397,371,23,80,923,1397
249,1409,386,17,83,923,1409
250,1423,400,16,82,925,1423
251,1437,414,17,80,926,1437
252,1445,421,21,77,926,1445
253,1459,438,21,77,923,1459
254,1473,446,24,78,925,1473
255,1480,452,22,79,927,1480
256,1495,460,25,81,929,1495
257,1500,466,26,81,927,1500
258,1500,461,28,84,927,1500
259,1500,457,29,83,931,1500
260,1500,450,31,87,932,1500
261,1500,449,29,89,933,1500
262,1499,444,27,92,936,1499
263,1500,447,26,92,935,1500
264,1500,443,27,94,936,1500
265,1500,438,30,95,937,1500
266,1500,437,30,96,937,1500
267,1500,428,33,102,937,1500
268,1500,428,32,105,935,1500
269,1500,426,29,108,937,1500
270,1500,424,26,110,940,1500
271,1499,422,23,115,939,1499
272,1500,420,29,113,938,1500
273,1499,419,33,111,936,1499
274,1500,416,36,112,936,1500
275,1500,417,35,113,935,1500
276,1500,414,38,111,937,1500
277,1499,407,33,117,942,1499
278,1500,411,28,120,941,1500
279,1500,401,36,121,942,1500
280,1500,402,31,125,942,1500
281,1500,398,35,124,943,1500
282,1500,394,33,127,946,1500
283,1499,394,34,124,947,1499
284,1497,393,29,127,948,1497
285,1500,389,29,126,956,1500
286,1500,387,31,128,954,1500
287,1500,383,34,130,953,1500
288,1500,391,31,130,948,1500
289,1500,394,25,131,950,1500
290,1500,392,22,136,950,1500
291,1499,395,22,127,955,1499
292,1500,404,23,120,953,1500
293,1499,394,28,120,957,1499
294,1499,392,27,119,961,1499
295,1500,386,37,115,962,1500
296,1500,391,38,111,960,1500
297,1499,389,36,113,961,1499
298,1500,390,33,118,959,1500
299,1499,388,37,114,960,1499
300,1500,392,35,117,956,1500
301,1497,390,38,114,955,1497
302,1500,395,33,122,950,1500
303,1499,390,40,121,948,1499
304,1500,395,40,118,947,1500
305,1500,397,41,119,943,1500
306,1500,394,37,131,938,1500
307,1500,388,37,139,936,1500
308,1500,400,41,134,925,1500
309,1500,402,42,140,916,1500
310,1500,401,39,148,912,1500
311,1500,407,42,152,899,1500
312,1499,425,38,144,892,1499
313,1500,429,40,148,883,1500
314,1498,440,37,154,867,1498
315,1498,447,40,158,853,1498
316,1498,465,45,150,838,1498
317,1500,479,47,155,819,1500
318,1500,488,54,157,801,1500
319,1500,500,57,164,779,1500
320,1497,502,60,164,771,1497
321,1500,506,73,162,759,1500
322,1499,507,78,176,738,1499
323,1500,517,70,187,726,1500
324,1500,526,76,186,712,1500
325,1498,530,67,201,700,1498
326,1500,540,63,212,685,1500
327,1498,544,71,218,665,1498
328,1498,528,88,222,660,1498
329,1500,535,89,230,646,1500
330,1500,526,96,242,636,1500
331,1498,522,95,259,622,1498
332,1498,512,97,276,613,1498
333,1498,511,99,285,603,1498
334,1500,508,108,297,587,1500
335,1497,490,111,319,577,1497
336,1498,491,111,324,572,1498
337,1496,481,119,332,564,1496
338,1495,463,121,353,558,1495
339,1488,454,122,361,551,1488
340,1489,440,126,370,553,1489
341,1492,420,125,393,554,1492
342,1492,423,111,408,550,1492
343,1496,404,110,428,554,1496
344,1496,382,119,441,554,1496
345,1495,375,126,437,557,1495
346,1486,348,138,439,561,1486
347,1489,339,129,455,566,1489
348,1490,316,122,473,579,1490
349,1482,291,124,473,594,1482
350,1483,282,120,482,599,1483
351,1477,279,100,494,604,1477
352,1467,258,100,493,616,1467
353,1450,249,93,486,622,1450
354,1445,239,94,479,633,1445
355,1428,219,98,466,645,1428
356,1432,212,98,460,662,1432
357,1420,206,92,448,674,1420
358,1412,201,79,442,690,1412
359,1409,190,73,445,701,1409
360,1404,179,70,439,716,1404
361,1395,180,65,417,733,1395
362,1378,168,65,390,755,1378
363,1371,164,50,382,775,1371
364,1360,161,44,366,789,1360
365,1348,162,46,337,803,1348
366,1338,167,39,318,814,1338
367,1333,168,38,302,825,1333
368,1330,168,37,291,834,1330
369,1333,168,39,277,849,1333
370,1328,172,43,257,856,1328
371,1324,170,43,242,869,1324
372,1319,167,47,224,881,1319
373,1311,172,42,205,892,1311
374,1320,183,37,196,904,1320
375,1325,189,33,192,911,1325
376,1328,192,31,186,919,1328
377,1325,199,31,166,929,1325
378,1333,211,28,158,936,1333
379,1338,221,29,156,932,1338
380,1342,223,34,149,936,1342
381,1344,229,34,144,937,1344
382,1354,241,30,141,942,1354
383,1371,257,23,142,949,1371
