ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked turtles
0,1500,1490,10,0,0,1050
1,1500,1490,10,0,0,1050
2,1500,1490,10,0,0,1050
3,1500,1480,10,10,0,1050
4,1500,1471,19,10,0,1050
5,1500,1464,26,10,0,1050
6,1500,1450,34,16,0,1050
7,1500,1435,43,22,0,1050
8,1500,1416,53,31,0,1050
9,1500,1393,68,39,0,1050
10,1500,1366,81,53,0,1050
11,1500,1319,111,70,0,1050
12,1500,1258,148,94,0,1050
13,1500,1216,169,115,0,1050
14,1500,1149,196,155,0,1050
15,1500,1077,213,210,0,1050
16,1500,998,242,260,0,1050
17,1500,928,267,301,4,1052
18,1500,832,295,369,4,1052
19,1500,753,292,451,4,1052
20,1500,673,305,514,8,1052
21,1500,597,295,598,10,1051
22,1500,531,280,673,16,1052
23,1500,449,274,757,20,1053
24,1498,376,282,813,27,1054
25,1494,311,273,875,35,1053
26,1488,260,254,928,46,1051
27,1484,209,226,990,59,1048
28,1472,165,201,1023,83,1046
29,1446,128,177,1031,110,1028
30,1427,107,149,1036,135,1019
31,1408,84,129,1034,161,1005
32,1381,69,103,1012,197,986
33,1355,58,84,967,246,967
34,1312,50,60,933,269,939
35,1268,50,51,860,307,912
36,1229,38,47,795,349,892
37,1190,32,39,721,398,866
38,1161,20,44,660,437,846
39,1125,22,39,590,474,819
40,1098,22,29,530,517,799
41,1065,25,22,456,562,778
42,1035,26,18,393,598,756
43,1012,25,17,336,634,738
44,990,23,22,285,660,724
45,969,29,19,240,681,706
46,952,32,14,200,706,693
47,939,33,10,170,726,683
48,931,40,8,140,743,677
49,924,43,7,125,749,672
50,920,49,6,108,757,666
51,919,56,8,93,762,667
52,927,65,10,85,767,671
53,929,67,11,78,773,671
54,933,76,11,62,784,675
55,938,81,8,58,791,678
56,944,91,6,51,796,681
57,951,99,5,47,800,686
58,958,103,9,44,802,691
59,966,110,9,42,805,698
60,968,112,10,38,808,700
61,977,122,12,31,812,706
62,988,134,7,33,814,713
63,997,143,5,33,816,721
64,1009,154,3,34,818,729
65,1014,158,6,31,819,733
66,1021,160,9,32,820,736
67,1029,171,9,30,819,742
68,1034,177,9,30,818,747
69,1050,189,7,31,823,760
70,1056,197,6,30,823,763
71,1061,202,7,28,824,767
72,1069,207,8,30,824,771
73,1075,214,7,30,824,777
74,1083,221,8,29,825,782
75,1099,236,6,32,825,792
76,1107,246,5,28,828,799
77,1117,255,6,27,829,808
78,1120,256,9,25,830,811
79,1132,263,13,26,830,821
80,1137,267,14,26,830,823
81,1149,276,12,31,830,834
82,1164,283,18,32,831,847
83,1171,291,13,32,835,851
84,1180,298,13,33,836,858
85,1195,306,14,39,836,868
86,1205,308,19,40,838,874
87,1214,315,20,40,839,878
88,1223,319,23,41,840,884
89,1233,319,26,47,841,891
90,1247,323,31,50,843,903
91,1257,325,32,56,844,908
92,1266,323,39,59,845,916
93,1277,330,31,70,846,925
94,1283,328,29,80,846,928
95,1291,330,27,85,849,933
96,1303,337,26,91,849,944
97,1326,348,33,92,853,958
98,1334,339,40,99,856,963
99,1352,345,50,98,859,978
100,1366,350,56,100,860,989
101,1378,343,55,119,861,998
102,1389,330,65,131,863,1004
103,1402,335,61,138,868,1017
104,1411,325,65,151,870,1024
105,1413,317,69,156,871,1026
106,1423,305,71,175,872,1034
107,1428,291,78,181,878,1035
108,1435,286,80,188,881,1041
109,1435,275,80,195,885,1040
110,1449,267,79,211,892,1046
111,1457,251,82,229,895,1054
112,1464,243,84,237,900,1056
113,1477,229,91,254,903,1068
114,1486,215,96,269,906,1076
115,1494,214,84,278,918,1082
116,1496,201,82,287,926,1086
117,1499,189,79,299,932,1088
118,1500,166,84,305,945,1089
119,1500,153,86,307,954,1089
