ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked turtles
0,1500,1490,10,0,0,750
1,1500,1490,10,0,0,750
2,1500,1490,10,0,0,750
3,1500,1483,7,10,0,750
4,1500,1477,13,10,0,750
5,1500,1468,22,10,0,750
6,1500,1461,27,12,0,750
7,1500,1444,36,20,0,750
8,1500,1418,57,25,0,750
9,1500,1394,73,33,0,750
10,1500,1367,89,44,0,750
11,1500,1318,120,62,0,750
12,1500,1247,163,90,0,750
13,1500,1188,193,119,0,750
14,1500,1099,249,152,0,750
15,1500,1026,271,203,0,750
16,1500,937,294,269,0,750
17,1497,857,292,345,3,751
18,1500,760,321,416,3,752
19,1500,684,321,492,3,752
20,1500,592,314,590,4,753
21,1497,504,319,667,7,752
22,1496,436,298,753,9,752
23,1497,362,287,833,15,753
24,1494,301,268,906,19,754
25,1491,252,247,964,28,751
26,1483,204,227,1010,42,749
27,1473,165,200,1051,57,743
28,1459,135,155,1096,73,733
29,1439,111,140,1087,101,729
30,1410,87,107,1081,135,716
31,1370,68,97,1027,178,697
32,1334,48,86,991,209,680
33,1303,43,71,940,249,662
34,1254,28,63,864,299,644
35,1212,25,45,804,338,620
36,1170,22,35,730,383,598
37,1132,17,30,653,432,575
38,1101,23,24,581,473,561
39,1069,25,23,512,509,543
40,1030,23,21,445,541,521
41,997,27,19,382,569,505
42,961,30,16,308,607,481
43,948,34,11,273,630,476
44,929,39,8,218,664,466
45,924,40,9,191,684,467
46,918,45,11,157,705,466
47,909,48,12,134,715,461
48,905,51,13,112,729,464
49,907,58,11,92,746,458
50,905,59,13,77,756,453
51,902,62,11,70,759,451
52,908,73,9,60,766,453
53,913,80,6,57,770,458
54,917,83,5,53,776,460
55,924,89,5,48,782,466
56,929,93,7,44,785,469
57,939,101,10,38,790,474
58,945,107,9,37,792,478
59,956,118,9,34,795,481
60,965,127,7,35,796,485
61,980,137,9,36,798,495
62,986,140,9,37,800,498
63,992,147,11,33,801,499
64,1008,162,11,32,803,506
65,1013,168,7,34,804,506
66,1018,171,8,34,805,508
67,1021,174,7,32,808,511
68,1027,174,13,30,810,515
69,1034,179,13,31,811,521
70,1044,184,15,34,811,528
71,1060,198,15,36,811,531
72,1066,205,13,37,811,533
73,1078,215,11,40,812,539
74,1087,220,11,43,813,545
75,1091,219,17,42,813,545
76,1101,224,20,42,815,552
77,1116,236,20,44,816,557
78,1126,239,22,48,817,562
79,1133,242,21,49,821,566
80,1146,249,22,53,822,575
81,1154,248,27,56,823,581
82,1170,258,26,62,824,589
83,1176,258,28,64,826,590
84,1189,265,27,69,828,592
85,1201,272,25,75,829,600
86,1209,274,26,78,831,602
87,1219,275,29,82,833,609
88,1229,278,33,81,837,615
89,1238,279,33,88,838,621
90,1246,279,35,93,839,625
91,1253,273,36,103,841,628
92,1255,267,42,103,843,629
93,1267,268,45,109,845,631
94,1267,261,49,112,845,633
95,1278,258,55,117,848,638
96,1284,255,48,129,852,637
97,1289,249,50,137,853,639
98,1300,247,51,145,857,648
99,1303,234,60,148,861,650
100,1314,233,64,153,864,655
101,1318,229,61,160,868,660
102,1323,226,56,172,869,661
103,1331,218,52,186,875,667
104,1341,208,61,192,880,673
105,1341,197,68,191,885,673
106,1347,191,68,199,889,678
107,1369,204,61,205,899,690
108,1375,189,62,221,903,694
109,1375,179,65,225,906,694
110,1377,168,72,222,915,693
111,1379,161,69,226,923,698
112,1382,161,59,230,932,700
113,1388,156,52,242,938,704
114,1400,153,56,247,944,712
115,1404,153,56,244,951,716
116,1404,139,65,243,957,715
117,1405,133,70,234,968,715
118,1410,132,63,239,976,718
119,1422,143,57,242,980,726
120,1426,139,49,249,989,727
121,1431,136,44,250,1001,728
122,1435,138,45,235,1017,733
123,1437,132,47,233,1025,735
124,1446,135,47,230,1034,739
125,1443,128,48,226,1041,739
126,1448,126,55,217,1050,741
127,1442,128,53,207,1054,735
128,1441,118,58,201,1064,735
129,1440,112,52,205,1071,735
130,1448,116,46,207,1079,740
131,1455,113,50,210,1082,740
132,1460,115,51,204,1090,744
133,1465,115,50,200,1100,745
134,1467,120,47,189,1111,746
135,1469,120,36,189,1124,747
136,1486,125,37,192,1132,756
137,1496,131,42,191,1132,758
138,1494,114,57,186,1137,758
139,1498,107,65,181,1145,758
140,1500,104,58,187,1151,760
141,1499,105,46,193,1155,759
142,1500,105,39,196,1160,758
143,1499,109,28,199,1163,757
144,1500,111,34,188,1167,757
145,1500,106,42,181,1171,755
146,1500,113,53,172,1162,757
147,1499,123,53,173,1150,756
148,1498,135,47,178,1138,758
149,1497,163,41,174,1119,760
150,1497,186,47,174,1090,760
151,1499,220,47,179,1053,760
152,1498,236,60,177,1025,762
153,1499,254,75,179,991,764
154,1496,273,93,181,949,762
155,1500,300,97,179,924,764
156,1500,320,104,190,886,764
157,1500,342,113,194,851,766
158,1500,338,127,221,814,768
159,1500,332,153,232,783,767
160,1499,315,164,269,751,768
161,1500,306,173,291,730,768
162,1498,292,186,320,700,769
163,1498,268,180,363,687,767
164,1496,250,196,392,658,766
165,1499,227,202,422,648,767
166,1500,197,196,476,631,767
167,1499,163,193,518,625,768
168,1493,133,186,556,618,765
169,1491,115,169,598,609,768
170,1481,95,164,616,606,762
171,1474,81,142,638,613,759
172,1459,74,111,656,618,755
173,1458,64,95,675,624,754
174,1442,50,75,677,640,746
175,1426,40,83,656,647,736
176,1413,41,65,639,668,730
177,1393,43,58,597,695,719
178,1379,42,47,578,712,721
179,1367,44,38,550,735,716
180,1349,44,35,502,768,708
181,1328,44,38,458,788,699
182,1306,43,35,413,815,690
183,1283,43,34,363,843,677
184,1269,50,28,330,861,669
185,1255,48,30,294,883,658
186,1237,54,25,252,906,650
187,1223,57,25,219,922,639
188,1214,62,27,180,945,632
189,1216,61,27,177,951,634
190,1214,64,28,156,966,630
191,1209,59,29,148,973,625
192,1202,64,26,131,981,620
193,1204,73,21,121,989,621
194,1204,78,19,116,991,623
195,1213,82,18,117,996,627
196,1222,89,21,109,1003,634
197,1235,104,22,103,1006,638
198,1248,116,23,99,1010,646
199,1253,126,21,95,1011,648
200,1257,133,19,92,1013,650
201,1263,141,17,91,1014,655
202,1268,139,20,93,1016,658
203,1272,144,22,88,1018,658
204,1285,151,31,85,1018,664
205,1293,155,33,84,1021,667
206,1305,167,34,81,1023,673
207,1313,173,31,85,1024,680
208,1319,181,28,89,1021,682
209,1325,184,26,89,1026,683
210,1340,191,32,89,1028,691
211,1348,200,25,97,1026,694
212,1355,201,32,97,1025,701
213,1369,210,34,99,1026,710
214,1378,213,34,101,1030,714
215,1392,215,45,100,1032,720
216,1405,225,40,108,1032,726
217,1417,226,44,113,1034,733
218,1424,224,45,124,1031,737
219,1439,226,55,126,1032,744
220,1441,216,63,132,1030,745
221,1446,218,63,134,1031,752
222,1454,221,63,138,1032,755
223,1469,224,60,154,1031,764
224,1475,219,63,165,1028,767
225,1485,220,71,169,1025,769
226,1494,220,73,178,1023,772
227,1500,218,72,193,1017,774
228,1500,197,82,203,1018,773
229,1500,177,81,224,1018,775
230,1498,170,87,227,1014,776
231,1499,159,90,240,1010,776
232,1499,155,81,256,1007,776
233,1500,145,86,262,1007,775
234,1499,141,70,282,1006,775
235,1498,128,77,290,1003,772
236,1498,121,80,294,1003,775
237,1499,130,74,289,1006,775
238,1498,125,72,294,1007,775
239,1499,118,65,305,1011,777
240,1499,119,66,305,1009,777
241,1494,122,67,297,1008,775
242,1493,120,70,302,1001,777
243,1482,102,81,295,1004,771
244,1492,108,87,292,1005,777
245,1490,103,90,288,1009,774
246,1481,103,83,284,1011,768
247,1487,102,67,300,1018,768
248,1476,101,64,291,1020,761
249,1471,100,58,287,1026,758
250,1477,105,56,287,1029,761
251,1477,96,57,287,1037,763
252,1475,96,60,280,1039,761
253,1466,89,68,266,1043,756
254,1472,99,62,271,1040,760
255,1474,102,64,272,1036,763
256,1478,108,57,272,1041,763
257,1483,113,59,265,1046,765
258,1492,111,63,270,1048,769
259,1494,118,63,266,1047,767
260,1497,122,60,259,1056,768
261,1495,123,66,242,1064,765
262,1499,121,68,239,1071,770
263,1496,111,78,234,1073,767
264,1497,112,78,232,1075,769
265,1500,119,68,241,1072,772
266,1500,121,64,243,1072,775
267,1500,113,57,254,1076,772
268,1500,114,55,252,1079,773
269,1499,119,50,252,1078,772
270,1495,117,54,241,1083,773
271,1499,117,55,244,1083,778
272,1500,111,60,240,1089,778
273,1500,108,62,238,1092,779
274,1499,110,58,237,1094,780
275,1497,119,52,238,1088,780
276,1498,123,45,241,1089,780
277,1500,126,48,240,1086,780
278,1496,108,59,236,1093,780
279,1500,113,66,215,1106,782
280,1500,107,61,218,1114,781
281,1498,112,52,214,1120,781
282,1494,110,49,217,1118,776
283,1499,115,54,212,1118,781
284,1500,112,49,217,1122,782
285,1500,116,44,216,1124,783
286,1499,113,46,213,1127,781
287,1500,112,43,216,1129,786
288,1496,116,49,206,1125,783
289,1497,122,43,206,1126,780
290,1499,127,49,195,1128,783
291,1500,124,59,194,1123,781
292,1500,123,62,196,1119,780
293,1500,117,67,203,1113,778
294,1500,132,64,201,1103,779
295,1500,138,59,199,1104,780
296,1494,155,56,198,1085,776
297,1496,167,68,203,1058,778
298,1500,178,66,206,1050,778
299,1498,195,71,200,1032,776
300,1499,212,75,210,1002,775
301,1500,218,77,217,988,776
302,1500,224,87,225,964,778
303,1500,232,91,232,945,780
304,1499,234,91,244,930,779
305,1497,230,99,256,912,778
306,1500,226,109,270,895,781
307,1500,215,119,281,885,780
308,1499,212,129,290,868,782
309,1497,191,134,305,867,782
310,1498,185,128,325,860,787
311,1500,169,122,345,864,790
312,1498,157,118,355,868,792
313,1500,142,112,384,862,794
314,1499,124,104,398,873,795
315,1494,109,104,401,880,795
316,1492,111,89,414,878,792
317,1486,97,84,422,883,793
318,1488,95,80,426,887,800
319,1487,90,77,427,893,796
320,1481,82,78,416,905,796
321,1484,72,75,417,920,797
322,1485,67,76,410,932,797
323,1483,69,69,399,946,795
324,1471,66,62,382,961,784
325,1469,72,59,365,973,780
326,1464,70,59,351,984,783
327,1462,81,44,335,1002,779
328,1453,78,47,311,1017,772
329,1459,88,48,297,1026,770
330,1456,89,44,285,1038,766
331,1461,82,58,262,1059,767
332,1464,89,53,250,1072,769
333,1464,93,47,240,1084,767
334,1469,96,50,236,1087,766
335,1465,104,39,231,1091,766
336,1474,118,41,219,1096,772
337,1473,124,36,210,1103,770
338,1475,127,33,201,1114,769
339,1475,134,35,191,1115,764
340,1478,134,35,185,1124,765
341,1478,146,35,172,1125,765
342,1481,144,42,167,1128,765
343,1497,158,44,166,1129,773
344,1492,147,50,161,1134,771
345,1500,143,54,165,1138,776
346,1499,136,59,160,1144,773
347,1500,135,56,161,1148,776
348,1500,132,48,169,1151,775
349,1500,125,51,163,1161,770
350,1500,125,46,170,1159,771
351,1500,117,55,166,1162,772
352,1498,115,49,170,1164,771
353,1500,111,51,177,1161,775
354,1500,105,54,181,1160,774
355,1500,104,50,186,1160,775
356,1500,99,51,193,1157,775
357,1498,107,48,195,1148,776
358,1500,107,48,201,1144,774
359,1499,110,46,201,1142,774
360,1499,111,46,202,1140,774
361,1500,113,40,206,1141,772
362,1498,111,46,196,1145,771
363,1498,115,52,190,1141,775
364,1499,121,50,190,1138,774
365,1500,125,48,194,1133,776
366,1497,132,41,192,1132,778
367,1500,136,46,189,1129,780
368,1499,149,43,185,1122,778
369,1500,159,40,187,1114,780
370,1499,163,44,182,1110,781
371,1500,165,48,182,1105,783
372,1500,169,54,172,1105,786
373,1500,173,58,173,1096,787
374,1500,167,62,177,1094,790
375,1498,173,52,179,1094,788
376,1498,178,62,175,1083,788
377,1500,174,60,188,1078,790
378,1499,169,61,191,1078,790
379,1500,165,61,196,1078,792
380,1500,175,60,195,1070,793
381,1499,182,59,197,1061,794
382,1499,179,63,204,1053,796
383,1499,177,60,208,1054,796
384,1499,170,74,209,1046,796
385,1499,167,73,218,1041,794
386,1499,163,66,231,1039,793
387,1498,155,71,237,1035,792
388,1499,153,64,248,1034,791
389,1494,149,70,239,1036,787
390,1500,151,66,254,1029,789
391,1498,143,70,250,1035,789
392,1496,147,64,252,1033,789
393,1499,147,63,252,1037,788
394,1498,134,68,260,1036,788
395,1498,134,65,264,1035,789
396,1499,135,72,257,1035,791
397,1499,140,69,256,1034,790
398,1499,131,68,271,1029,788
399,1495,144,64,266,1021,787
400,1496,146,61,264,1025,789
401,1497,150,64,259,1024,788
402,1487,147,60,254,1026,779
403,1497,150,66,258,1023,782
404,1489,138,78,252,1021,777
405,1491,138,85,250,1018,780
406,1494,139,91,246,1018,783
407,1500,139,80,260,1021,786
408,1497,132,75,261,1029,785
409,1499,140,62,268,1029,787
410,1500,140,61,274,1025,786
411,1495,133,63,273,1026,785
412,1497,134,64,268,1031,782
413,1500,126,71,265,1038,783
414,1498,130,71,262,1035,782
415,1500,138,66,269,1027,779
416,1496,131,64,273,1028,775
417,1496,129,63,273,1031,774
418,1500,134,69,270,1027,775
419,1498,129,68,273,1028,775
420,1500,120,71,276,1033,775
421,1498,119,71,266,1042,777
422,1495,114,72,261,1048,777
423,1489,120,65,252,1052,774
424,1498,126,58,259,1055,781
425,1500,123,53,264,1060,781
426,1498,124,48,259,1067,778
427,1499,127,51,255,1066,778
428,1496,120,56,254,1066,777
429,1496,123,53,250,1070,777
430,1497,129,50,239,1079,776
431,1499,131,54,237,1077,778
432,1499,133,53,239,1074,779
433,1498,128,57,232,1081,782
434,1496,131,64,227,1074,783
435,1500,142,60,223,1075,786
436,1500,140,65,218,1077,791
437,1497,146,57,220,1074,786
438,1500,145,61,216,1078,782
439,1495,151,61,209,1074,777
440,1500,162,60,212,1066,776
441,1499,167,63,218,1051,776
442,1500,162,68,222,1048,776
443,1500,169,77,215,1039,777
444,1497,162,84,225,1026,777
445,1500,160,89,232,1019,775
446,1500,154,97,238,1011,775
447,1499,164,94,244,997,775
448,1500,162,87,267,984,774
449,1498,161,84,275,978,770
450,1499,158,85,285,971,773
451,1498,166,89,285,958,771
452,1500,166,86,293,955,774
453,1498,160,86,305,947,773
454,1495,148,94,306,947,772
455,1494,149,89,314,942,769
456,1494,147,84,322,941,771
457,1499,140,85,336,938,773
458,1499,138,82,340,939,774
459,1496,125,92,336,943,777
460,1490,108,98,341,943,778
461,1486,100,93,346,947,776
462,1473,96,82,338,957,770
463,1477,105,70,338,964,772
464,1475,110,59,342,964,765
465,1481,111,60,342,968,767
466,1477,118,55,329,975,767
467,1468,110,63,316,979,761
468,1471,118,53,319,981,764
469,1477,131,56,309,981,769
470,1479,129,64,291,995,767
471,1480,125,64,291,1000,770
472,1481,125,69,280,1007,768
473,1486,127,72,275,1012,770
474,1477,118,70,270,1019,771
475,1478,118,64,271,1025,775
476,1477,121,64,258,1034,776
477,1477,120,64,251,1042,777
478,1472,118,64,239,1051,775
479,1474,116,61,242,1055,776
480,1479,117,69,239,1054,775
481,1485,132,56,248,1049,781
482,1489,128,64,242,1055,781
483,1497,125,67,248,1057,786
484,1500,129,66,251,1054,788
485,1495,120,69,244,1062,787
486,1500,119,67,251,1063,790
487,1499,118,64,257,1060,789
488,1495,120,60,250,1065,791
489,1490,127,46,248,1069,789
