ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked 1 turtles,masked 2 turtles
0,1500,1490,10,0,0,312,1050
1,1500,1490,10,0,0,312,1050
2,1500,1490,10,0,0,312,1049
3,1500,1488,2,10,0,312,1049
4,1500,1486,4,10,0,312,1049
5,1500,1483,7,10,0,312,1049
6,1500,1478,11,11,0,312,1049
7,1500,1471,17,12,0,312,1049
8,1500,1468,16,16,0,312,1049
9,1500,1459,21,20,0,312,1049
10,1500,1449,27,24,0,312,1049
11,1500,1438,31,31,0,312,1049
12,1500,1425,38,37,0,312,1049
13,1500,1409,44,47,0,312,1049
14,1500,1393,50,57,0,312,1049
15,1500,1369,64,67,0,312,1049
16,1500,1342,73,85,0,312,1049
17,1499,1318,88,89,4,313,1048
18,1500,1297,91,108,4,313,1048
19,1500,1273,93,130,4,313,1048
20,1499,1238,94,163,4,313,1048
21,1500,1198,115,183,4,314,1047
22,1500,1164,126,204,6,316,1045
23,1500,1123,144,225,8,317,1044
24,1500,1075,150,266,9,318,1044
25,1500,1027,165,295,13,318,1042
26,1499,990,163,329,17,318,1042
27,1500,950,168,361,21,322,1038
28,1500,882,185,406,27,325,1036
29,1500,834,196,439,31,326,1036
30,1499,800,193,465,41,329,1035
31,1499,753,184,513,49,329,1033
32,1500,704,179,556,61,331,1034
33,1498,664,175,585,74,333,1030
34,1487,619,186,591,91,329,1026
35,1484,575,181,628,100,333,1018
36,1476,544,165,656,111,330,1014
37,1468,498,176,671,123,329,1009
38,1453,445,181,681,146,328,998
39,1436,403,172,698,163,321,989
40,1428,368,174,698,188,322,981
41,1409,345,157,707,200,320,967
42,1382,313,135,710,224,313,949
43,1368,293,119,711,245,312,942
44,1347,264,115,704,264,313,922
45,1330,251,102,674,303,314,905
46,1306,237,87,647,335,310,888
47,1284,210,86,627,361,302,875
48,1263,190,87,607,379,297,861
49,1239,180,79,572,408,291,845
50,1225,171,72,545,437,291,833
51,1210,159,59,535,457,291,819
52,1181,144,59,498,480,286,797
53,1157,142,54,457,504,283,778
54,1149,138,47,437,527,289,766
55,1133,138,37,403,555,286,755
56,1113,138,32,358,585,287,732
57,1106,136,32,327,611,292,722
58,1096,137,32,298,629,298,706
59,1090,139,32,271,648,303,695
60,1074,140,30,245,659,295,688
61,1073,152,21,225,675,301,679
62,1071,152,19,213,687,304,674
63,1076,160,18,196,702,310,673
64,1073,164,16,178,715,314,667
65,1067,164,16,152,735,317,659
66,1066,165,21,137,743,320,655
67,1067,166,23,131,747,326,650
68,1067,172,19,117,759,330,645
69,1069,176,21,105,767,334,642
70,1068,178,17,98,775,336,638
71,1069,186,11,92,780,336,639
72,1079,194,12,91,782,343,641
73,1084,197,14,88,785,345,644
74,1087,199,17,81,790,346,646
75,1092,200,22,73,797,351,646
76,1095,206,22,68,799,349,648
77,1101,214,17,71,799,355,646
78,1104,217,18,69,800,360,644
79,1108,222,13,71,802,361,647
80,1113,226,13,71,803,365,648
81,1123,235,13,70,805,372,650
82,1133,247,11,67,808,378,654
83,1140,253,13,64,810,382,656
84,1147,259,12,63,813,387,658
85,1153,267,13,59,814,394,656
86,1162,273,15,56,818,401,657
87,1171,279,14,58,820,409,658
88,1183,288,16,57,822,419,658
89,1188,290,11,63,824,422,659
90,1198,297,16,60,825,430,661
91,1204,303,15,56,830,432,663
92,1216,311,21,53,831,440,666
93,1224,318,21,52,833,448,666
94,1233,321,23,53,836,455,668
95,1242,330,18,55,839,460,670
96,1252,336,17,58,841,467,672
97,1263,342,17,62,842,474,673
98,1276,353,18,61,844,483,676
99,1282,356,20,61,845,488,677
100,1298,366,20,65,847,500,681
101,1310,376,18,66,850,512,681
102,1322,383,20,69,850,520,683
103,1329,384,27,63,855,526,683
104,1345,393,26,71,855,539,685
105,1353,392,34,71,856,544,688
106,1361,392,32,80,857,550,689
107,1368,394,34,80,860,556,690
108,1382,399,33,88,862,567,692
109,1386,391,38,91,866,571,692
110,1389,393,34,94,868,573,695
111,1395,385,42,97,871,578,694
112,1398,379,42,104,873,579,696
113,1409,379,42,113,875,587,698
114,1424,387,39,119,879,602,699
115,1433,379,47,124,883,607,701
116,1435,369,54,128,884,610,701
117,1443,360,54,143,886,618,700
118,1451,356,60,144,891,624,701
119,1461,360,51,157,893,630,704
120,1468,353,54,161,900,637,705
121,1482,359,48,173,902,651,705
122,1488,352,53,177,906,656,706
123,1495,348,61,177,909,660,709
124,1499,337,65,184,913,662,711
125,1500,331,65,188,916,667,707
126,1500,320,61,201,918,666,708
127,1500,312,60,203,925,664,708
128,1500,296,58,213,933,664,708
129,1500,276,66,219,939,664,707
