ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked 1 turtles,masked 2 turtles
0,1500,1490,10,0,0,240,300
1,1500,1490,10,0,0,240,300
2,1500,1490,10,0,0,240,300
3,1500,1483,7,10,0,240,300
4,1500,1476,14,10,0,240,300
5,1500,1465,25,10,0,240,300
6,1500,1456,30,14,0,240,300
7,1500,1443,38,19,0,240,300
8,1500,1418,55,27,0,240,300
9,1500,1393,69,38,0,240,300
10,1500,1365,87,48,0,240,300
11,1500,1330,105,65,0,240,300
12,1500,1268,137,95,0,240,300
13,1500,1212,172,116,0,239,300
14,1500,1134,217,149,0,239,300
15,1500,1064,238,198,0,239,300
16,1500,995,254,251,0,239,300
17,1499,910,273,313,3,240,299
18,1500,828,279,390,3,241,299
19,1500,748,297,452,3,241,299
20,1500,685,287,523,5,241,299
21,1500,614,253,625,8,242,300
22,1499,544,253,692,10,243,299
23,1500,471,261,750,18,243,299
24,1499,409,265,800,25,243,299
25,1497,362,250,852,33,244,300
26,1487,318,210,909,50,242,300
27,1487,287,185,952,63,244,299
28,1475,252,158,988,77,243,296
29,1457,210,157,991,99,241,298
30,1433,178,156,976,123,238,295
31,1402,144,151,946,161,230,293
32,1372,121,134,917,200,223,288
33,1344,101,121,894,228,216,283
34,1308,79,111,854,264,212,275
35,1257,67,85,790,315,205,259
36,1235,55,79,741,360,197,254
37,1200,45,69,696,390,192,247
38,1173,39,54,659,421,188,243
39,1151,37,43,609,462,184,239
40,1117,35,36,539,507,176,236
41,1089,35,26,488,540,168,232
42,1055,35,21,428,571,164,227
43,1030,37,15,385,593,162,221
44,1020,42,12,354,612,161,219
45,1007,45,11,316,635,157,216
46,989,47,13,271,658,156,210
47,974,53,16,234,671,155,201
48,967,55,18,203,691,153,200
49,949,56,17,165,711,152,198
50,941,57,17,142,725,148,192
51,936,60,16,121,739,147,191
52,933,67,12,104,750,146,190
53,932,72,10,90,760,146,189
54,927,71,9,77,770,145,187
55,928,76,9,67,776,146,188
56,937,84,9,62,782,148,188
57,942,92,9,55,786,148,186
58,946,98,9,50,789,151,185
59,953,104,10,48,791,151,186
60,958,103,12,50,793,152,188
61,965,109,13,48,795,152,189
62,971,114,14,47,796,152,191
63,986,129,9,47,801,157,194
64,992,132,9,47,804,157,194
65,998,138,9,47,804,156,194
66,1004,145,9,43,807,157,196
67,1011,151,9,40,811,160,197
68,1014,156,8,39,811,161,198
69,1027,169,6,40,812,162,203
70,1036,177,7,37,815,165,203
71,1046,182,9,38,817,166,203
72,1055,190,10,37,818,168,207
73,1063,197,11,36,819,171,207
74,1072,208,7,35,822,171,207
75,1085,215,9,39,822,172,209
