ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked 1 turtles,masked 2 turtles
0,1500,1490,10,0,0,187,525
1,1500,1490,10,0,0,187,525
2,1500,1490,10,0,0,187,525
3,1500,1479,11,10,0,187,525
4,1500,1477,13,10,0,187,525
5,1500,1469,21,10,0,187,525
6,1500,1456,28,16,0,187,525
7,1500,1442,37,21,0,187,525
8,1500,1429,43,28,0,187,525
9,1500,1408,53,39,0,187,524
10,1500,1381,71,48,0,187,524
11,1500,1351,83,66,0,187,524
12,1500,1321,99,80,0,187,524
13,1500,1273,120,107,0,187,524
14,1500,1210,160,130,0,187,524
15,1500,1151,184,165,0,187,524
16,1500,1086,214,200,0,187,524
17,1500,1011,243,240,6,189,522
18,1500,935,264,295,6,189,522
19,1500,857,268,369,6,189,522
20,1500,798,272,423,7,190,523
21,1500,721,269,500,10,190,525
22,1500,652,268,567,13,191,525
23,1497,567,282,631,17,191,525
24,1498,503,281,693,21,191,527
25,1494,437,275,752,30,191,528
26,1490,383,247,824,36,191,527
27,1484,346,211,878,49,192,526
28,1478,288,199,929,62,190,527
29,1467,252,184,951,80,188,525
30,1453,222,169,968,94,186,522
31,1430,198,148,971,113,184,518
32,1406,173,119,974,140,181,514
33,1381,155,109,936,181,178,509
34,1356,135,98,912,211,172,505
35,1323,120,88,858,257,171,499
36,1290,98,79,815,298,168,496
37,1263,93,69,761,340,165,490
38,1229,82,59,715,373,159,481
39,1196,78,46,661,411,153,468
40,1159,75,42,587,455,150,455
41,1121,74,32,520,495,144,443
42,1082,75,20,461,526,137,425
43,1060,70,19,412,559,137,413
44,1040,72,15,368,585,136,404
45,1020,78,15,318,609,132,394
46,998,79,17,265,637,131,376
47,990,84,16,235,655,133,370
48,975,87,19,201,668,129,357
49,960,84,18,177,681,128,347
50,954,87,14,152,701,124,345
51,955,93,14,136,712,126,343
52,953,99,13,115,726,130,341
53,950,104,13,96,737,130,337
54,950,110,13,86,741,131,333
55,951,114,11,77,749,132,332
56,950,120,8,67,755,134,330
57,951,125,8,62,756,135,329
58,953,132,7,56,758,136,326
59,964,141,9,55,759,137,331
60,967,142,11,53,761,138,330
61,977,153,11,49,764,139,333
62,986,160,12,48,766,140,335
63,998,172,9,48,769,143,340
64,1006,180,6,47,773,145,344
65,1013,190,7,42,774,150,345
66,1020,197,7,41,775,153,349
67,1027,202,9,39,777,154,351
68,1037,212,8,39,778,154,354
69,1044,218,11,35,780,156,355
70,1043,219,9,34,781,156,354
71,1048,223,10,33,782,160,354
72,1068,244,8,33,783,162,362
73,1077,247,9,37,784,166,367
74,1084,253,10,35,786,165,371
75,1096,259,14,35,788,168,376
76,1104,267,15,34,788,169,379
77,1113,276,9,37,791,171,384
78,1126,282,14,35,795,174,387
79,1139,291,15,38,795,176,392
80,1144,290,21,37,796,178,393
81,1154,295,20,41,798,179,397
82,1162,301,19,44,798,179,399
83,1171,310,12,51,798,180,401
84,1176,315,12,51,798,181,405
85,1185,320,13,53,799,181,407
86,1197,325,18,54,800,182,412
87,1203,321,28,51,803,182,415
88,1212,328,28,54,802,182,415
89,1225,329,32,60,804,182,421
90,1239,341,26,68,804,184,425
91,1238,335,26,71,806,183,427
92,1242,337,22,77,806,184,428
93,1252,336,29,79,808,188,429
94,1262,335,36,82,809,191,430
95,1269,334,37,85,813,194,431
