ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked 1 turtles,masked 2 turtles
0,1500,1490,10,0,0,690,525
1,1500,1490,10,0,0,690,525
2,1500,1490,10,0,0,690,525
3,1500,1481,9,10,0,690,525
4,1500,1475,15,10,0,690,525
5,1500,1469,21,10,0,690,525
6,1500,1454,31,15,0,690,525
7,1500,1431,47,22,0,690,525
8,1500,1414,58,28,0,690,525
9,1500,1390,70,40,0,690,525
10,1500,1363,83,54,0,690,525
11,1500,1326,99,75,0,690,525
12,1500,1279,127,94,0,690,525
13,1500,1227,146,127,0,690,525
14,1500,1176,174,150,0,690,525
15,1500,1101,207,192,0,690,525
16,1500,1028,231,241,0,690,525
17,1500,951,257,287,5,692,524
18,1500,878,271,346,5,692,524
19,1500,789,287,419,5,692,524
20,1500,710,292,488,10,692,524
21,1500,633,292,560,15,692,524
22,1497,568,276,635,18,690,523
23,1500,497,262,715,26,693,523
24,1498,441,242,780,35,693,521
25,1497,384,243,822,48,692,520
26,1495,342,222,873,58,694,518
27,1482,306,188,912,76,689,513
28,1476,267,166,954,89,687,512
29,1461,232,143,974,112,680,509
30,1446,194,142,970,140,668,507
31,1420,156,148,948,168,652,502
32,1402,139,136,928,199,646,499
33,1373,125,114,895,239,632,491
34,1336,112,83,871,270,613,481
35,1297,93,76,821,307,588,473
36,1256,74,75,763,344,568,458
37,1214,65,70,690,389,552,439
38,1178,59,65,629,425,535,427
39,1150,56,52,588,454,525,412
40,1121,51,40,542,488,519,395
41,1099,53,37,481,528,513,380
42,1070,49,32,428,561,504,364
43,1044,49,31,375,589,495,351
44,1030,52,24,341,613,489,344
45,1024,57,22,315,630,489,338
46,1009,55,20,282,652,481,335
47,993,59,17,249,668,478,327
48,980,62,18,202,698,477,315
49,970,63,16,181,710,474,307
50,971,69,13,163,726,476,306
51,975,75,15,146,739,481,306
52,971,76,15,134,746,479,302
53,970,81,14,117,758,477,297
54,968,87,18,93,770,477,295
55,971,92,15,87,777,479,295
56,976,96,14,81,785,483,294
57,975,98,12,76,789,482,294
58,978,100,14,68,796,486,294
59,982,106,13,63,800,493,292
60,983,108,13,61,801,495,291
61,991,116,14,56,805,502,291
62,1000,122,11,59,808,506,294
63,1006,129,12,54,811,515,293
64,1018,137,12,54,815,520,296
65,1022,137,17,52,816,520,297
66,1032,144,19,51,818,527,299
67,1037,149,21,48,819,531,300
68,1047,153,22,53,819,539,301
69,1052,158,19,53,822,544,300
70,1060,163,15,56,826,549,301
71,1063,162,17,57,827,550,301
72,1078,174,16,58,830,561,303
73,1088,185,15,57,831,569,304
74,1096,189,13,61,833,574,306
75,1105,191,18,62,834,580,307
76,1114,196,22,59,837,583,309
77,1126,204,25,58,839,592,310
78,1135,208,26,61,840,597,312
79,1144,212,21,71,840,604,313
80,1151,218,20,71,842,609,312
81,1163,223,24,74,842,618,314
82,1169,223,24,77,845,623,313
83,1180,222,34,76,848,631,314
84,1183,224,35,75,849,631,317
85,1193,232,32,76,853,638,319
86,1208,244,26,83,855,649,319
87,1221,249,23,93,856,658,319
88,1225,247,25,91,862,660,320
89,1230,242,33,92,863,662,321
90,1237,243,32,98,864,666,322
91,1252,253,33,101,865,678,325
92,1257,253,29,105,870,683,325
93,1261,252,30,105,874,685,324
94,1268,253,33,105,877,691,324
95,1273,254,32,107,880,696,324
96,1283,258,30,110,885,703,325
97,1289,254,36,113,886,708,325
98,1298,257,36,115,890,711,327
99,1310,258,47,114,891,717,330
100,1317,258,48,115,896,721,330
101,1328,260,51,114,903,729,331
102,1340,254,59,123,904,740,332
103,1352,252,62,131,907,748,332
104,1360,248,63,138,911,753,333
105,1374,250,57,152,915,763,333
106,1378,247,54,156,921,764,334
107,1391,247,52,164,928,773,333
108,1398,241,51,175,931,776,334
109,1404,231,55,182,936,779,337
110,1411,229,58,183,941,783,339
111,1422,226,60,192,944,794,337
112,1433,221,62,198,952,801,339
113,1444,208,70,212,954,809,340
114,1449,207,65,216,961,815,341
115,1458,197,68,224,969,818,342
116,1455,184,70,227,974,816,341
117,1456,180,62,236,978,815,342
118,1458,175,62,236,985,814,343
119,1456,173,55,238,990,817,342
120,1458,161,61,237,999,816,343
121,1469,167,53,239,1010,825,346
122,1474,163,55,235,1021,828,347
123,1473,151,60,237,1025,827,348
124,1486,155,55,243,1033,836,350
125,1485,150,59,238,1038,835,352
126,1490,158,48,240,1044,839,353
127,1495,155,46,241,1053,841,355
128,1499,159,46,236,1058,846,356
129,1496,151,46,230,1069,844,355
130,1499,153,43,223,1080,846,355
131,1500,154,39,215,1092,848,355
132,1499,157,30,212,1100,843,356
133,1498,148,35,202,1113,842,355
134,1500,140,42,198,1120,845,356
135,1500,134,49,184,1133,846,357
136,1499,134,43,184,1138,845,356
137,1500,144,37,179,1140,846,357
138,1499,142,28,180,1149,847,356
139,1500,140,27,178,1155,849,354
140,1500,143,33,165,1159,853,354
141,1499,144,36,152,1167,851,354
142,1500,142,33,154,1171,853,353
143,1500,146,35,147,1172,854,352
144,1499,143,36,148,1172,853,352
145,1500,155,36,145,1164,854,353
146,1497,162,36,139,1160,852,353
147,1500,179,33,138,1150,854,354
148,1500,189,28,141,1142,854,354
149,1500,200,36,144,1120,854,355
150,1500,218,44,139,1099,853,355
151,1500,241,47,134,1078,850,357
152,1499,264,49,126,1060,850,357
153,1500,294,49,132,1025,850,357
154,1499,317,44,143,995,849,356
155,1500,345,50,145,960,850,357
156,1497,363,57,147,930,850,356
157,1500,385,72,154,889,850,356
158,1498,406,81,154,857,850,355
159,1499,412,95,156,836,851,355
160,1498,412,104,180,802,849,355
161,1500,421,112,198,769,851,355
162,1500,431,120,205,744,851,358
163,1500,423,127,229,721,852,358
164,1500,403,135,261,701,852,358
165,1500,382,145,285,688,852,358
166,1500,350,168,311,671,855,357
167,1500,331,171,334,664,856,356
168,1500,321,167,369,643,858,356
169,1500,296,165,404,635,859,355
170,1500,275,153,446,626,861,356
171,1497,245,165,470,617,865,352
