ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked turtles
207,1344,204,35,116,989,78
208,1354,213,38,116,987,78
209,1357,208,43,111,995,78
210,1366,209,48,115,994,78
211,1374,213,53,116,992,78
212,1389,227,49,121,992,79
213,1393,224,49,122,998,80
214,1408,220,56,134,998,81
215,1421,223,63,138,997,83
216,1427,218,68,145,996,83
217,1432,216,72,153,991,83
218,1438,219,64,164,991,83
219,1449,216,73,172,988,83
220,1456,220,64,190,982,83
221,1472,234,60,198,980,85
222,1478,237,64,206,971,85
223,1479,218,75,218,968,85
224,1486,215,83,219,969,85
225,1498,216,91,227,964,86
226,1500,212,90,235,963,86
227,1494,190,93,254,957,86
228,1499,190,95,256,958,88
229,1500,181,98,267,954,88
230,1500,168,98,281,953,88
231,1500,150,97,301,952,88
232,1498,138,110,300,950,89
233,1498,125,117,306,950,88
234,1495,124,99,320,952,87
235,1497,124,87,330,956,87
236,1496,116,64,355,961,87
237,1499,112,67,353,967,88
238,1499,99,75,354,971,88
239,1500,99,77,353,971,89
240,1498,92,76,352,978,89
241,1489,92,65,345,987,90
242,1493,98,61,345,989,89
243,1488,95,59,340,994,89
244,1484,96,56,332,1000,91
245,1478,98,61,312,1007,91
246,1473,99,59,307,1008,91
247,1476,102,65,299,1010,90
248,1473,99,68,281,1025,90
249,1478,104,65,276,1033,90
250,1469,111,61,251,1046,89
251,1471,111,63,246,1051,89
252,1482,116,59,254,1053,89
253,1487,122,57,256,1052,90
254,1488,129,64,247,1048,92
255,1491,132,62,238,1059,91
256,1492,122,69,238,1063,91
257,1489,131,64,236,1058,91
258,1497,141,65,237,1054,88
259,1497,138,67,237,1055,89
260,1500,132,63,242,1063,90
261,1499,124,63,247,1065,90
262,1497,122,66,243,1066,89
263,1499,121,64,240,1074,90
264,1500,116,67,241,1076,90
265,1500,114,62,242,1082,90
266,1496,116,53,236,1091,90
267,1496,114,44,242,1096,91
268,1498,117,41,246,1094,91
269,1496,120,42,239,1095,90
270,1498,114,53,227,1104,90
271,1500,104,58,226,1112,89
272,1497,99,58,219,1121,89
273,1499,104,54,215,1126,89
274,1492,103,45,215,1129,90
275,1486,97,36,217,1136,89
276,1487,97,37,212,1141,89
277,1490,101,39,202,1148,89
278,1493,104,42,195,1152,90
279,1499,111,36,191,1161,90
280,1497,116,35,184,1162,91
281,1497,119,33,174,1171,90
282,1500,124,33,168,1175,91
283,1499,123,35,166,1175,91
284,1498,123,39,166,1170,91
285,1500,125,35,164,1176,92
286,1500,125,37,157,1181,92
287,1500,124,36,157,1183,92
288,1500,132,32,151,1185,92
289,1494,141,35,135,1183,91
290,1500,156,35,136,1173,92
291,1500,161,41,136,1162,92
292,1500,174,37,138,1151,92
293,1500,181,40,134,1145,92
294,1499,192,37,138,1132,92
295,1500,203,39,136,1122,93
296,1500,209,49,136,1106,93
297,1500,228,52,138,1082,93
298,1500,240,64,142,1054,93
299,1497,234,76,144,1043,92
300,1499,247,78,156,1018,92
301,1500,268,80,161,991,93
302,1499,274,78,174,973,92
303,1500,260,89,192,959,92
304,1500,252,94,205,949,92
305,1500,256,102,216,926,92
306,1499,254,97,233,915,90
307,1500,251,96,253,900,90
308,1498,230,113,263,892,92
309,1499,220,114,278,887,92
310,1499,202,116,298,883,92
311,1499,178,120,321,880,92
312,1500,154,126,340,880,93
313,1500,134,121,360,885,94
314,1498,119,110,374,895,94
315,1499,105,104,391,899,93
316,1494,101,87,403,903,92
317,1495,92,87,404,912,94
318,1492,86,78,407,921,94
319,1492,92,67,408,925,95
320,1483,88,60,403,932,94
321,1478,87,53,397,941,93
322,1480,89,56,387,948,94
323,1480,85,63,371,961,94
324,1483,89,60,359,975,95
325,1478,92,54,340,992,93
326,1470,83,53,330,1004,94
327,1466,85,52,309,1020,96
328,1463,91,52,290,1030,96
329,1453,101,50,274,1028,97
330,1443,103,47,249,1044,97
331,1440,106,49,237,1048,97
332,1440,115,40,225,1060,95
333,1442,121,37,218,1066,95
334,1439,115,44,205,1075,96
335,1437,111,49,195,1082,94
336,1443,117,54,187,1085,94
337,1451,123,51,189,1088,95
338,1449,128,39,191,1091,95
339,1454,131,35,192,1096,95
340,1454,134,34,183,1103,95
341,1458,140,32,180,1106,95
342,1468,142,41,172,1113,95
343,1471,145,37,169,1120,95
344,1471,146,45,161,1119,94
345,1478,144,53,160,1121,95
346,1481,151,52,159,1119,95
347,1496,170,51,156,1119,96
348,1500,167,57,163,1113,95
349,1499,161,62,163,1113,97
350,1500,157,65,173,1105,97
351,1496,156,69,168,1103,98
352,1499,157,63,173,1106,98
353,1500,164,49,178,1109,98
354,1500,161,51,184,1104,98
355,1500,159,59,187,1095,99
356,1500,154,61,194,1091,99
357,1500,159,61,198,1082,98
358,1500,152,62,207,1079,98
359,1500,147,58,216,1079,99
360,1498,152,56,217,1073,99
361,1500,156,60,220,1064,98
362,1500,157,62,219,1062,97
363,1499,158,58,226,1057,97
364,1498,156,66,223,1053,97
365,1500,153,73,235,1039,97
366,1499,157,74,225,1043,99
367,1499,154,80,224,1041,98
368,1498,162,84,226,1026,98
369,1499,177,74,238,1010,98
370,1499,173,85,247,994,98
371,1500,173,82,253,992,98
372,1499,167,87,256,989,99
373,1500,161,86,259,994,100
374,1496,153,83,271,989,100
375,1500,153,84,283,980,101
376,1498,143,91,288,976,101
377,1499,134,95,290,980,99
378,1499,131,86,302,980,99
379,1500,124,81,308,987,100
380,1500,122,71,322,985,100
381,1500,120,69,325,986,99
382,1494,120,68,322,984,99
383,1491,131,59,319,982,99
384,1486,128,59,316,983,100
385,1484,123,67,310,984,100
386,1483,132,67,304,980,100
387,1476,128,71,298,979,100
388,1480,133,63,292,992,100
389,1480,136,62,285,997,101
390,1485,144,64,281,996,100
391,1486,133,75,278,1000,101
392,1483,133,80,268,1002,99
393,1479,133,79,260,1007,98
394,1479,138,72,257,1012,98
395,1485,141,69,258,1017,99
396,1496,147,69,264,1016,99
397,1494,141,80,255,1018,99
398,1499,143,76,259,1021,99
399,1499,149,77,258,1015,98
400,1499,135,75,271,1018,98
401,1500,142,70,279,1009,99
402,1500,146,72,272,1010,99
403,1500,138,71,276,1015,97
404,1498,125,65,283,1025,97
405,1500,131,65,279,1025,97
406,1500,133,58,288,1021,96
407,1499,123,62,287,1027,96
408,1498,115,77,274,1032,96
409,1495,116,79,267,1033,96
410,1498,113,80,266,1039,96
411,1497,114,70,272,1041,96
412,1497,114,54,276,1053,95
413,1499,112,58,280,1049,95
414,1500,113,56,271,1060,95
415,1500,117,64,257,1062,95
416,1500,110,62,260,1068,95
417,1497,112,51,259,1075,93
418,1500,111,49,253,1087,94
419,1499,112,50,251,1086,94
420,1496,114,45,242,1095,93
421,1496,119,42,237,1098,95
422,1497,125,40,239,1093,95
423,1500,116,48,234,1102,96
424,1498,109,58,223,1108,96
425,1499,107,63,216,1113,95
426,1495,110,68,198,1119,95
427,1494,106,65,202,1121,95
428,1499,109,60,202,1128,96
429,1500,109,53,211,1127,96
430,1498,108,50,208,1132,95
431,1500,109,45,205,1141,95
432,1499,105,48,198,1148,97
433,1498,111,45,198,1144,95
434,1498,123,42,195,1138,94
435,1499,132,34,198,1135,94
436,1499,137,36,197,1129,93
437,1500,148,39,192,1121,93
438,1500,152,42,192,1114,91
439,1499,154,50,189,1106,91
440,1500,155,54,194,1097,91
441,1496,164,54,183,1095,90
442,1499,165,58,182,1094,91
443,1500,167,68,176,1089,90
444,1500,174,65,181,1080,90
445,1500,192,57,178,1073,89
446,1499,188,57,190,1064,89
447,1498,187,68,194,1049,90
448,1497,192,73,195,1037,90
449,1499,187,83,190,1039,90
