ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked 1 turtles,masked 2 turtles
0,1500,1490,10,0,0,208,525
1,1500,1490,10,0,0,208,525
2,1500,1490,10,0,0,208,525
3,1500,1483,7,10,0,208,525
4,1500,1478,12,10,0,208,525
5,1500,1473,17,10,0,208,525
6,1500,1464,21,15,0,208,525
7,1500,1452,29,19,0,208,525
8,1500,1429,45,26,0,208,525
9,1500,1406,62,32,0,208,525
10,1500,1377,81,42,0,208,525
11,1500,1335,106,59,0,208,526
12,1500,1291,132,77,0,208,526
13,1500,1247,144,109,0,208,526
14,1500,1172,189,139,0,208,526
15,1500,1088,223,189,0,208,526
16,1500,1010,260,230,0,208,526
17,1500,927,294,273,6,209,526
18,1500,827,318,349,6,210,525
19,1500,739,321,434,6,210,525
20,1500,649,334,508,9,211,526
21,1500,569,317,605,9,210,527
22,1500,505,295,688,12,208,527
23,1500,427,296,761,16,208,529
24,1497,357,269,850,21,209,527
25,1491,298,249,914,30,209,526
26,1489,267,218,964,40,206,529
27,1478,224,183,1014,57,203,529
28,1467,192,156,1046,73,201,530
29,1445,155,142,1050,98,199,523
30,1430,132,132,1047,119,198,518
31,1408,111,111,1036,150,197,512
32,1379,89,92,1002,196,189,506
33,1341,74,78,949,240,186,499
34,1300,62,69,896,273,179,494
35,1266,59,57,815,335,175,481
36,1224,59,40,748,377,173,470
37,1188,55,38,682,413,168,461
38,1150,46,39,600,465,165,447
39,1115,42,38,527,508,160,439
40,1091,46,38,464,543,159,430
41,1063,49,27,399,588,153,412
42,1041,54,18,349,620,151,401
43,1017,51,25,300,641,148,386
44,1007,51,23,269,664,148,382
45,991,58,20,231,682,149,371
46,986,66,21,194,705,151,370
47,979,70,16,173,720,149,370
48,978,77,19,150,732,150,365
49,980,84,20,134,742,152,359
50,974,82,23,117,752,151,355
51,974,90,19,110,755,153,351
52,976,94,20,98,764,156,349
53,982,100,18,95,769,157,349
54,987,103,16,97,771,159,350
55,987,111,14,83,779,160,347
56,989,115,12,76,786,162,348
57,997,125,7,77,788,162,350
58,1005,131,9,73,792,162,354
59,1008,130,14,71,793,163,354
60,1016,139,15,67,795,165,353
61,1016,139,18,58,801,166,351
62,1028,148,15,62,803,168,356
63,1041,159,15,63,804,174,357
64,1046,168,14,59,805,173,360
65,1056,179,11,58,808,175,364
66,1065,188,8,58,811,175,367
67,1070,191,11,56,812,176,371
68,1083,201,14,51,817,178,375
69,1090,207,14,50,819,179,377
70,1097,215,13,48,821,180,379
71,1105,218,15,46,826,184,379
72,1112,216,18,49,829,185,380
73,1126,228,21,48,829,188,385
74,1136,234,21,52,829,191,388
75,1144,238,21,54,831,193,390
76,1151,241,19,56,835,194,389
77,1157,241,26,54,836,198,389
78,1166,245,25,59,837,199,393
79,1172,248,25,59,840,200,395
80,1182,253,26,60,843,201,394
81,1190,253,28,66,843,205,396
82,1198,253,30,71,844,206,400
83,1208,256,32,74,846,209,403
84,1213,252,32,82,847,211,403
85,1222,254,32,87,849,210,407
86,1229,251,37,89,852,213,408
87,1247,265,36,93,853,216,414
88,1256,263,34,102,857,218,418
89,1268,267,32,109,860,220,422
90,1269,259,38,107,865,222,423
91,1285,259,45,115,866,223,426
92,1289,252,52,115,870,223,428
93,1299,257,47,122,873,224,430
94,1312,258,48,130,876,228,435
95,1319,261,38,141,879,228,438
96,1328,257,45,142,884,228,444
97,1335,251,51,147,886,228,449
98,1347,248,55,153,891,229,454
99,1361,244,69,152,896,229,455
100,1367,232,77,159,899,231,459
101,1374,220,77,175,902,235,460
102,1384,217,76,182,909,234,464
103,1396,219,70,194,913,237,466
104,1399,207,67,208,917,238,467
