ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked 1 turtles,masked 2 turtles
0,1500,1490,10,0,0,311,1050
1,1500,1490,10,0,0,311,1050
2,1500,1490,10,0,0,311,1050
3,1500,1483,7,10,0,311,1050
4,1500,1476,14,10,0,311,1050
5,1500,1474,16,10,0,311,1050
6,1500,1469,16,15,0,311,1050
7,1500,1460,21,19,0,311,1050
8,1500,1444,31,25,0,311,1050
9,1500,1430,41,29,0,312,1049
10,1500,1414,50,36,0,312,1049
11,1500,1396,56,48,0,312,1049
12,1500,1380,56,64,0,312,1049
13,1500,1343,80,77,0,312,1049
14,1500,1305,98,97,0,312,1049
15,1500,1266,125,109,0,312,1049
16,1500,1225,136,139,0,312,1049
17,1500,1180,150,161,9,314,1047
18,1500,1123,160,208,9,314,1047
19,1500,1063,188,240,9,314,1047
20,1500,1002,204,283,11,317,1044
21,1500,941,215,331,13,318,1043
22,1498,875,230,377,16,316,1043
23,1500,808,238,435,19,318,1044
24,1500,735,238,502,25,318,1044
25,1499,651,270,547,31,322,1040
26,1499,588,279,592,40,324,1040
27,1500,535,256,660,49,327,1039
28,1497,484,238,718,57,325,1037
29,1498,431,215,788,64,327,1036
30,1492,392,202,819,79,330,1027
31,1482,347,190,848,97,328,1021
32,1466,304,181,860,121,327,1010
33,1458,269,162,889,138,331,1002
34,1439,230,156,889,164,328,988
35,1423,211,143,878,191,330,975
36,1403,187,121,877,218,330,958
37,1383,153,112,860,258,322,949
38,1353,142,95,822,294,317,929
39,1326,123,93,793,317,313,907
40,1298,99,93,760,346,311,885
41,1270,88,85,707,390,308,861
42,1234,84,78,648,424,307,830
43,1196,70,66,597,463,297,806
44,1172,71,47,562,492,294,786
45,1148,67,47,511,523,289,767
46,1134,75,32,473,554,292,752
47,1104,73,30,423,578,288,727
48,1082,68,35,382,597,289,704
49,1065,64,37,351,613,290,685
50,1050,71,36,307,636,295,666
51,1033,70,33,271,659,295,653
52,1023,70,27,248,678,296,644
53,1010,66,24,231,689,295,632
54,1013,69,23,212,709,302,627
55,1009,69,27,189,724,301,622
56,1005,66,30,176,733,306,613
57,993,69,24,155,745,309,599
58,993,78,19,137,759,313,594
59,996,85,13,134,764,317,593
60,997,93,11,117,776,320,592
61,1000,100,8,113,779,324,590
62,1000,102,11,106,781,325,589
63,1007,106,17,98,786,332,589
64,1017,116,16,95,790,342,589
65,1018,114,20,89,795,343,589
66,1018,118,20,81,799,343,587
67,1021,124,17,76,804,343,590
68,1029,131,14,75,809,347,593
69,1039,135,18,73,813,354,596
70,1047,145,14,72,816,358,599
71,1054,153,14,66,821,363,601
72,1058,152,16,63,827,366,602
73,1064,157,17,59,831,369,604
74,1070,162,19,57,832,374,606
75,1080,169,24,55,832,380,610
76,1090,175,21,62,832,387,613
77,1098,182,16,67,833,391,617
78,1108,187,19,66,836,398,619
79,1116,187,20,71,838,402,623
80,1122,190,23,70,839,402,627
81,1129,198,25,66,840,410,625
82,1137,212,17,67,841,412,628
83,1142,216,12,72,842,416,629
84,1145,219,11,72,843,421,628
85,1150,222,11,72,845,425,628
86,1158,230,13,68,847,431,629
87,1170,236,17,69,848,437,635
88,1177,236,22,69,850,443,636
89,1180,238,22,69,851,446,635
90,1186,243,22,66,855,448,638
91,1192,246,19,69,858,453,640
92,1205,257,19,71,858,462,643
93,1211,264,17,69,861,468,643
94,1224,272,20,69,863,473,650
95,1231,269,26,71,865,478,652
96,1230,264,25,71,870,478,650
97,1236,267,29,66,874,483,651
98,1241,266,26,71,878,488,650
99,1249,270,23,74,882,493,653
100,1268,280,27,79,882,506,659
101,1273,276,32,81,884,510,659
102,1281,275,35,86,885,513,663
103,1292,284,33,87,888,522,665
104,1303,286,32,95,890,529,669
105,1307,282,33,97,895,532,671
106,1315,282,38,98,897,537,673
107,1322,279,44,98,901,541,676
108,1332,286,34,109,903,550,678
109,1344,287,39,115,903,561,678
110,1350,288,36,117,909,564,680
111,1366,292,39,124,911,578,682
112,1372,286,48,121,917,582,683
113,1377,278,51,129,919,585,685
114,1393,288,49,134,922,593,688
115,1404,286,52,141,925,602,689
116,1415,288,50,147,930,611,690
117,1427,284,52,158,933,617,694
118,1433,275,61,157,940,623,694
119,1435,276,53,160,946,625,694
120,1442,272,49,172,949,629,696
121,1442,257,48,185,952,629,696
122,1450,263,47,181,959,639,695
123,1450,248,56,184,962,636,696
124,1457,238,67,187,965,641,698
125,1459,224,73,193,969,643,698
126,1474,230,70,201,973,655,701
127,1481,230,62,207,982,658,701
128,1491,230,57,218,986,659,709
129,1494,227,54,222,991,660,710
130,1498,221,60,219,998,659,713
131,1499,215,60,219,1005,660,713
132,1500,212,51,226,1011,658,714
133,1498,206,51,226,1015,654,715
134,1499,197,57,221,1024,655,715
135,1495,185,55,223,1032,654,712
136,1500,186,55,221,1038,657,713
137,1500,189,52,223,1036,656,714
138,1500,187,40,232,1041,655,716
139,1500,181,39,228,1052,653,718
140,1499,174,44,221,1060,655,716
141,1499,171,45,213,1070,654,716
142,1491,164,46,205,1076,648,715
143,1500,177,42,197,1084,652,720
144,1500,176,43,198,1083,653,719
145,1498,172,40,198,1088,653,717
146,1499,180,39,191,1089,657,713
147,1500,185,43,184,1088,660,713
148,1498,191,39,186,1082,660,711
149,1495,195,42,175,1083,662,709
150,1495,203,44,177,1071,661,709
151,1495,214,46,175,1060,663,708
152,1497,238,47,164,1048,667,706
153,1499,247,56,161,1035,669,706
154,1500,259,53,172,1016,671,705
155,1499,274,57,172,996,670,704
156,1500,287,66,171,976,674,700
157,1499,313,68,178,940,672,701
158,1500,338,70,184,908,671,703
159,1499,342,80,185,892,669,705
160,1500,357,79,196,868,667,707
161,1500,378,90,205,827,668,706
162,1499,392,89,218,800,666,706
163,1498,396,105,230,767,665,706
164,1500,408,108,242,742,666,707
165,1499,414,103,260,722,665,707
166,1500,413,116,275,696,667,707
167,1500,405,117,302,676,666,706
168,1495,389,137,307,662,668,702
169,1495,376,145,326,648,670,701
170,1492,370,135,356,631,669,700
171,1499,365,142,375,617,677,698
172,1493,355,138,397,603,675,695
173,1497,335,143,416,603,681,695
174,1499,317,145,436,601,686,692
175,1497,298,144,459,596,687,692
176,1493,275,155,461,602,686,689
177,1492,258,147,485,602,691,685
178,1491,246,141,504,600,696,682
179,1485,211,151,510,613,696,677
180,1486,194,144,532,616,701,673
181,1476,180,137,531,628,703,664
182,1475,162,121,553,639,704,662
183,1465,142,118,555,650,706,652
184,1453,129,101,552,671,705,641
185,1446,122,97,544,683,708,631
186,1426,107,87,540,692,706,618
187,1415,106,76,530,703,709,604
188,1404,103,65,514,722,707,596
189,1392,94,65,496,737,706,588
190,1383,83,66,485,749,705,579
191,1365,85,63,453,764,699,567
192,1357,82,65,428,782,702,556
193,1352,87,58,410,797,707,548
194,1333,83,55,380,815,703,533
195,1325,87,46,361,831,700,527
196,1305,85,40,330,850,693,513
197,1294,73,44,312,865,694,501
198,1281,81,38,284,878,687,495
199,1277,85,38,265,889,690,487
200,1269,88,34,242,905,692,478
201,1266,91,29,226,920,696,471
202,1265,99,22,211,933,702,464
203,1270,103,22,196,949,706,465
204,1269,109,18,186,956,709,461
205,1269,110,20,177,962,706,461
206,1271,115,25,165,966,711,459
207,1277,123,26,152,976,712,463
208,1273,125,31,136,981,709,463
209,1278,134,27,130,987,717,460
210,1286,142,26,125,993,724,462
211,1288,151,22,116,999,729,459
212,1299,161,24,110,1004,739,459
213,1301,165,22,111,1003,741,459
214,1305,167,31,102,1005,740,463
215,1310,174,31,98,1007,747,462
216,1317,184,33,93,1007,754,461
217,1327,193,31,95,1008,760,465
218,1338,203,29,97,1009,767,467
219,1349,207,35,99,1008,772,470
220,1363,216,34,102,1011,781,473
221,1370,217,37,104,1012,788,473
222,1380,211,44,113,1012,796,475
223,1383,214,43,114,1012,796,476
224,1387,217,46,109,1015,798,476
225,1398,224,38,120,1016,805,479
226,1406,225,34,129,1018,811,481
227,1416,238,30,127,1021,819,483
228,1428,239,35,135,1019,831,482
229,1436,245,36,133,1022,839,481
230,1442,242,44,138,1018,848,480
231,1450,243,49,140,1018,852,483
232,1456,248,53,139,1016,859,480
233,1466,255,51,141,1019,865,483
234,1484,266,44,154,1020,876,486
235,1488,258,51,158,1021,879,486
236,1495,258,54,162,1021,884,488
237,1500,254,56,164,1026,886,490
238,1500,249,62,167,1022,885,491
239,1500,247,57,171,1025,886,491
240,1496,236,59,174,1027,885,489
241,1500,234,57,179,1030,889,489
242,1500,228,61,181,1030,890,488
243,1500,215,54,201,1030,889,488
244,1499,209,58,201,1031,892,488
245,1500,206,57,203,1034,891,489
246,1499,201,51,213,1034,890,488
247,1500,196,50,221,1033,890,489
248,1500,191,52,212,1045,892,487
249,1500,187,55,211,1047,893,487
250,1500,190,50,213,1047,893,487
251,1499,179,58,213,1049,891,487
252,1498,176,54,223,1045,891,486
253,1500,178,58,214,1050,894,486
254,1500,185,53,209,1053,893,487
255,1500,184,52,213,1051,893,487
256,1500,181,47,218,1054,892,489
257,1500,190,43,206,1061,891,490
258,1499,186,46,206,1061,893,489
259,1498,196,37,211,1054,894,488
260,1494,188,53,198,1055,889,489
261,1497,194,57,193,1053,891,489
262,1500,193,66,192,1049,893,489
263,1500,191,65,199,1045,891,491
264,1498,191,59,200,1048,891,491
265,1498,190,60,205,1043,892,490
266,1497,201,52,204,1040,891,489
267,1500,191,61,208,1040,894,489
268,1500,190,61,207,1042,894,490
269,1500,191,59,207,1043,895,489
270,1500,190,54,205,1051,895,489
271,1499,179,53,212,1055,895,489
272,1499,174,63,215,1047,895,489
273,1499,177,60,209,1053,894,490
274,1500,173,60,218,1049,896,489
275,1498,174,48,230,1046,896,486
276,1499,173,46,235,1045,900,483
277,1498,170,48,229,1051,899,483
278,1498,165,49,226,1058,897,485
279,1498,166,54,219,1059,901,481
280,1499,173,47,216,1063,901,482
281,1500,169,48,214,1069,903,482
282,1500,164,49,218,1069,903,480
283,1500,160,54,214,1072,900,481
284,1498,159,55,210,1074,899,480
285,1498,157,59,205,1077,899,481
286,1500,157,60,204,1079,901,480
287,1499,154,53,210,1082,900,481
288,1500,152,49,211,1088,899,482
289,1497,152,44,204,1097,895,485
290,1500,151,48,199,1102,896,485
291,1499,153,48,200,1098,894,486
292,1497,155,46,196,1100,890,487
293,1500,159,44,202,1095,892,487
294,1498,166,44,204,1084,892,486
295,1500,177,45,198,1080,891,487
296,1499,186,51,190,1072,893,486
297,1500,186,52,195,1067,895,485
298,1500,193,54,193,1060,894,486
299,1500,198,58,194,1050,893,486
300,1499,200,64,194,1041,894,485
301,1499,203,67,190,1039,894,484
302,1499,214,61,190,1034,894,484
303,1499,218,53,199,1029,895,484
304,1497,234,54,201,1008,894,484
305,1499,242,52,205,1000,897,482
306,1499,243,63,204,989,898,481
307,1498,252,59,207,980,898,481
308,1500,273,59,205,963,903,477
309,1500,273,67,209,951,903,477
310,1500,276,61,224,939,903,477
311,1500,277,69,222,932,901,477
312,1500,293,71,226,910,905,475
313,1500,290,84,230,896,905,475
314,1499,285,91,240,883,905,473
315,1499,278,100,245,876,905,474
316,1499,274,113,248,864,907,472
317,1499,274,106,258,861,908,471
318,1499,279,98,273,849,907,473
319,1499,278,93,283,845,907,474
320,1500,277,87,302,834,908,473
321,1498,268,91,311,828,911,468
322,1500,256,104,319,821,910,469
323,1499,250,109,328,812,910,468
324,1496,244,109,331,812,910,467
325,1495,227,103,352,813,907,468
326,1494,222,92,366,814,907,468
327,1494,213,90,375,816,909,468
328,1499,211,82,384,822,914,466
329,1493,199,86,387,821,910,464
330,1492,191,95,383,823,909,465
331,1488,193,85,377,833,907,461
332,1487,179,86,378,844,908,459
333,1489,171,91,370,857,908,460
334,1486,166,85,365,870,906,459
335,1483,152,86,362,883,906,456
336,1491,160,79,363,889,909,461
337,1495,159,73,368,895,911,462
338,1487,148,75,364,900,907,459
339,1484,142,75,348,919,905,457
340,1476,142,69,338,927,905,451
341,1470,142,61,331,936,903,448
342,1462,136,52,323,951,901,442
343,1462,131,55,319,957,904,438
344,1464,134,57,314,959,908,439
345,1456,137,52,300,967,908,432
346,1450,131,58,282,979,909,424
347,1451,135,47,287,982,915,418
348,1452,133,49,273,997,918,416
349,1451,137,50,258,1006,918,415
350,1449,133,48,253,1015,917,417
351,1447,130,53,236,1028,917,414
352,1447,132,52,229,1034,922,410
353,1446,138,47,224,1037,921,409
354,1446,149,40,217,1040,924,406
355,1442,145,40,211,1046,921,405
356,1449,154,41,198,1056,923,409
357,1454,164,43,191,1056,926,410
358,1462,170,42,192,1058,933,410
359,1460,169,48,186,1057,932,409
360,1457,161,53,188,1055,931,408
361,1460,171,46,179,1064,938,405
362,1471,178,49,180,1064,944,409
363,1483,178,49,188,1068,955,409
364,1491,184,54,181,1072,962,408
365,1497,188,58,184,1067,968,408
366,1500,183,62,184,1071,972,406
367,1499,180,64,183,1072,969,407
368,1500,193,54,191,1062,968,409
369,1499,194,53,193,1059,965,412
370,1500,187,53,201,1059,966,412
371,1500,185,60,202,1053,967,411
372,1499,179,63,201,1056,965,412
373,1500,179,60,207,1054,966,411
374,1499,181,58,212,1048,967,409
375,1500,174,55,220,1051,968,408
376,1499,166,67,218,1048,966,409
377,1496,173,65,216,1042,966,406
378,1495,174,59,222,1040,967,405
379,1500,173,55,228,1044,969,408
380,1500,175,53,231,1041,969,408
381,1500,173,56,233,1038,971,406
382,1499,176,58,224,1041,972,407
383,1498,173,62,221,1042,970,407
384,1494,175,56,221,1042,965,409
385,1499,177,56,225,1041,971,409
386,1499,170,57,233,1039,969,411
387,1500,170,60,230,1040,969,413
388,1499,166,60,225,1048,967,413
389,1498,167,56,223,1052,967,412
390,1500,167,57,231,1045,970,412
391,1499,180,52,228,1039,972,409
392,1498,172,56,225,1045,972,408
393,1499,180,53,225,1041,970,411
394,1500,177,59,218,1046,968,414
395,1497,170,63,215,1049,964,414
396,1498,172,56,224,1046,967,414
397,1498,171,62,222,1043,967,414
398,1500,172,65,222,1041,969,414
399,1497,174,60,222,1041,968,413
400,1499,177,63,215,1044,972,412
401,1498,177,60,221,1040,973,410
402,1497,173,57,228,1039,971,411
403,1499,177,58,220,1044,972,412
404,1499,182,49,221,1047,974,409
405,1496,189,52,218,1037,973,408
406,1497,177,61,221,1038,972,409
407,1500,185,57,216,1042,979,404
408,1500,192,53,219,1036,979,404
409,1500,196,52,219,1033,981,402
410,1499,201,42,222,1034,983,401
411,1496,194,46,222,1034,982,399
412,1498,188,59,213,1038,980,403
413,1497,184,62,210,1041,980,403
414,1500,180,67,211,1042,982,404
415,1499,176,63,212,1048,983,403
416,1498,183,52,214,1049,980,404
417,1497,174,59,215,1049,981,402
418,1496,180,48,214,1054,983,400
419,1496,181,47,218,1050,985,399
420,1499,184,44,216,1055,988,400
421,1500,191,45,216,1048,989,400
422,1498,191,50,213,1044,987,400
423,1500,192,54,212,1042,987,402
424,1498,179,60,204,1055,984,402
425,1500,185,61,203,1051,983,404
426,1499,175,63,209,1052,978,406
427,1499,173,58,215,1053,978,407
428,1499,175,55,217,1052,978,407
429,1500,172,51,220,1057,978,408
430,1499,162,63,207,1067,976,408
431,1500,174,56,210,1060,978,407
432,1498,170,53,211,1064,977,406
433,1497,161,62,212,1062,974,408
434,1500,163,60,212,1065,976,409
435,1499,161,65,211,1062,976,408
436,1499,160,59,219,1061,975,409
437,1497,165,55,223,1054,974,408
438,1500,166,52,227,1055,974,410
439,1499,158,56,233,1052,971,412
440,1499,160,59,227,1053,969,413
441,1497,163,60,223,1051,968,411
442,1500,170,61,223,1046,970,412
443,1490,169,55,221,1045,964,409
444,1492,173,55,224,1040,965,409
445,1496,182,48,225,1041,969,409
446,1495,185,45,222,1043,965,412
447,1499,190,52,220,1037,966,415
448,1500,192,59,216,1033,965,417
449,1499,182,66,215,1036,964,416
450,1498,193,61,211,1033,961,419
451,1500,209,53,215,1023,961,421
452,1499,212,58,214,1015,958,422
453,1500,219,58,213,1010,957,426
454,1500,228,60,213,999,959,425
455,1500,235,60,216,989,961,424
456,1497,234,61,218,984,958,424
457,1498,235,67,214,982,959,423
458,1500,226,73,222,979,959,426
459,1500,243,79,215,963,958,429
460,1498,239,81,219,959,958,429
