ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked 1 turtles,masked 2 turtles
0,1500,1490,10,0,0,251,750
1,1500,1490,10,0,0,251,750
2,1500,1490,10,0,0,251,750
3,1500,1481,9,10,0,251,750
4,1500,1478,12,10,0,251,750
5,1500,1473,17,10,0,251,750
6,1500,1462,25,13,0,251,750
7,1500,1443,36,21,0,251,750
8,1500,1428,50,22,0,251,750
9,1500,1417,54,29,0,251,750
10,1500,1391,65,44,0,251,750
11,1500,1355,80,65,0,251,750
12,1500,1316,109,75,0,251,750
13,1500,1269,137,94,0,251,750
14,1500,1210,161,129,0,251,750
15,1500,1146,189,165,0,251,750
16,1500,1062,233,205,0,251,750
17,1500,986,257,251,6,251,750
18,1500,912,272,310,6,251,750
19,1500,832,278,384,6,252,750
20,1499,751,285,455,8,252,749
21,1499,682,281,525,11,255,750
22,1500,602,290,597,11,257,749
23,1500,522,284,679,15,256,749
24,1497,456,276,743,22,255,749
25,1490,395,266,799,30,255,749
26,1492,344,243,870,35,257,751
27,1496,297,226,925,48,260,755
28,1472,243,214,959,56,255,748
29,1459,202,191,989,77,252,745
30,1444,179,162,1006,97,249,740
31,1429,153,131,1014,131,248,735
32,1402,137,108,999,158,246,724
33,1374,119,87,966,202,242,710
34,1341,105,80,919,237,238,692
35,1308,93,70,865,280,232,679
36,1276,80,62,816,318,227,663
37,1236,67,55,748,366,219,645
38,1204,63,45,687,409,218,628
39,1170,55,44,624,447,210,610
40,1143,55,38,558,492,208,592
41,1111,53,36,493,529,207,576
42,1092,53,29,441,569,199,565
43,1060,53,24,387,596,191,554
44,1039,56,25,334,624,188,537
45,1011,54,22,280,655,183,520
46,997,60,20,242,675,182,506
47,988,61,21,205,701,182,497
48,978,59,23,184,712,183,487
49,977,66,21,164,726,186,480
50,967,67,23,144,733,182,475
51,963,68,17,132,746,183,472
52,970,78,14,120,758,186,474
53,971,81,16,110,764,188,475
54,973,78,21,101,773,188,475
55,978,86,21,94,777,191,476
56,981,93,22,83,783,195,470
57,979,96,16,80,787,198,466
58,984,97,16,82,789,199,466
59,989,104,16,76,793,205,464
60,998,114,12,75,797,208,467
61,1009,114,22,71,802,212,471
62,1011,116,16,73,806,213,471
63,1016,122,17,69,808,213,475
64,1022,125,15,71,811,215,476
65,1028,132,11,69,816,218,479
66,1038,142,10,66,820,220,485
67,1042,146,11,64,821,221,483
68,1046,149,12,63,822,222,483
69,1056,154,16,63,823,227,485
70,1061,155,19,62,825,229,488
71,1074,166,19,58,831,235,493
