ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked turtles
0,1500,1490,10,0,0,75
1,1500,1490,10,0,0,75
2,1500,1490,10,0,0,75
3,1500,1481,9,10,0,75
4,1500,1472,18,10,0,75
5,1500,1468,22,10,0,75
6,1500,1454,30,16,0,75
7,1500,1436,40,24,0,75
8,1500,1407,62,31,0,75
9,1500,1382,83,35,0,75
10,1500,1338,111,51,0,75
11,1500,1275,151,74,0,75
12,1500,1210,186,104,0,75
13,1500,1123,238,139,0,75
14,1500,1023,291,186,0,75
15,1500,935,317,248,0,75
16,1500,831,345,324,0,75
17,1500,736,352,406,6,75
18,1500,639,349,506,6,75
19,1500,565,325,604,6,75
20,1499,493,307,691,8,74
21,1500,422,282,783,13,75
22,1500,358,264,862,16,75
23,1500,315,235,931,19,75
24,1498,276,202,990,30,74
25,1487,228,178,1041,40,74
26,1475,192,163,1065,55,73
27,1465,163,151,1076,75,73
28,1446,135,134,1077,100,72
29,1422,110,122,1056,134,71
30,1383,91,105,1024,163,69
31,1339,65,103,963,208,64
32,1298,53,87,894,264,62
33,1252,37,76,828,311,59
34,1206,25,70,759,352,59
35,1158,27,51,680,400,59
36,1114,21,48,610,435,57
37,1081,23,34,558,466,58
38,1048,21,27,496,504,57
39,1015,20,28,427,540,56
40,994,22,23,383,566,57
41,977,24,21,343,589,55
42,950,23,20,301,606,56
43,937,28,18,267,624,53
44,924,29,17,228,650,53
45,918,29,18,202,669,51
46,902,33,15,176,678,50
47,902,44,15,148,695,50
48,899,47,16,128,708,50
49,897,49,14,113,721,51
50,893,52,14,98,729,51
51,887,51,15,81,740,50
52,885,55,10,75,745,50
53,890,61,10,72,747,51
54,894,63,12,65,754,52
55,902,71,11,63,757,52
56,905,75,12,59,759,53
57,909,82,11,56,760,53
58,916,88,12,54,762,53
59,922,91,13,53,765,54
60,926,97,12,49,768,53
61,934,107,10,48,769,53
62,942,112,10,49,771,54
63,954,124,8,47,775,55
64,959,129,8,47,775,55
65,964,132,9,45,778,55
66,973,135,14,41,783,55
67,979,139,16,41,783,55
68,991,151,13,42,785,59
69,997,155,12,44,786,59
70,1001,155,14,45,787,59
71,1011,163,14,45,789,58
72,1015,162,19,43,791,57
73,1019,162,20,43,794,57
74,1031,170,18,49,794,57
75,1036,168,24,48,796,57
76,1043,169,22,52,800,58
77,1051,171,28,50,802,58
78,1057,170,27,58,802,59
79,1063,171,26,64,802,59
80,1067,170,26,69,802,60
81,1079,176,26,74,803,62
82,1084,175,28,75,806,63
83,1093,179,30,75,809,63
84,1106,184,29,82,811,65
85,1109,183,29,86,811,65
86,1116,180,33,92,811,65
87,1121,179,36,95,811,65
88,1132,181,37,99,815,67
89,1145,182,39,108,816,70
90,1147,176,45,105,821,70
91,1155,169,47,117,822,71
92,1159,165,48,119,827,72
93,1163,161,48,124,830,73
94,1170,163,44,128,835,73
95,1170,153,45,134,838,74
96,1179,150,44,143,842,75
97,1180,146,40,150,844,75
98,1186,152,40,145,849,76
99,1194,151,35,154,854,77
100,1201,151,33,160,857,78
101,1211,142,49,159,861,79
102,1220,146,51,155,868,79
103,1229,139,61,155,874,77
104,1235,135,56,168,876,76
105,1239,132,56,169,882,76
106,1248,131,57,170,890,78
107,1257,134,48,176,899,79
108,1265,134,48,179,904,78
109,1277,127,58,178,914,80
110,1278,121,58,178,921,80
111,1281,114,60,177,930,80
112,1284,111,55,187,931,80
113,1286,107,45,194,940,81
114,1286,102,47,192,945,81
115,1296,103,47,199,947,81
116,1303,96,51,205,951,80
117,1311,98,51,206,956,80
118,1310,95,48,202,965,79
119,1315,102,43,199,971,80
120,1325,101,41,205,978,79
121,1328,101,45,193,989,81
122,1327,93,47,190,997,81
123,1331,96,47,189,999,84
124,1336,96,43,192,1005,84
125,1338,94,43,189,1012,84
126,1347,101,42,185,1019,85
127,1339,98,40,174,1027,84
128,1354,102,40,177,1035,86
129,1353,98,42,173,1040,83
130,1354,94,45,169,1046,83
131,1363,96,46,167,1054,83
132,1368,97,39,169,1063,81
133,1375,104,35,167,1069,82
134,1378,107,36,158,1077,82
135,1385,102,37,165,1081,82
136,1391,111,37,160,1083,82
137,1389,112,39,159,1079,82
138,1391,109,38,153,1091,82
139,1392,100,41,156,1095,81
140,1399,107,40,153,1099,82
141,1404,116,36,153,1099,81
142,1416,121,40,150,1105,83
143,1422,123,40,152,1107,83
144,1430,138,39,152,1101,83
145,1432,143,43,152,1094,83
146,1439,156,47,150,1086,85
147,1450,166,63,148,1073,84
148,1457,188,68,149,1052,84
149,1460,217,67,151,1025,84
150,1471,241,66,164,1000,85
151,1480,272,70,178,960,88
152,1483,305,92,176,910,89
153,1484,315,118,182,869,90
154,1492,323,138,199,832,89
155,1499,343,152,213,791,89
156,1500,335,166,237,762,90
157,1498,299,188,275,736,90
158,1500,299,191,308,702,90
159,1499,288,199,340,672,90
160,1500,260,208,376,656,90
161,1500,238,198,429,635,91
162,1499,202,205,468,624,91
163,1499,177,198,512,612,93
164,1500,156,195,553,596,93
165,1494,131,198,576,589,93
166,1500,110,173,630,587,94
167,1499,95,167,657,580,94
168,1484,79,145,686,574,94
169,1484,78,131,702,573,93
170,1470,55,123,710,582,93
171,1454,40,118,696,600,92
172,1447,36,100,691,620,90
173,1425,28,88,676,633,88
174,1407,29,70,655,653,88
175,1377,26,53,622,676,86
176,1361,31,41,594,695,86
177,1335,29,38,548,720,86
178,1315,27,38,499,751,84
179,1298,32,33,464,769,83
180,1275,35,37,407,796,81
181,1262,33,35,374,820,81
182,1249,32,37,329,851,77
183,1233,36,36,294,867,74
184,1223,45,34,259,885,73
185,1220,48,30,236,906,74
186,1212,57,27,209,919,71
187,1207,58,27,192,930,72
188,1205,61,33,167,944,72
189,1204,56,42,146,960,72
190,1204,65,39,132,968,72
191,1207,68,35,132,972,72
192,1206,68,34,128,976,72
193,1223,82,29,131,981,73
194,1232,84,36,130,982,71
195,1236,88,35,128,985,73
196,1251,98,40,124,989,75
197,1260,102,38,129,991,75
198,1263,96,44,130,993,75
199,1272,104,43,125,1000,74
200,1276,104,38,130,1004,74
201,1281,106,35,131,1009,75
202,1290,105,37,139,1009,75
203,1302,117,35,140,1010,76
204,1309,120,35,140,1014,76
205,1314,119,35,138,1022,75
206,1326,121,37,142,1026,73
207,1327,115,41,137,1034,74
208,1339,121,45,139,1034,74
209,1344,116,46,143,1039,75
210,1355,119,48,151,1037,75
211,1362,115,57,145,1045,75
212,1367,110,57,155,1045,75
213,1375,108,60,160,1047,75
214,1380,108,63,160,1049,77
215,1382,110,59,163,1050,76
216,1390,117,45,174,1054,77
217,1401,122,41,181,1057,79
218,1410,120,47,188,1055,77
219,1413,119,51,187,1056,78
220,1419,119,56,186,1058,77
221,1427,126,51,191,1059,77
222,1434,128,53,197,1056,76
223,1439,135,49,200,1055,76
224,1438,132,49,201,1056,77
225,1448,128,66,202,1052,77
226,1451,131,63,205,1052,76
227,1453,132,70,201,1050,76
228,1460,128,77,201,1054,77
229,1468,132,73,212,1051,77
230,1465,134,68,208,1055,77
231,1460,130,68,212,1050,77
232,1467,120,67,222,1058,79
233,1476,134,62,225,1055,79
234,1483,133,61,233,1056,80
235,1487,128,61,238,1060,80
236,1492,118,70,244,1060,78
237,1496,115,77,239,1065,79
238,1495,116,77,241,1061,80
239,1500,113,70,258,1059,79
240,1500,107,73,257,1063,79
241,1500,100,73,270,1057,78
242,1500,102,70,272,1056,78
243,1496,95,74,265,1062,79
244,1499,98,71,266,1064,78
245,1500,105,61,268,1066,78
246,1488,97,61,264,1066,76
247,1494,96,61,271,1066,76
248,1496,105,61,265,1065,78
249,1500,104,65,260,1071,79
250,1497,103,63,258,1073,77
251,1499,91,70,266,1072,76
252,1497,91,72,263,1071,76
253,1497,86,73,258,1080,76
254,1500,92,67,256,1085,78
255,1500,89,65,256,1090,78
256,1499,88,55,261,1095,77
257,1496,85,49,261,1101,77
258,1499,97,52,251,1099,76
259,1495,94,52,247,1102,75
260,1489,88,56,240,1105,74
261,1492,84,66,230,1112,74
262,1495,94,59,234,1108,72
263,1500,94,55,238,1113,73
264,1497,94,48,238,1117,73
265,1498,98,42,234,1124,72
266,1500,92,50,231,1127,72
267,1498,95,48,227,1128,70
268,1496,85,61,215,1135,69
269,1499,93,54,212,1140,71
270,1495,89,58,202,1146,72
271,1500,106,50,198,1146,71
272,1500,106,41,207,1146,71
273,1497,105,40,203,1149,72
274,1499,106,39,202,1152,72
275,1500,108,38,203,1151,72
276,1500,106,41,197,1156,73
277,1498,108,40,188,1162,73
278,1497,108,44,180,1165,73
279,1500,114,45,176,1165,75
280,1500,104,53,179,1164,75
281,1498,100,55,173,1170,75
282,1500,102,52,180,1166,75
283,1500,97,57,175,1171,75
284,1499,91,55,184,1169,75
285,1498,100,55,179,1164,75
286,1498,103,52,174,1169,76
287,1498,109,48,177,1164,75
288,1497,111,41,183,1162,74
289,1500,122,41,180,1157,75
290,1499,129,43,183,1144,74
291,1499,152,42,186,1119,73
292,1498,154,62,184,1098,73
293,1498,162,64,184,1088,74
294,1500,172,75,183,1070,74
295,1499,189,73,189,1048,75
296,1500,190,80,197,1033,75
297,1498,198,80,207,1013,73
298,1498,204,97,203,994,73
299,1497,202,107,213,975,73
300,1500,203,115,229,953,73
301,1500,207,122,234,937,74
302,1499,218,119,252,910,74
303,1500,203,131,273,893,74
