ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked 1 turtles,masked 2 turtles
0,1500,1490,10,0,0,150,750
1,1500,1490,10,0,0,150,750
2,1500,1490,10,0,0,150,750
3,1500,1479,11,10,0,150,750
4,1500,1469,21,10,0,150,750
5,1500,1465,25,10,0,150,750
6,1500,1453,35,12,0,150,750
7,1500,1438,39,23,0,150,750
8,1500,1421,48,31,0,150,750
9,1500,1390,70,40,0,150,750
10,1500,1351,95,54,0,150,750
11,1500,1317,114,69,0,150,750
12,1500,1264,145,91,0,150,750
13,1500,1210,165,125,0,150,750
14,1500,1139,195,166,0,150,750
15,1500,1068,219,213,0,150,750
16,1500,985,254,261,0,150,750
17,1499,891,292,309,7,150,748
18,1500,818,298,377,7,150,749
19,1500,750,289,454,7,150,749
20,1500,676,267,548,9,150,749
21,1500,626,238,623,13,149,751
22,1498,581,226,674,17,149,753
23,1497,528,205,742,22,149,755
24,1494,490,182,797,25,150,752
25,1492,454,169,838,31,151,753
26,1487,415,166,862,44,152,751
27,1474,376,160,877,61,153,745
28,1456,354,145,881,76,152,733
29,1444,324,137,878,105,147,731
30,1429,299,115,882,133,146,727
31,1406,273,117,853,163,144,720
32,1377,231,129,817,200,141,708
33,1339,210,121,774,234,136,697
34,1300,187,118,710,285,129,679
35,1257,172,98,663,324,129,657
36,1232,152,90,637,353,126,645
37,1202,142,75,587,398,123,625
38,1179,138,59,544,438,120,619
39,1162,127,54,513,468,120,615
40,1136,115,51,486,484,114,600
41,1119,112,51,445,511,114,589
42,1106,106,52,412,536,113,581
43,1092,99,44,389,560,110,572
44,1069,94,42,350,583,112,555
45,1060,92,39,330,599,114,547
46,1051,85,36,314,616,115,540
47,1045,88,32,291,634,114,534
48,1042,86,31,270,655,117,528
49,1029,84,34,239,672,116,520
50,1023,86,31,214,692,119,515
51,1018,89,30,193,706,120,510
52,1009,87,25,178,719,121,505
53,1001,83,23,165,730,123,497
54,1000,87,25,149,739,123,496
55,1005,92,24,147,742,127,500
56,1005,92,24,142,747,128,500
57,998,94,22,127,755,126,497
58,996,92,23,119,762,128,494
59,1007,97,23,117,770,130,499
60,1001,97,19,109,776,131,496
61,1001,94,21,104,782,131,493
62,1006,98,20,99,789,131,496
63,1006,102,16,95,793,131,494
64,1008,107,11,94,796,132,492
65,1007,105,11,93,798,133,492
66,1010,105,15,86,804,136,491
67,1007,109,17,74,807,135,487
68,1011,111,15,76,809,135,491
69,1013,114,15,73,811,136,492
70,1024,121,14,72,817,139,496
71,1035,131,14,69,821,142,500
72,1040,135,14,68,823,144,501
73,1044,137,14,65,828,146,501
74,1047,143,11,62,831,147,502
75,1055,152,10,59,834,148,504
76,1062,160,8,59,835,152,504
77,1066,162,12,56,836,154,505
78,1072,164,19,50,839,153,509
79,1082,173,18,48,843,155,513
80,1088,178,16,50,844,157,518
81,1104,189,16,55,844,159,529
82,1113,194,16,55,848,164,532
83,1117,190,20,57,850,165,534
84,1120,194,22,52,852,163,537
85,1126,197,19,55,855,165,539
86,1130,197,20,56,857,165,541
87,1140,204,14,63,859,164,548
88,1146,210,18,59,859,166,550
89,1161,221,19,61,860,171,553
90,1167,224,18,62,863,172,556
91,1176,226,21,65,864,172,561
92,1187,232,21,69,865,173,565
93,1199,238,23,71,867,174,569
94,1204,242,20,70,872,176,570
95,1214,246,20,73,875,179,576
96,1228,255,25,72,876,181,584
97,1238,253,32,74,879,182,587
98,1249,258,36,75,880,184,593
99,1257,261,31,81,884,187,596
100,1262,262,31,84,885,187,596
101,1269,265,26,87,891,188,596
102,1278,260,33,94,891,190,600
103,1289,258,43,93,895,192,604
104,1299,262,42,96,899,192,605
105,1314,271,40,100,903,197,610
106,1319,263,37,114,905,200,611
107,1324,252,46,118,908,202,615
108,1332,241,59,121,911,204,619
109,1343,238,69,121,915,206,621
110,1349,224,73,135,917,208,624
111,1354,210,74,146,924,208,626
112,1360,200,72,163,925,209,631
113,1377,205,65,173,934,216,640
114,1382,201,59,185,937,218,641
115,1386,199,51,194,942,222,644
116,1394,200,52,198,944,219,651
117,1405,199,49,211,946,221,656
118,1414,190,54,217,953,222,661
119,1419,181,59,222,957,224,659
120,1423,174,62,216,971,228,660
121,1433,173,64,221,975,230,665
122,1444,173,54,236,981,233,669
123,1452,169,52,243,988,235,671
124,1458,163,49,246,1000,239,675
125,1463,160,57,235,1011,239,680
126,1474,163,57,234,1020,237,687
127,1477,159,59,227,1032,238,686
128,1474,157,54,222,1041,233,688
129,1471,149,58,214,1050,233,687
130,1476,149,51,222,1054,233,692
131,1483,151,48,221,1063,235,694
132,1480,139,53,218,1070,233,693
133,1485,142,48,218,1077,235,692
134,1482,135,44,221,1082,234,691
135,1489,137,38,224,1090,235,693
136,1492,138,43,210,1101,234,691
137,1500,149,42,210,1099,233,696
138,1496,141,49,197,1109,230,695
139,1500,128,61,199,1112,230,694
140,1499,126,58,197,1118,230,692
141,1500,126,55,197,1122,230,695
142,1500,125,51,196,1128,230,697
143,1500,125,44,201,1130,231,698
144,1500,129,41,193,1137,232,698
145,1498,129,42,189,1138,234,698
146,1498,143,38,186,1131,234,698
147,1500,156,39,186,1119,235,697
148,1500,163,42,182,1113,235,697
149,1499,181,51,175,1092,235,697
150,1499,198,58,174,1069,235,697
151,1499,223,52,173,1051,234,698
152,1500,244,56,183,1017,236,697
153,1500,259,66,188,987,236,698
