ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked turtles
0,1500,1490,10,0,0,750
1,1500,1490,10,0,0,750
2,1500,1490,10,0,0,750
3,1500,1475,15,10,0,750
4,1500,1470,20,10,0,750
5,1500,1462,28,10,0,750
6,1500,1453,32,15,0,750
7,1500,1436,37,27,0,750
8,1500,1404,65,31,0,750
9,1500,1376,83,41,0,750
10,1500,1355,92,53,0,750
11,1500,1309,113,78,0,750
12,1500,1248,148,104,0,750
13,1500,1193,173,134,0,750
14,1500,1120,213,167,0,750
15,1500,1043,243,214,0,750
16,1500,969,258,273,0,750
17,1500,908,264,323,5,751
18,1500,839,265,391,5,751
19,1500,751,260,484,5,751
20,1499,683,263,546,7,751
21,1500,625,264,594,17,752
22,1499,552,254,675,18,753
23,1500,495,245,738,22,756
24,1500,429,249,794,28,756
25,1493,381,240,833,39,754
26,1490,330,219,885,56,751
27,1478,273,214,921,70,748
28,1466,228,202,949,87,748
29,1452,193,185,959,115,739
30,1426,171,156,956,143,731
31,1400,147,128,954,171,720
32,1375,132,104,931,208,704
33,1338,115,91,873,259,687
34,1304,103,74,840,287,676
35,1272,85,73,803,311,662
36,1235,72,71,737,355,646
37,1206,54,73,685,394,628
38,1181,49,67,635,430,617
39,1153,46,50,593,464,605
40,1119,39,45,532,503,590
41,1095,38,32,487,538,574
42,1067,37,29,436,565,557
43,1049,35,30,386,598,546
44,1026,35,25,339,627,541
45,1003,38,21,289,655,526
46,985,41,16,250,678,514
47,980,46,13,225,696,508
48,974,47,15,194,718,506
49,968,48,18,173,729,502
50,969,53,17,157,742,502
51,964,58,11,142,753,497
52,962,62,11,129,760,493
53,964,66,12,111,775,493
54,967,70,15,96,786,491
55,968,75,19,75,799,490
56,967,78,11,74,804,488
57,971,84,8,71,808,487
58,973,90,5,67,811,487
59,972,89,7,61,815,486
60,977,97,9,55,816,488
61,975,100,10,46,819,487
62,984,110,10,45,819,495
63,990,113,9,48,820,499
64,995,118,8,48,821,500
65,999,123,12,42,822,500
66,1007,129,14,39,825,504
67,1010,132,13,39,826,507
68,1022,142,11,42,827,511
69,1034,151,12,44,827,517
70,1037,151,13,38,835,518
71,1046,153,17,37,839,521
72,1058,166,14,36,842,526
73,1067,171,14,38,844,527
74,1080,182,11,43,844,534
75,1089,187,10,47,845,538
76,1099,193,14,46,846,543
77,1105,196,18,44,847,548
78,1118,208,16,47,847,556
79,1127,213,18,49,847,562
80,1137,221,16,52,848,567
81,1145,224,16,54,851,574
82,1145,226,15,53,851,573
83,1150,226,17,55,852,574
84,1157,232,15,56,854,575
85,1167,237,17,58,855,577
86,1177,243,19,57,858,583
87,1191,252,17,60,862,589
88,1197,251,23,59,864,594
89,1206,255,25,58,868,598
90,1211,255,26,62,868,602
91,1220,263,23,66,868,607
92,1223,265,18,71,869,608
93,1230,266,22,73,869,611
94,1243,272,23,75,873,619
95,1252,273,29,74,876,625
96,1268,274,41,74,879,631
97,1287,284,43,79,881,641
98,1294,285,43,83,883,644
99,1301,283,40,94,884,649
100,1313,287,39,101,886,656
101,1321,289,40,103,889,657
102,1326,288,34,113,891,659
103,1331,279,43,117,892,659
104,1343,280,46,121,896,667
105,1348,272,49,127,900,673
106,1356,270,51,128,907,675
107,1365,266,56,134,909,679
108,1367,259,54,144,910,682
109,1383,255,61,154,913,693
110,1388,241,69,162,916,696
111,1396,237,65,172,922,698
112,1400,238,60,179,923,697
113,1403,233,54,185,931,697
114,1410,227,53,193,937,701
115,1414,218,59,196,941,701
116,1424,216,60,198,950,703
117,1434,221,59,201,953,704
118,1438,212,51,217,958,708
119,1448,207,59,218,964,716
120,1458,202,66,219,971,719
121,1469,198,69,223,979,728
122,1473,190,65,229,989,731
123,1479,185,67,228,999,735
124,1486,183,63,237,1003,735
125,1485,176,65,235,1009,733
126,1491,170,67,238,1016,735
127,1493,159,71,235,1028,739
128,1497,154,71,234,1038,742
129,1499,141,72,239,1047,745
130,1496,139,60,245,1052,745
131,1498,130,57,256,1055,747
132,1495,129,49,249,1068,744
133,1496,126,47,248,1075,744
134,1498,118,48,249,1083,745
135,1500,114,44,251,1091,745
136,1496,115,42,239,1100,745
137,1497,102,54,238,1103,746
138,1499,104,53,230,1112,743
139,1496,98,57,223,1118,740
140,1498,104,48,220,1126,743
141,1498,114,40,221,1123,743
142,1499,113,38,217,1131,745
143,1495,119,30,213,1133,744
144,1499,120,40,196,1143,745
145,1495,128,38,184,1145,742
146,1499,147,35,179,1138,742
147,1500,157,40,174,1129,743
148,1495,164,43,172,1116,745
149,1495,190,49,164,1092,740
150,1500,210,58,162,1070,745
151,1500,222,62,164,1052,745
152,1497,244,65,167,1021,742
153,1500,277,77,169,977,739
154,1499,289,75,178,957,737
155,1498,301,80,175,942,739
156,1498,326,79,186,907,740
157,1498,330,98,194,876,737
158,1500,331,115,210,844,737
159,1499,334,127,222,816,735
160,1500,336,139,240,785,737
161,1499,343,132,272,752,737
162,1500,334,144,292,730,741
163,1500,318,160,322,700,740
164,1500,306,161,357,676,741
165,1499,284,180,379,656,742
166,1498,263,190,405,640,741
167,1497,239,189,441,628,741
168,1498,214,193,469,622,741
169,1492,180,179,516,617,737
170,1487,154,179,537,617,733
171,1494,142,167,567,618,739
172,1487,118,151,601,617,737
173,1483,98,144,629,612,736
174,1473,86,141,635,611,735
175,1462,90,119,635,618,730
176,1457,74,111,641,631,732
177,1448,67,91,642,648,728
178,1442,60,81,630,671,726
179,1437,58,81,609,689,724
180,1422,55,63,598,706,719
181,1408,55,57,568,728,714
182,1391,53,41,538,759,707
183,1370,48,41,488,793,693
184,1361,41,36,459,825,687
185,1345,42,35,417,851,680
186,1336,52,34,370,880,670
187,1326,57,29,333,907,664
188,1327,64,28,304,931,667
189,1319,63,31,271,954,664
190,1316,69,36,240,971,662
191,1319,90,28,210,991,658
192,1314,95,29,187,1003,655
193,1316,101,25,180,1010,658
194,1305,102,22,158,1023,654
195,1304,101,26,144,1033,652
196,1307,106,23,133,1045,656
197,1313,113,26,123,1051,653
198,1316,114,27,113,1062,655
199,1326,119,27,112,1068,663
200,1329,123,28,111,1067,659
201,1332,129,29,104,1070,657
202,1345,141,28,104,1072,664
203,1352,141,32,106,1073,668
204,1355,141,35,105,1074,670
205,1362,147,34,104,1077,678
206,1370,155,33,105,1077,680
207,1377,164,32,105,1076,682
208,1385,171,30,106,1078,684
209,1398,183,28,110,1077,690
210,1406,184,32,108,1082,693
211,1415,183,34,113,1085,697
212,1427,191,36,113,1087,705
213,1442,199,35,117,1091,718
214,1445,200,36,121,1088,720
215,1459,208,39,125,1087,728
216,1468,209,48,124,1087,732
217,1478,209,52,127,1090,734
218,1486,211,52,134,1089,737
219,1498,209,56,141,1092,740
220,1500,205,52,146,1097,740
221,1499,202,46,154,1097,740
222,1500,197,44,158,1101,743
223,1500,188,46,164,1102,745
224,1500,188,43,166,1103,746
225,1500,181,41,170,1108,746
226,1500,178,40,177,1105,745
227,1499,166,46,176,1111,746
228,1499,167,46,174,1112,749
229,1499,169,43,176,1111,754
230,1500,164,41,183,1112,755
231,1500,162,41,185,1112,754
232,1498,150,48,181,1119,753
233,1498,153,52,176,1117,756
234,1498,146,58,174,1120,757
235,1500,147,55,172,1126,758
236,1499,147,52,173,1127,757
237,1500,146,46,173,1135,757
238,1500,141,43,182,1134,759
239,1500,142,44,181,1133,759
240,1500,144,50,175,1131,760
241,1500,149,47,176,1128,759
242,1499,149,42,185,1123,756
243,1497,150,44,185,1118,755
244,1500,158,43,182,1117,755
245,1499,157,46,178,1118,755
246,1500,164,37,184,1115,755
247,1500,167,36,187,1110,755
248,1494,166,42,182,1104,749
249,1500,169,45,182,1104,751
250,1500,169,55,171,1105,750
251,1500,161,54,172,1113,750
252,1500,170,52,166,1112,752
253,1500,174,45,171,1110,752
254,1499,171,46,177,1105,754
255,1499,168,48,179,1104,751
256,1495,169,48,173,1105,751
257,1500,176,52,170,1102,753
258,1499,174,52,176,1097,755
259,1499,168,56,178,1097,756
260,1499,172,57,176,1094,754
261,1500,167,59,181,1093,755
262,1500,168,58,186,1088,754
263,1499,163,58,188,1090,753
264,1500,170,55,199,1076,753
265,1500,166,61,202,1071,755
266,1499,168,63,202,1066,755
267,1497,168,62,198,1069,754
268,1500,158,71,199,1072,755
269,1499,153,58,211,1077,754
270,1498,148,61,213,1076,752
271,1500,144,67,220,1069,750
272,1500,141,62,226,1071,751
273,1498,144,64,223,1067,751
274,1499,142,55,233,1069,751
275,1500,149,48,230,1073,753
276,1500,147,47,233,1073,753
277,1499,150,42,232,1075,754
278,1500,140,51,227,1082,754
279,1499,137,54,224,1084,752
280,1500,136,59,221,1084,753
281,1498,137,51,224,1086,751
282,1497,134,53,224,1086,749
283,1500,138,49,215,1098,749
284,1500,135,49,215,1101,750
285,1498,135,49,211,1103,750
286,1497,147,41,201,1108,751
287,1500,145,43,205,1107,754
288,1493,150,45,197,1101,750
289,1500,152,50,194,1104,754
290,1500,159,58,184,1099,756
291,1498,158,61,184,1095,756
292,1500,160,52,192,1096,755
293,1500,159,55,191,1095,754
294,1500,161,48,199,1092,755
295,1500,171,51,197,1081,756
296,1498,179,54,196,1069,758
297,1500,193,55,195,1057,760
298,1500,211,62,190,1037,760
299,1499,217,62,196,1024,759
300,1499,224,63,200,1012,759
301,1499,238,66,203,992,761
302,1499,250,73,208,968,764
303,1496,270,80,210,936,762
304,1499,282,83,229,905,765
305,1500,291,96,232,881,762
306,1500,291,115,240,854,761
307,1498,281,135,249,833,761
308,1497,288,135,257,817,762
309,1500,281,139,280,800,760
310,1499,268,141,308,782,760
311,1497,248,150,332,767,758
312,1500,226,164,355,755,759
313,1498,207,156,383,752,757
314,1491,189,148,411,743,751
315,1492,169,144,438,741,754
316,1495,149,142,462,742,757
317,1499,133,131,489,746,757
318,1498,126,124,499,749,759
319,1492,113,110,521,748,757
320,1483,94,100,530,759,753
321,1483,95,83,540,765,753
322,1481,89,79,539,774,755
323,1477,89,71,528,789,750
324,1466,84,68,507,807,744
325,1454,78,68,483,825,741
326,1443,69,65,472,837,732
327,1445,73,60,451,861,734
328,1429,65,70,417,877,726
329,1414,55,74,389,896,718
330,1402,60,67,363,912,715
331,1393,69,54,346,924,711
332,1385,71,47,329,938,704
333,1376,74,45,304,953,696
334,1370,79,40,282,969,694
335,1368,86,37,260,985,690
336,1361,87,31,248,995,689
337,1358,93,30,232,1003,687
338,1358,91,31,221,1015,687
339,1355,97,29,211,1018,683
340,1353,108,25,199,1021,677
341,1345,110,25,182,1028,673
342,1349,111,30,181,1027,671
343,1355,120,32,169,1034,674
344,1355,123,39,156,1037,671
345,1357,140,35,143,1039,672
346,1364,147,34,140,1043,678
347,1367,154,38,130,1045,680
348,1379,163,37,129,1050,682
349,1387,168,38,128,1053,685
350,1394,170,37,129,1058,690
351,1396,174,41,124,1057,688
352,1397,179,38,128,1052,684
353,1402,180,40,131,1051,685
354,1409,180,45,137,1047,690
355,1418,186,57,135,1040,694
356,1429,204,51,139,1035,698
357,1436,209,56,147,1024,701
358,1449,213,50,164,1022,709
359,1458,214,57,167,1020,709
360,1471,218,68,162,1023,718
361,1483,217,72,172,1022,722
362,1500,225,78,173,1024,729
363,1500,213,73,189,1025,731
364,1498,205,65,197,1031,728
365,1500,193,71,210,1026,729
366,1496,187,64,218,1027,726
367,1500,182,69,223,1026,730
368,1500,168,75,225,1032,728
369,1499,169,61,243,1026,727
370,1499,167,62,244,1026,726
371,1498,164,64,249,1021,726
372,1499,163,60,252,1024,727
373,1497,156,70,247,1024,727
374,1500,149,71,256,1024,728
375,1498,146,62,265,1025,729
376,1497,144,69,265,1019,729
377,1499,155,64,256,1024,729
378,1497,149,64,253,1031,731
379,1500,155,55,255,1035,732
380,1497,158,48,250,1041,731
381,1500,154,54,250,1042,735
382,1500,150,50,254,1046,734
383,1497,143,63,239,1052,735
384,1500,141,68,235,1056,732
385,1495,139,61,241,1054,728
386,1498,139,64,230,1065,727
387,1499,135,57,246,1061,727
388,1498,137,60,237,1064,727
389,1493,144,52,230,1067,723
390,1498,139,54,237,1068,724
391,1500,141,49,235,1075,728
392,1500,139,58,226,1077,732
393,1497,138,54,223,1082,734
394,1499,142,53,222,1082,731
395,1498,151,54,218,1075,727
396,1497,153,53,218,1073,726
397,1500,159,53,221,1067,725
398,1500,156,55,225,1064,729
399,1497,151,60,218,1068,728
400,1498,156,56,221,1065,725
401,1500,155,60,211,1074,728
402,1500,153,59,215,1073,726
403,1498,161,55,216,1066,724
404,1500,168,56,209,1067,729
405,1500,161,59,214,1066,728
406,1499,154,69,215,1061,727
407,1497,150,73,212,1062,724
408,1499,151,68,216,1064,723
409,1500,151,60,230,1059,725
410,1500,152,57,228,1063,725
411,1500,143,66,229,1062,725
412,1500,135,72,230,1063,724
413,1500,133,71,235,1061,724
414,1497,130,70,237,1060,725
415,1499,140,65,239,1055,728
416,1500,129,63,249,1059,729
417,1498,127,66,245,1060,729
418,1500,117,71,248,1064,731
419,1499,128,61,248,1062,732
420,1497,126,59,255,1057,728
421,1500,129,56,256,1059,729
422,1500,126,51,257,1066,729
423,1495,121,55,246,1073,728
424,1498,116,59,241,1082,731
425,1499,116,56,241,1086,735
426,1497,111,53,245,1088,735
427,1496,117,52,237,1090,736
428,1500,127,49,233,1091,734
429,1498,127,48,231,1092,733
430,1495,133,46,223,1093,731
431,1500,137,53,217,1093,732
432,1496,129,56,214,1097,732
433,1498,139,47,208,1104,734
434,1498,144,42,203,1109,739
435,1500,142,44,205,1109,742
436,1499,151,44,197,1107,740
437,1499,153,51,191,1104,741
438,1497,160,49,192,1096,739
439,1500,156,54,193,1097,743
440,1497,166,52,186,1093,740
441,1500,173,51,188,1088,742
442,1499,175,53,186,1085,741
443,1498,181,52,188,1077,740
444,1500,195,56,183,1066,740
445,1498,205,58,188,1047,736
446,1499,211,58,192,1038,736
447,1498,230,58,193,1017,735
448,1500,240,63,193,1004,737
449,1500,244,68,197,991,735
450,1500,246,80,198,976,735
451,1500,240,89,209,962,733
452,1500,246,84,216,954,736
453,1500,249,82,226,943,737
454,1500,238,93,236,933,738
455,1499,221,106,248,924,735
456,1498,213,111,255,919,734
457,1497,206,112,265,914,733
458,1495,204,96,289,906,732
459,1498,195,90,305,908,734
460,1494,173,97,317,907,735
461,1498,170,93,327,908,736
462,1499,161,92,335,911,738
463,1499,153,88,343,915,738
464,1499,141,90,356,912,741
465,1500,144,87,360,909,741
466,1495,138,82,362,913,738
467,1493,134,77,367,915,737
468,1493,125,81,367,920,738
469,1491,114,89,357,931,736
470,1489,115,86,359,929,736
471,1488,116,81,355,936,739
472,1482,112,69,350,951,735
473,1477,108,66,342,961,732
474,1470,110,65,328,967,735
475,1473,114,53,328,978,734
476,1479,118,60,316,985,740
477,1472,116,46,311,999,738
478,1473,117,49,296,1011,738
479,1475,114,48,290,1023,734
480,1471,114,54,275,1028,730
481,1465,114,55,260,1036,727
482,1464,118,51,254,1041,723
483,1466,118,54,251,1043,723
484,1465,119,52,247,1047,724
485,1469,121,56,233,1059,729
486,1465,120,57,221,1067,723
487,1464,118,58,214,1074,719
488,1469,127,55,216,1071,722
489,1468,126,59,202,1081,723
490,1478,127,60,211,1080,725
491,1487,137,59,203,1088,727
