ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked 1 turtles,masked 2 turtles
0,1500,1490,10,0,0,521,450
1,1500,1490,10,0,0,521,450
2,1500,1490,10,0,0,521,450
3,1500,1473,17,10,0,521,450
4,1500,1464,26,10,0,521,450
5,1500,1452,38,10,0,521,450
6,1500,1436,46,18,0,521,450
7,1500,1407,60,33,0,521,450
8,1500,1377,85,38,0,521,450
9,1500,1326,116,58,0,521,450
10,1500,1294,126,80,0,521,450
11,1500,1232,160,108,0,521,450
12,1500,1167,188,145,0,521,450
13,1500,1090,223,187,0,521,450
14,1500,1003,263,234,0,521,450
15,1500,927,275,298,0,521,450
16,1500,850,279,371,0,521,450
17,1499,781,280,433,5,520,450
18,1500,700,269,526,5,521,450
19,1500,614,281,600,5,521,450
20,1499,549,286,654,10,521,450
21,1496,499,269,711,17,520,449
22,1499,444,236,800,19,522,449
23,1498,410,200,859,29,524,445
24,1493,361,197,894,41,521,443
25,1496,325,182,930,59,523,444
26,1488,295,163,947,83,520,442
27,1470,268,148,949,105,509,437
28,1446,240,129,952,125,502,431
29,1415,203,123,932,157,491,422
30,1378,175,123,892,188,483,411
31,1342,148,118,853,223,469,400
32,1295,128,114,790,263,450,386
33,1277,120,86,757,314,440,384
34,1248,98,77,728,345,427,378
35,1211,87,68,680,376,412,366
36,1165,74,67,605,419,402,350
37,1130,67,54,548,461,387,341
38,1111,62,48,510,491,384,329
39,1080,52,42,465,521,374,325
40,1060,50,39,424,547,368,316
41,1044,50,36,389,569,365,310
42,1041,50,41,350,600,363,309
43,1028,47,38,319,624,360,304
44,1021,50,35,294,642,358,299
45,1018,57,24,273,664,359,298
46,1003,52,22,252,677,355,290
47,991,52,18,222,699,348,286
48,985,53,21,193,718,347,283
49,985,58,22,171,734,348,283
50,976,58,21,159,738,349,279
51,972,62,17,144,749,348,279
52,969,65,17,130,757,346,279
53,966,67,15,117,767,348,275
54,975,74,17,107,777,352,276
55,979,75,21,102,781,356,276
56,980,78,18,96,788,356,276
57,977,76,17,90,794,355,276
58,982,83,16,85,798,352,280
59,980,84,14,80,802,352,280
60,988,90,16,75,807,352,283
61,985,90,16,67,812,349,283
62,997,100,16,67,814,359,285
63,1009,109,15,69,816,364,289
64,1016,113,16,68,819,365,290
65,1029,122,19,65,823,374,291
66,1036,128,19,63,826,378,291
67,1036,129,19,61,827,377,291
68,1043,131,19,65,828,381,293
69,1046,129,18,67,832,381,295
70,1051,131,19,65,836,386,296
71,1059,136,19,64,840,387,298
72,1064,140,16,67,841,391,298
73,1078,149,19,64,846,399,299
74,1083,153,19,64,847,404,300
75,1090,156,20,67,847,409,301
76,1096,158,19,70,849,412,303
77,1103,162,20,69,852,415,304
78,1110,164,21,71,854,417,305
79,1123,170,23,72,858,425,306
80,1138,179,24,75,860,436,308
81,1146,183,26,76,861,439,309
82,1155,188,26,77,864,444,309
83,1161,187,27,79,868,448,311
84,1169,189,30,80,870,453,314
85,1177,190,30,83,874,454,317
86,1185,191,28,87,879,460,317
87,1194,189,35,89,881,468,316
88,1200,189,34,94,883,472,317
89,1206,182,40,98,886,473,319
90,1215,180,45,100,890,479,319
91,1227,186,44,105,892,484,322
92,1233,186,42,110,895,487,323
93,1245,183,45,118,899,493,323
94,1253,182,47,124,900,499,322
95,1260,176,53,129,902,505,320
96,1262,173,47,136,906,506,321
97,1268,168,50,141,909,508,322
98,1273,159,54,149,911,512,321
99,1272,151,50,157,914,513,321
100,1279,147,54,159,919,515,322
101,1293,156,49,167,921,524,323
102,1302,160,41,176,925,529,326
103,1306,149,51,178,928,527,329
104,1314,147,49,185,933,531,333
105,1314,139,55,185,935,529,335
106,1316,126,61,188,941,530,334
107,1314,117,60,191,946,530,332
108,1320,114,58,193,955,533,332
109,1325,119,46,200,960,533,336
110,1327,118,33,208,968,534,335
111,1336,119,33,209,975,541,335
112,1338,119,35,204,980,539,338
113,1339,118,40,193,988,543,338
114,1344,115,44,190,995,546,339
115,1347,111,42,191,1003,547,339
116,1353,111,47,178,1017,550,340
117,1362,119,36,184,1023,554,340
118,1372,123,36,179,1034,557,340
119,1374,121,36,181,1036,556,340
120,1378,120,38,177,1043,561,340
121,1378,114,47,166,1051,558,342
122,1382,116,41,167,1058,559,342
123,1383,115,38,162,1068,560,341
124,1381,112,40,150,1079,559,339
125,1386,109,41,148,1088,560,339
126,1401,115,46,149,1091,569,340
127,1416,123,46,154,1093,580,342
128,1422,115,51,160,1096,580,343
129,1430,120,48,159,1103,584,342
130,1444,120,57,162,1105,591,347
131,1451,121,57,158,1115,596,348
132,1463,126,47,168,1122,601,351
133,1469,127,44,171,1127,605,353
134,1478,128,42,175,1133,610,355
135,1487,130,42,181,1134,617,355
136,1494,124,49,178,1143,620,355
137,1489,119,49,181,1140,618,351
138,1497,117,55,179,1146,621,351
139,1500,118,47,184,1151,623,354
140,1500,117,43,190,1150,623,354
141,1500,115,44,193,1148,623,354
142,1500,111,44,192,1153,626,352
143,1500,110,50,188,1152,624,353
144,1500,116,47,193,1144,624,352
145,1500,123,52,189,1136,625,352
146,1498,142,45,186,1125,623,354
147,1497,153,53,184,1107,622,353
148,1496,170,53,181,1092,622,352
149,1500,193,59,183,1065,622,355
150,1500,209,65,186,1040,624,354
151,1499,233,67,191,1008,623,356
152,1500,247,83,196,974,624,356
153,1500,283,91,195,931,621,357
154,1500,287,104,202,907,618,357
155,1498,293,114,212,879,620,356
156,1500,309,120,227,844,620,357
157,1500,319,131,244,806,622,357
158,1500,313,130,273,784,620,358
159,1498,298,153,289,758,620,355
160,1499,280,162,315,742,619,358
161,1500,268,162,342,728,620,360
162,1499,240,184,370,705,621,359
163,1497,229,176,406,686,620,357
164,1498,207,174,444,673,619,354
165,1494,200,171,463,660,620,354
166,1494,178,154,510,652,622,353
167,1488,150,163,538,637,618,352
168,1482,135,166,555,626,613,348
169,1481,128,154,576,623,614,346
170,1481,100,150,596,635,617,346
171,1481,87,143,613,638,619,348
172,1478,83,128,612,655,620,344
173,1480,79,120,620,661,623,345
174,1466,69,106,618,673,621,338
175,1456,55,93,614,694,620,336
176,1454,55,91,601,707,625,334
177,1442,53,77,583,729,623,330
178,1422,51,65,556,750,618,324
179,1410,52,61,533,764,616,321
180,1385,45,53,497,790,608,315
181,1372,47,49,470,806,604,310
182,1367,52,50,443,822,606,301
183,1345,42,53,410,840,598,294
184,1329,47,41,380,861,595,282
185,1310,52,36,346,876,594,272
186,1301,61,25,321,894,591,269
187,1302,66,29,298,909,594,271
188,1290,63,36,263,928,594,266
189,1285,72,42,231,940,590,263
190,1281,77,37,216,951,585,260
191,1275,83,32,198,962,580,255
192,1269,83,30,185,971,580,251
193,1272,94,30,176,972,583,251
194,1265,92,30,159,984,578,252
195,1267,96,29,149,993,581,251
196,1272,95,32,148,997,585,250
197,1276,99,32,144,1001,591,249
198,1273,99,36,131,1007,590,249
199,1277,105,35,129,1008,589,252
200,1286,113,30,126,1017,596,252
201,1291,115,29,125,1022,600,250
202,1303,124,31,125,1023,607,251
203,1312,128,34,130,1020,609,251
204,1310,124,38,126,1022,609,250
205,1318,138,34,122,1024,616,251
206,1320,143,31,122,1024,616,252
207,1330,150,29,124,1027,619,253
208,1334,149,32,124,1029,624,252
209,1342,151,40,124,1027,630,251
210,1353,156,45,123,1029,635,254
211,1363,157,50,123,1033,641,256
212,1367,159,50,127,1031,642,256
213,1379,164,45,137,1033,649,260
214,1387,161,52,136,1038,655,263
215,1394,162,49,140,1043,662,262
216,1399,166,47,142,1044,665,264
217,1405,166,44,150,1045,669,265
218,1412,166,37,162,1047,673,267
219,1419,164,47,158,1050,678,267
220,1426,162,53,157,1054,681,266
221,1430,154,60,160,1056,681,268
222,1442,158,64,164,1056,690,270
223,1445,154,60,176,1055,690,270
224,1448,149,57,188,1054,693,270
225,1451,147,54,195,1055,692,272
226,1470,161,53,202,1054,697,278
227,1476,159,64,196,1057,699,278
228,1488,169,61,204,1054,705,277
229,1493,171,63,203,1056,708,276
230,1499,173,63,211,1052,707,279
231,1498,175,56,213,1054,706,280
232,1500,179,51,211,1059,705,283
233,1500,167,56,225,1052,705,283
234,1500,160,66,223,1051,705,284
235,1500,148,77,223,1052,704,284
236,1500,141,76,237,1046,705,284
237,1497,140,82,231,1044,702,284
238,1496,140,81,232,1043,701,284
239,1497,136,72,242,1047,703,284
240,1498,127,74,247,1050,705,284
241,1500,128,68,255,1049,703,286
242,1500,125,67,254,1054,706,283
243,1500,114,70,262,1054,706,284
244,1496,119,62,265,1050,706,281
245,1495,127,61,261,1046,710,282
246,1499,126,55,266,1052,710,283
247,1500,122,54,264,1060,711,283
248,1499,113,58,268,1060,714,282
249,1500,111,59,269,1061,714,281
250,1496,105,57,260,1074,716,281
251,1500,106,56,266,1072,717,281
252,1496,108,59,256,1073,714,284
253,1482,101,60,245,1076,707,282
254,1482,104,59,242,1077,707,283
255,1482,105,53,239,1085,706,286
256,1480,115,46,237,1082,706,283
257,1483,112,50,228,1093,706,284
258,1491,120,49,226,1096,708,285
259,1493,119,58,219,1097,706,290
260,1484,115,59,208,1102,701,289
261,1482,116,55,208,1103,700,288
262,1487,116,52,215,1104,705,287
263,1487,114,57,214,1102,706,288
264,1492,115,58,212,1107,707,289
265,1500,127,56,206,1111,711,289
266,1496,124,59,209,1104,713,287
267,1500,122,52,217,1109,714,289
268,1495,115,56,210,1114,708,289
269,1494,117,53,210,1114,711,287
270,1494,120,51,206,1117,713,284
271,1500,126,42,213,1119,715,285
272,1498,121,50,205,1122,717,285
273,1500,112,59,212,1117,718,284
274,1499,110,62,212,1115,719,285
275,1500,111,59,207,1123,720,283
276,1500,111,53,206,1130,720,283
277,1498,108,42,216,1132,718,282
278,1493,105,42,216,1130,717,281
279,1499,113,45,210,1131,720,281
280,1498,118,46,207,1127,721,280
