ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked 1 turtles,masked 2 turtles
0,1500,1490,10,0,0,531,750
1,1500,1490,10,0,0,531,750
2,1500,1490,10,0,0,531,750
3,1500,1483,7,10,0,531,750
4,1500,1481,9,10,0,531,750
5,1500,1475,15,10,0,531,750
6,1500,1469,18,13,0,531,750
7,1500,1461,21,18,0,531,750
8,1500,1450,29,21,0,531,750
9,1500,1433,40,27,0,531,750
10,1500,1421,46,33,0,531,750
11,1500,1391,63,46,0,531,750
12,1500,1362,82,56,0,531,750
13,1500,1343,83,74,0,531,750
14,1500,1306,105,89,0,531,750
15,1500,1277,104,119,0,531,750
16,1500,1228,127,145,0,531,750
17,1500,1195,135,165,5,532,748
18,1500,1150,144,201,5,532,748
19,1500,1094,165,236,5,532,748
20,1500,1039,177,278,6,531,748
21,1500,985,193,314,8,531,748
22,1500,937,202,353,8,533,747
23,1499,874,206,410,9,534,747
24,1500,797,226,464,13,532,747
25,1499,744,238,495,22,531,746
26,1499,683,244,545,27,532,745
27,1495,624,226,610,35,532,744
28,1495,570,223,661,41,537,742
29,1491,530,220,687,54,539,737
30,1479,487,203,723,66,532,734
31,1469,445,177,768,79,528,730
32,1458,407,176,779,96,523,724
33,1449,376,153,803,117,519,720
34,1440,343,149,802,146,518,714
35,1428,304,153,801,170,518,708
36,1414,269,144,807,194,512,703
37,1386,253,121,788,224,502,687
38,1361,231,106,768,256,491,677
39,1345,207,105,756,277,487,670
40,1327,190,94,730,313,482,662
41,1300,176,91,675,358,477,644
42,1279,163,84,635,397,468,634
43,1261,153,75,604,429,462,624
44,1241,138,74,568,461,462,609
45,1211,133,62,520,496,454,596
46,1197,134,61,483,519,450,587
47,1172,122,56,445,549,448,572
48,1162,108,57,422,575,450,561
49,1156,107,55,395,599,452,554
50,1142,104,52,359,627,446,548
51,1120,101,45,331,643,439,535
52,1102,101,32,310,659,435,521
53,1091,100,30,290,671,431,513
54,1078,92,35,265,686,425,505
55,1076,94,37,244,701,432,497
56,1067,94,29,230,714,430,493
57,1065,100,27,211,727,432,490
58,1062,99,24,197,742,432,487
59,1057,96,27,179,755,435,482
60,1058,96,29,173,760,437,479
61,1054,96,32,158,768,439,476
62,1054,101,25,148,780,441,473
63,1050,103,18,144,785,441,470
64,1055,108,16,138,793,445,471
65,1060,116,17,129,798,451,470
66,1055,117,18,112,808,451,466
67,1056,119,20,102,815,454,464
68,1064,127,13,104,820,458,466
69,1065,131,12,100,822,460,465
70,1071,141,12,92,826,467,463
71,1075,147,9,91,828,468,465
72,1083,154,15,81,833,478,463
73,1086,161,16,73,836,481,464
74,1096,174,11,75,836,491,463
75,1106,180,14,73,839,500,462
76,1109,187,12,66,844,504,460
77,1111,193,12,59,847,505,460
78,1117,200,11,57,849,507,463
79,1118,205,7,54,852,508,463
80,1127,210,10,54,853,514,464
81,1135,215,11,56,853,517,466
82,1144,224,16,46,858,526,465
83,1158,230,20,47,861,534,470
84,1166,235,22,46,863,541,469
85,1175,243,20,47,865,547,472
86,1186,249,17,54,866,556,472
87,1197,256,16,58,867,562,475
88,1207,266,15,56,870,570,476
89,1217,274,16,57,870,577,477
90,1222,279,17,56,870,580,477
91,1235,287,16,60,872,589,480
92,1246,291,23,59,873,595,481
93,1256,296,23,60,877,602,482
94,1270,303,27,61,879,611,484
95,1274,301,27,65,881,613,486
96,1287,308,27,71,881,621,488
97,1299,314,26,77,882,633,487
98,1300,313,26,79,882,632,489
99,1304,317,24,80,883,637,489
100,1314,319,29,78,888,644,490
101,1317,318,26,83,890,646,490
102,1329,325,30,83,891,657,493
103,1343,326,35,88,894,669,493
104,1356,329,38,94,895,676,494
105,1360,320,47,96,897,678,495
106,1372,322,51,101,898,688,498
107,1384,322,51,109,902,697,499
108,1391,316,53,121,901,702,498
109,1403,321,50,127,905,710,499
110,1422,328,50,135,909,721,501
111,1433,327,52,139,915,725,505
112,1442,321,56,150,915,732,505
113,1446,314,58,157,917,736,506
114,1453,305,65,161,922,740,507
115,1464,301,62,172,929,749,509
116,1475,293,67,184,931,755,510
117,1478,281,69,194,934,759,506
118,1483,277,68,199,939,764,506
119,1494,260,78,211,945,773,506
120,1500,252,75,224,949,776,507
121,1500,238,78,228,956,776,506
122,1499,226,81,230,962,776,504
123,1496,210,73,245,968,777,501
124,1500,209,68,251,972,779,502
125,1496,202,60,257,977,777,501
126,1496,188,62,264,982,774,500
127,1497,177,68,265,987,776,499
128,1500,166,72,267,995,779,500
129,1497,162,68,264,1003,779,498
130,1500,159,64,268,1009,778,500
131,1493,145,56,272,1020,773,500
132,1499,142,55,271,1031,779,500
133,1497,137,52,267,1041,777,499
134,1500,136,52,261,1051,779,502
135,1498,135,46,259,1058,779,502
136,1499,125,52,256,1066,780,503
137,1499,129,50,242,1078,777,503
138,1496,122,52,232,1090,776,502
139,1499,117,50,229,1103,778,502
140,1494,117,44,222,1111,777,498
141,1500,118,48,217,1117,780,501
142,1500,109,47,220,1124,778,501
