ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked turtles
0,1500,1490,10,0,0,300
1,1500,1490,10,0,0,300
2,1500,1490,10,0,0,300
3,1500,1475,15,10,0,300
4,1500,1463,27,10,0,300
5,1500,1454,36,10,0,300
6,1500,1437,45,18,0,300
7,1500,1416,55,29,0,300
8,1500,1382,75,43,0,300
9,1500,1335,109,56,0,300
10,1499,1281,148,70,0,300
11,1500,1223,183,94,0,300
12,1500,1135,226,139,0,300
13,1500,1048,267,185,0,300
14,1500,950,301,249,0,300
15,1500,840,346,314,0,300
16,1500,742,361,397,0,300
17,1500,646,371,478,5,301
18,1500,557,362,576,5,301
19,1500,477,334,684,5,301
20,1499,393,314,781,11,301
21,1499,326,286,869,18,302
22,1499,274,267,935,23,302
23,1497,230,238,1001,28,301
24,1495,196,200,1064,35,301
25,1492,158,173,1111,50,302
26,1471,134,142,1126,69,300
27,1453,110,118,1129,96,295
28,1422,86,103,1106,127,293
29,1395,75,81,1075,164,291
30,1355,62,64,1024,205,286
31,1316,57,50,955,254,284
32,1274,49,45,878,302,275
33,1225,45,45,783,352,264
34,1173,39,42,691,401,257
35,1126,37,41,598,450,253
36,1093,32,32,535,494,247
37,1062,31,26,468,537,238
38,1027,30,21,402,574,227
39,1003,35,21,336,611,220
40,978,38,17,282,641,213
41,955,42,12,240,661,205
42,940,47,8,205,680,199
43,929,48,11,173,697,196
44,919,54,7,145,713,193
45,917,58,10,123,726,192
46,915,67,10,103,735,191
47,921,75,6,95,745,194
48,921,78,6,85,752,194
49,924,81,8,80,755,193
50,921,82,13,64,762,192
51,921,86,13,54,768,191
52,919,86,13,47,773,190
53,922,90,12,45,775,189
54,924,95,9,44,776,192
55,936,107,7,41,781,191
56,938,111,5,37,785,190
57,940,110,7,37,786,190
58,945,117,8,34,786,190
59,953,124,8,35,786,193
60,957,128,6,36,787,193
61,963,135,5,34,789,194
62,968,141,5,33,789,195
63,976,145,8,33,790,195
64,983,150,10,32,791,196
65,994,158,12,32,792,197
66,1004,165,13,31,795,199
67,1011,170,12,33,796,198
68,1013,173,11,32,797,200
69,1022,183,11,30,798,202
70,1029,189,9,32,799,203
71,1038,195,9,34,800,204
72,1052,209,8,34,801,207
73,1063,217,9,34,803,207
74,1071,221,10,35,805,207
75,1083,229,13,35,806,209
76,1094,233,20,33,808,211
77,1103,236,24,35,808,215
78,1118,246,25,39,808,216
79,1129,253,21,47,808,215
80,1138,258,20,51,809,217
81,1152,264,26,50,812,220
82,1159,264,29,52,814,221
83,1169,270,27,58,814,225
84,1173,266,33,59,815,226
85,1186,270,33,65,818,229
86,1199,275,31,74,819,232
87,1224,289,39,77,819,233
88,1233,284,46,83,820,233
89,1247,284,47,94,822,235
90,1263,286,54,101,822,237
91,1276,290,49,114,823,242
92,1283,290,42,125,826,245
93,1294,293,37,131,833,247
94,1300,279,46,138,837,247
95,1309,272,56,142,839,251
96,1320,263,69,146,842,255
97,1337,264,74,151,848,258
98,1351,255,79,165,852,263
99,1355,255,63,180,857,265
100,1368,254,63,186,865,270
101,1377,251,57,203,866,274
102,1390,248,61,212,869,278
103,1393,239,62,213,879,280
104,1406,234,69,220,883,285
105,1411,227,68,223,893,287
106,1412,222,65,226,899,289
107,1419,215,62,232,910,291
108,1429,213,64,233,919,293
109,1432,203,65,243,921,293
110,1435,196,67,248,924,292
111,1444,188,70,254,932,295
112,1447,177,74,254,942,297
113,1454,177,71,249,957,297
114,1458,173,68,252,965,300
115,1459,164,67,251,977,302
116,1454,144,72,253,985,301
117,1458,135,76,253,994,303
118,1466,137,69,260,1000,305
119,1470,142,62,258,1008,307
120,1472,135,55,268,1014,310
121,1471,130,55,259,1027,310
122,1472,120,61,258,1033,311
123,1479,125,58,255,1041,316
124,1488,124,55,260,1049,317
125,1492,116,60,254,1062,318
126,1496,116,54,252,1074,322
127,1490,115,51,244,1080,319
128,1496,117,47,242,1090,318
129,1500,118,45,238,1099,319
130,1498,116,46,228,1108,317
131,1500,115,45,224,1116,319
132,1499,116,37,218,1128,318
133,1498,111,40,214,1133,316
134,1491,113,37,197,1144,309
135,1499,117,42,192,1148,311
136,1500,116,42,187,1155,310
137,1497,116,35,190,1156,306
138,1496,117,35,176,1168,305
139,1500,121,30,176,1173,301
140,1498,129,28,166,1175,301
141,1497,127,33,164,1173,299
142,1497,128,37,157,1175,298
143,1499,134,39,146,1180,298
144,1500,137,37,146,1180,297
145,1500,149,33,149,1169,299
146,1498,166,28,145,1159,299
147,1498,188,35,138,1137,297
148,1499,203,46,137,1113,299
149,1500,228,55,137,1080,302
150,1500,257,62,137,1044,303
151,1500,294,74,133,999,300
152,1500,321,74,148,957,301
153,1500,355,82,152,911,302
154,1500,373,96,165,866,301
155,1500,377,122,178,823,300
156,1500,389,133,193,785,299
157,1500,394,151,210,745,300
158,1500,375,169,242,714,299
159,1498,367,174,272,685,298
160,1499,358,183,296,662,299
161,1499,324,189,342,644,300
162,1500,297,187,386,630,301
163,1500,266,189,428,617,301
164,1500,221,202,467,610,301
165,1499,198,187,509,605,301
166,1498,183,160,546,609,302
167,1498,162,143,581,612,301
168,1489,150,114,612,613,300
169,1496,141,107,624,624,302
170,1494,121,105,637,631,300
171,1497,109,110,638,640,300
172,1481,104,101,622,654,297
173,1470,93,89,613,675,298
174,1457,76,86,607,688,296
175,1437,74,80,578,705,295
176,1411,72,72,548,719,293
177,1394,69,60,522,743,294
178,1375,69,47,496,763,294
179,1364,64,43,461,796,294
180,1341,62,43,412,824,291
181,1328,58,45,371,854,289
182,1320,63,41,334,882,289
183,1318,68,41,309,900,290
184,1308,67,44,281,916,284
185,1308,65,42,270,931,283
186,1309,76,37,255,941,284
187,1315,85,32,233,965,285
188,1306,89,27,215,975,286
189,1303,89,27,202,985,280
190,1298,88,28,185,997,278
191,1296,91,28,168,1009,273
192,1294,91,27,157,1019,271
193,1299,102,24,144,1029,274
194,1309,113,22,141,1033,276
195,1313,123,20,135,1035,274
196,1325,134,17,130,1044,276
197,1334,143,19,124,1048,276
198,1340,145,26,117,1052,278
199,1349,149,30,110,1060,280
200,1357,150,36,105,1066,284
201,1362,155,38,100,1069,285
202,1369,161,31,99,1078,288
203,1380,163,31,101,1085,289
204,1381,166,25,105,1085,289
205,1391,178,22,107,1084,291
206,1399,188,22,101,1088,293
207,1412,198,18,103,1093,296
208,1421,207,21,101,1092,296
209,1430,211,26,102,1091,298
210,1438,218,26,98,1096,299
211,1463,239,28,100,1096,306
212,1475,245,32,103,1095,312
213,1482,249,36,107,1090,315
214,1494,262,32,110,1090,317
215,1500,258,40,109,1093,319
216,1497,255,38,111,1093,318
217,1498,256,42,110,1090,318
218,1499,250,48,111,1090,319
219,1500,243,56,111,1090,320
220,1500,245,50,119,1086,320
221,1500,234,47,128,1091,320
222,1500,233,38,139,1090,320
223,1499,234,36,145,1084,320
224,1500,233,33,152,1082,321
225,1499,231,40,153,1075,322
226,1500,222,50,156,1072,324
227,1500,224,51,157,1068,326
228,1499,224,54,159,1062,327
229,1500,219,48,169,1064,329
230,1500,213,48,174,1065,329
231,1500,213,49,175,1063,330
232,1500,213,51,175,1061,331
233,1500,220,51,181,1048,331
234,1494,215,50,185,1044,330
235,1496,221,55,178,1042,331
236,1499,220,63,175,1041,336
237,1497,210,69,183,1035,337
238,1498,202,77,183,1036,338
239,1500,190,85,192,1033,339
