ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked 1 turtles,masked 2 turtles
0,1500,1490,10,0,0,54,300
1,1500,1490,10,0,0,54,300
2,1500,1490,10,0,0,54,300
3,1500,1477,13,10,0,54,300
4,1500,1469,21,10,0,54,300
5,1500,1460,30,10,0,54,300
6,1500,1445,40,15,0,54,300
7,1500,1419,55,26,0,54,300
8,1500,1401,65,34,0,54,300
9,1500,1369,87,44,0,54,300
10,1500,1337,101,62,0,54,300
11,1500,1285,131,84,0,54,300
12,1500,1215,177,108,0,54,300
13,1500,1148,205,147,0,54,300
14,1500,1069,245,186,0,54,300
15,1500,1006,249,245,0,54,300
16,1500,928,260,312,0,54,300
17,1500,848,262,383,7,54,300
18,1500,753,297,443,7,54,300
19,1500,672,297,524,7,54,300
20,1499,595,302,591,11,54,300
21,1500,535,281,666,18,54,302
22,1498,466,256,755,21,54,303
23,1499,404,242,823,30,54,303
24,1492,345,235,874,38,54,303
25,1487,289,233,915,50,54,301
26,1483,254,193,970,66,54,302
27,1462,216,182,981,83,53,301
28,1447,178,159,1007,103,52,299
29,1418,151,130,1006,131,50,298
30,1394,130,123,974,167,49,298
31,1363,113,106,930,214,50,293
32,1343,92,94,910,247,49,294
33,1303,78,81,859,285,48,289
34,1271,72,72,809,318,48,279
35,1236,58,68,748,362,45,276
36,1196,57,56,671,412,44,271
37,1159,53,49,610,447,41,266
38,1128,57,34,559,478,42,261
39,1104,60,23,512,509,39,258
40,1073,61,22,441,549,39,251
41,1056,67,20,399,570,38,249
42,1025,63,21,339,602,38,239
43,1002,66,23,284,629,38,231
44,997,72,16,258,651,39,231
45,985,72,18,225,670,39,228
46,973,75,14,191,693,37,227
47,969,81,13,165,710,38,223
48,969,84,16,146,723,38,224
49,967,90,14,126,737,40,223
50,961,93,15,108,745,40,217
51,970,103,13,96,758,41,218
52,972,111,8,85,768,43,217
53,971,117,7,70,777,43,218
54,976,122,9,65,780,43,217
55,984,131,8,60,785,43,217
56,995,140,11,56,788,43,221
57,1003,147,12,54,790,43,221
58,1006,151,9,50,796,43,222
59,1013,159,9,47,798,43,225
60,1013,158,12,45,798,44,223
61,1022,162,13,45,802,45,224
62,1031,170,16,42,803,45,226
63,1046,182,16,42,806,47,229
64,1059,192,17,44,806,46,231
65,1071,205,15,44,807,46,233
